PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 PC21 PC22 PC23 PC24 PC25 PC26 PC27 PC28 PC29 PC30 PC31 PC32 PC33 PC34 PC35 PC36 PC37 PC38 PC39 PC40 PC41 PC42 PC43 PC44 PC45 PC46 PC47 PC48 PC49 PC50 PC51 Cell
CLL_25.bed.combine.5mC.CpG.NA_id.methValue -621.921700702539 23.0533986751984 49.6173381072443 -112.401614884722 129.431020088148 -257.694531967186 160.099249278721 -14.5055875157474 48.6878568471934 -154.29023752109 202.95465892148 -123.056570904919 410.457801093855 104.275074113698 -164.979950296054 -51.5361464735483 112.964649519734 269.490149383474 -73.175207870084 31.4215424848646 32.5688562676831 -3.17085330718436 -1.63821452461225 -11.7799557820201 -9.65521981607297 19.5408498180615 31.0433643181004 -10.0617943001975 -7.88718704659373 3.89436851188946 3.92460258436537 0.760944566956829 4.38757023431997 -3.08333100090017 -8.0260393980744 1.74314072982158 1.40254629597818 3.91221590777569 2.60925731227768 0.40646184167492 3.70074677393878 3.65146018672111 1.45057965641791 -4.60189849147344 -3.08039838425281 1.17140181229412 0.748691134953667 1.82206929912123 -0.349975911902614 -0.163389746076527 -6.44579377608133e-12 CLL_25.bed.combine.5mC.CpG.NA_id.methValue
CLL_26.bed.combine.5mC.CpG.NA_id.methValue -516.472370002637 -34.2238543551839 17.1682974575561 -37.9326897806389 95.0530682932383 -114.72308774078 44.2166147681425 -80.1095169826561 35.218309803027 10.8805866828596 185.759789136476 -66.3743035671704 -99.443588501938 249.521853898292 548.445374068479 -134.157316410036 75.1804055122519 -10.6412218420638 16.3644279149847 33.5098414848544 1.59594911626225 25.6280625345689 5.94783458143428 -22.4597186976548 5.5926124493499 3.96457032440363 3.62870078527994 1.68544436413997 -10.957859794599 -1.66125013998532 -1.46961768002478 4.78511767715034 6.76094303202188 3.32753507276836 -3.46340707422609 3.30967108473161 3.86177226526541 0.60132358012408 -2.7953082449208 0.117616562284487 0.839483638083624 -1.02825682902475 0.633587939685927 -2.69270120114803 0.0633052835350452 0.658578355909496 1.23200661340392 -1.59604837642282 -0.298165882555612 0.0646755096885566 1.30857403259588e-11 CLL_26.bed.combine.5mC.CpG.NA_id.methValue
CLL_27.bed.combine.5mC.CpG.NA_id.methValue -407.186880956484 -256.627217683029 45.3086553084627 -78.2184953764663 178.651106740697 -68.6105646263585 -209.153210972629 53.8016892454044 -71.4341360342145 -3.6191675627862 -117.616066897671 224.533957196474 111.869005934815 -118.20673579963 205.587918128821 447.237917805372 12.766017963752 181.138180893092 -14.2273237391217 -59.0018058417579 -29.6493136941054 53.8816425921371 64.4873473552749 17.9393549692546 10.9805500138331 3.84290313547148 15.6280726980095 -2.95830932233348 -16.5283981534484 3.64010409632512 5.36339412654542 3.12105771349032 -3.1802420708045 0.987036390905878 -3.27404845525046 0.319669290665191 -1.03883375015756 2.74066665976086 1.01530851460135 0.785576265531167 1.69588073119947 1.40085375955555 -0.866177712162967 -0.541729616781315 -2.69487503481842 -1.28779822084139 0.075983140548531 -1.41304205647484 -0.94402628748651 0.464751910841964 1.49467644923127e-11 CLL_27.bed.combine.5mC.CpG.NA_id.methValue
CLL_28.bed.combine.5mC.CpG.NA_id.methValue -601.343187885523 235.889518456307 507.038617513919 133.989793397079 -140.696701671602 131.20281722576 -29.5258921662652 42.840707166954 1.50565062092841 -11.5682168782344 -22.2311865104593 0.0971599063122338 0.482149925864715 -3.26144015639827 0.625383846958202 -0.526269910248539 -2.38677916741434 15.8952979277449 7.59736682072417 6.15186299391903 0.714256997600077 -3.90057008907592 -0.281980186442567 -2.36775750428326 -3.6812523602089 3.54856592187904 4.07147785296843 -0.0602176855226641 -0.27290650507701 0.849382231845699 -4.24503006103978 2.97598179977642 20.6434286224575 1.72318315998833 0.277108568051261 44.1081390548375 161.999247153623 1.13902916288518 6.11151528641622 7.4074866184941 -0.227905512582608 1.37506260604397 1.84622130534105 -0.720336468422666 -0.921172611131985 1.75264939577556 -193.036855583549 -1.18691747374011 2.10516336415251 -1.86113317432657 -4.47986061234295e-12 CLL_28.bed.combine.5mC.CpG.NA_id.methValue
CLL_28.large.bed.combine.5mC.CpG.NA_id.methValue -587.521202653993 225.726411275447 525.636810023298 136.402995258186 -143.792064515209 154.179998326872 -14.3986119913914 32.1698817441914 5.65031691707028 -23.3047944460342 -8.76845590514194 -12.757729184042 -2.06316607844796 3.80755540067864 9.088758722371 3.87830354461509 2.96094119258623 17.0081033201478 -3.33265003258536 -4.97887202382223 -0.611568884359978 -5.45970723163516 5.13518363073939 5.74551987654699 -1.23243121327304 3.19560125079346 13.1848757269542 6.17574360619678 5.4537942255087 1.87028012843766 11.3772185036099 -8.78445837043991 -40.7805201041437 -1.02992880304734 -1.12529563172824 -76.8728733169441 -275.080349928732 0.00922209780848427 -11.1594660963689 -9.02809030012303 1.79089214282887 -2.70454473218884 -2.4749748633375 -2.31690290993412 0.299563309884459 0.0779149361750599 -17.6524181497235 -1.59275841499583 0.945605642762325 -1.66784570318174 3.1918436186846e-13 CLL_28.large.bed.combine.5mC.CpG.NA_id.methValue
CLL_28.small.bed.combine.5mC.CpG.NA_id.methValue -605.588293600332 237.17288408048 500.801944707647 129.270014367418 -136.573964217172 124.038747413018 -30.3577146360751 44.8283508299162 0.725173980616998 -9.45253676126174 -25.6362664693503 3.11824906874792 0.533067293447732 -4.67628219558951 -2.37181657743198 -0.971149588431184 -4.3539407054641 12.5301955354548 9.67838312079162 7.64517475944933 0.707516065509014 -4.27176052793091 -2.14228889906492 -3.05012758789732 -3.19081407123221 2.15720310177994 0.761041153900757 0.434993970387877 0.852642816545471 0.285429450771634 -5.83310979456882 4.08611622658575 22.5339460947676 1.69876778204113 2.52451397298094 34.707119792982 121.964958249924 -0.6496674420501 2.02023383392947 1.67503741822951 -2.87074829755018 -1.10794802123531 0.510870056319834 1.70554511006088 4.40422092581706 -1.70744307283884 213.811781967375 3.65637573233035 -2.02076021220064 1.96914866792995 9.8816986588442e-12 CLL_28.small.bed.combine.5mC.CpG.NA_id.methValue
CLL_30.bed.combine.5mC.CpG.NA_id.methValue -291.148512242999 -440.783443892172 -31.9733393229218 -161.828483721101 -439.38286894662 30.0968877438425 125.512804837964 17.5886427161999 -5.08430051303926 16.737852129066 25.6497594011321 -18.6083917733199 -15.793085358404 -0.548517088208297 -4.13837274692151 13.1452754524641 -2.3001243163967 4.61582649242784 -13.1249761239762 3.07096275514591 4.71683173456727 10.4765041521848 2.88922225197133 8.02654404810002 0.123259262625335 -5.19529599190286 -1.01842472440129 8.80851911367969 13.0562918182065 -9.3223733871138 25.8241560477728 -45.8479177525524 -318.286289164823 0.181657846962338 0.856414688696232 14.9486842006107 36.9166106162023 1.65785157695755 -0.353356747121669 1.24980053883382 0.685682817579904 -0.743948824575671 -1.93615350285582 -0.855261729865854 -1.50384323677095 -0.335930056672804 3.80688906703415 -1.06808160935556 0.369602240237052 -1.13845866959597 -2.85014549135063e-12 CLL_30.bed.combine.5mC.CpG.NA_id.methValue
CLL_30.large.bed.combine.5mC.CpG.NA_id.methValue -298.47867930498 -410.636762530897 -35.9766040530188 -155.812429157584 -422.920674973277 1.13385852549222 87.5389437776849 33.6028914484362 -8.41160184359994 31.163003379863 2.00338908529682 1.06549694257283 -9.77068438026668 -8.0039517846974 -12.5773833831004 3.57165675889271 -11.1995531215977 3.71857160737671 6.52010258994323 18.0540799321777 5.89213680613476 5.49668695080566 -4.91067040927902 -5.30968243492337 -2.37672126808114 0.276740603429651 -6.17780903846515 -5.7603792817017 -3.33548428297296 0.986669766941034 -12.9162100133222 20.7778509676944 165.670566684471 3.02080533189235 0.352340627236594 -3.70315385876689 -9.04952327892475 1.19892253511843 -5.80823753888402 -240.646490467126 10.9291495554649 2.82870725096166 -8.63656417596701 -6.13527335619008 -2.48942743151325 -0.00272799650635821 -3.37455425080451 0.257550881520335 0.0666127159070715 -0.783387691153986 1.93894919677438e-11 CLL_30.large.bed.combine.5mC.CpG.NA_id.methValue
CLL_30.small.bed.combine.5mC.CpG.NA_id.methValue -310.437954010324 -420.069664990053 -39.2868147427585 -158.687553220496 -431.178785589304 11.4332673000118 92.2017764038489 32.0564942922535 -7.0221493121459 31.1083204654052 2.89380261890763 -1.64140183198495 -10.703113970582 -7.34560898760651 -12.5622486424889 2.64177923453384 -9.30540778169743 4.71553087597385 4.50253918218688 14.5920702340202 3.51046779433325 4.44660825506532 -3.1569200292159 -4.36812385055573 -2.99772916098875 1.13923328356198 -3.78849457410216 -7.61139567081933 -6.12565148645091 2.20416369774639 -12.8701773667171 22.5588496313003 168.641470597869 -0.663863632380383 -2.47624927521561 -10.7853777593959 -25.9108696936995 -3.22043946560369 4.29005948418486 234.667042118319 -11.4140006896487 -4.64519623851276 9.52654885323568 5.00137751274405 5.72809282156715 1.4088816358541 0.218025543941138 0.318742088581552 0.169889508851308 0.689795949373336 7.92891266617465e-12 CLL_30.small.bed.combine.5mC.CpG.NA_id.methValue
CLL_4.bed.combine.5mC.CpG.NA_id.methValue -90.3622833490309 -358.159782278217 48.9891100468928 -7.48742763014001 138.676434198251 111.093844248489 -499.676600610348 -18.8639968803363 -98.1783023829705 -163.821337426564 364.945617610848 -260.433516033468 -122.954521173333 -31.3156855399006 -120.299736430572 43.5034421151438 -63.3689151955697 -63.2941166451849 -1.77301820300064 1.62138464292855 -3.01299610532262 52.524035532631 15.5790133883384 8.7154652158841 -2.67954404400363 -5.45648744401815 -14.8787338147851 0.132520456052931 6.5359152659834 -4.19511428047274 -9.0452204047471 3.25855227944013 3.85441610174328 -0.972778764788719 2.3331833720011 1.73944489054402 2.58137794908452 -0.167933680415698 -0.12026308192662 0.00981571048820906 0.627397389934671 -0.396223936555981 0.45002982929909 -1.50847708667771 2.15522332950399 -0.524608337218244 0.752620127519817 -1.07746796346615 -0.449138705734937 0.315314535188369 4.10077466765688e-12 CLL_4.bed.combine.5mC.CpG.NA_id.methValue
