type	var	value	cell	Mean	center
high	A34023.CEMT_4.H3K36me3.hg38.bwa.sb.IX2824.C3YJAACXX_6_ACTCTC.bam	2.25476053051556e-06	CLL	4.17916875782507e-06	CEMT
high	A34039.CEMT_5.H3K36me3.hg38.bwa.sb.IX2845.C4C9JACXX_3_AGCGCT.bam	3.2912875042384e-06	CLL	3.75941258381596e-06	CEMT
high	A34078.CEMT_6.H3K36me3.hg38.bwa.sb.IX2845.C4C9JACXX_3_AGTTCC.bam	3.27705203008554e-06	CLL	2.98009378194708e-06	CEMT
high	A34942.CEMT_26.H3K36me3.hg38.bwa.sb.IX2652.C3TC1ACXX_2_ACTCTC.bam	2.51962909170048e-06	CLL	3.56348721851101e-06	CEMT
high	A34949.CEMT_27.H3K36me3.hg38.bwa.sb.IX2824.C3YJAACXX_6_AGCGCT.bam	3.78898517779929e-06	CLL	3.21463119839482e-06	CEMT
high	A34956.CEMT_28.H3K36me3.hg38.bwa.sb.IX2824.C3YJAACXX_6_AGTTCC.bam	1.9835293982546e-06	CLL	3.99211663795107e-06	CEMT
high	A34963.CEMT_29.H3K36me3.hg38.bwa.sb.IX2824.C3YJAACXX_6_CCACGC.bam	3.21047321699329e-06	CLL	3.26412783609232e-06	CEMT
high	A35240.CEMT_25.H3K36me3.hg38.bwa.sb.IX2652.C3TC1ACXX_2_GCACTT.bam	2.66059109021956e-06	CLL	3.43301617968005e-06	CEMT
high	A35247.CEMT_30.H3K36me3.hg38.bwa.sb.IX2824.C3YJAACXX_6_GGCTAC.bam	5.04804398914781e-06	CLL	3.67867355395242e-06	CEMT
high	A60647.CEMT_94.H3K36me3.hg38.bwa.sb.IX4417.C9587ANXX_2_AGCGCT.bam	1.94625655346287e-06	CLL	2.83619046363161e-06	CEMT
high	A60654.CEMT_95.H3K36me3.hg38.bwa.sb.IX4417.C9587ANXX_2_AGTTCC.bam	1.86236797993485e-06	CLL	2.7263190078617e-06	CEMT
high	A60661.CEMT_96.H3K36me3.hg38.bwa.sb.IX4417.C9587ANXX_2_CCACGC.bam	2.25744371397947e-06	CLL	2.62858575750953e-06	CEMT
high	A60666.CEMT_97.H3K36me3.hg38.bwa.sb.IX4419.C9587ANXX_4_ATGTCA.bam	2.47807374968416e-06	CLL	2.68256288108562e-06	CEMT
high	A68890.CEMT_129.H3K36me3.hg38.bwa.sb.IX5127.CAVYBANXX_5_ATCCTA.bam	1.43243079360578e-07	GCBC	1.04595359305916e-06	CEMT
high	A70852.CEMT_134.H3K36me3.hg38.IX5208.CAVPBANXX_1_ACAGTG.bam	3.55821949847862e-07	GCBC	9.48325390668363e-07	CEMT
high	A70859.CEMT_135.H3K36me3.hg38.A70859_2_lanes_dupsFlagged.bam	1.54149187433388e-07	GCBC	1.10791651428383e-06	CEMT
high	A70866.CEMT_136.H3K36me3.hg38.IX5211.CAVPBANXX_4_ACTGAT.bam	2.82949191686076e-07	GCBC	1.24152501085034e-06	CEMT
high	A70873.CEMT_137.H3K36me3.hg38.IX5212.CAVPBANXX_5_ATCCTA.bam	7.13033680578398e-07	GCBC	1.22296132218644e-06	CEMT
high	A70880.CEMT_138.H3K36me3.hg38.IX5214.CAVPBANXX_7_CACTCA.bam	2.00588881544297e-07	GCBC	1.14761841430245e-06	CEMT
high	EGAN00001091882_EGAX00001135678_EGAR00001139764_NBC_H3K36me3_SINGLE.bam	0	NBC	1.84577511895057e-06	Blueprint
high	EGAN00001091897_EGAX00001135685_EGAR00001139767_NBC_H3K36me3_SINGLE.bam	5.15345264148804e-07	NBC	1.92074995956899e-06	Blueprint
high	EGAN00001095818_EGAX00001133241_EGAR00001137327_NBC_H3K36me3_SINGLE.bam	1.47449706195402e-07	NBC	1.64878799373603e-06	Blueprint
high	EGAN00001107643_EGAX00001215952_EGAR00001228603_NBC_H3K36me3_SINGLE.bam	2.73050701282942e-07	NBC	2.2277527078595e-06	Blueprint
high	EGAN00001107668_EGAX00001171934_EGAR00001185148_NBC_H3K36me3_SINGLE.bam	2.41451412732216e-07	NBC	1.9889204773797e-06	Blueprint
high	EGAN00001173679_EGAX00001133248_EGAR00001137335_NBC_H3K36me3_SINGLE.bam	3.10765134215421e-07	NBC	1.69493711272584e-06	Blueprint
high	EGAN00001202786_EGAX00001323204_EGAR00001352516_CLL_H3K36me3_SINGLE.bam	5.21585856761362e-07	CLL	1.41637294023475e-06	Blueprint
high	EGAN00001202787_EGAX00001291868_EGAR00001320595_CLL_H3K36me3_SINGLE.bam	5.89170072124236e-07	CLL	2.21459034751811e-06	Blueprint
