baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000001626	7.97156892264673	-20.8496721608929	4.45440129179142	-4.68069012985307	2.85910812725972e-06	0.000299904459957528
ENSG00000004468	12568.2146926711	-2.429247937975	0.628563001737539	-3.86476444089109	0.000111196461001426	0.00745192791028604
ENSG00000005421	9.9956347306642	-18.637297399862	2.63398112569686	-7.07571410365792	1.4868110984432e-12	3.34790211073451e-10
ENSG00000006453	684.346680152738	-4.88356155440332	0.949301685544186	-5.14437257277577	2.68416370537898e-07	3.42476192567299e-05
ENSG00000018408	129.320940070079	-2.69223585218863	0.521146128779335	-5.16599031157455	2.39169179864416e-07	3.10699162273097e-05
ENSG00000047597	57.8452935512992	-3.58594375266693	0.809716894596914	-4.42863891885578	9.48296302330465e-06	0.000889712664097605
ENSG00000050327	238.406095605219	-3.99389459728151	0.992106731757116	-4.02567029275968	5.68132472764974e-05	0.00424540761064376
ENSG00000060982	5700.18424332283	-2.70542262594219	0.619926966622621	-4.36409895294829	1.27647791519374e-05	0.00115898704471999
ENSG00000073737	884.344759197537	-4.26558381387427	0.960314698419607	-4.44186038274136	8.91844233900097e-06	0.000846149742814878
ENSG00000075240	3925.9933837566	-1.54519169689314	0.402916763578171	-3.83501466449498	0.000125556803074524	0.00825059646039906
ENSG00000075643	27.0787304535325	-3.94922395043023	0.69989474166633	-5.64259697255018	1.67504134986294e-08	2.54847732580948e-06
ENSG00000075651	739.230748488082	-4.63911044591943	0.860938486826078	-5.38843426900555	7.10741474513722e-08	9.75853822893312e-06
ENSG00000079112	16.2272405786389	-7.23022736105093	1.73289881050118	-4.1723309619907	3.01499264024974e-05	0.00250823624179988
ENSG00000079931	260.515400117496	-3.9482567116297	0.808886501124868	-4.88110100259938	1.0549518968583e-06	0.000123722414125992
ENSG00000085741	12.1129946847849	-4.54710929876017	0.98813880807179	-4.60169083697178	4.19074938408828e-06	0.000421270092848112
ENSG00000091879	157.46555014284	-6.84429381708493	1.06303830913131	-6.43842630909317	1.20718544237448e-10	2.29066828660902e-08
ENSG00000100285	90.9746219783811	-4.20833899493405	1.03818372684256	-4.05355900514155	5.04442689527276e-05	0.00385476386458671
ENSG00000100311	60.1265180660272	-4.96274364354868	0.989898061008656	-5.01338858921685	5.34797382805905e-07	6.45118442916151e-05
ENSG00000100422	7519.81044085385	-1.15089563762482	0.284523011174597	-4.045000201824	5.23230790454587e-05	0.00398032504017885
ENSG00000104059	56.3432757388226	-7.06700844475907	1.04682494995571	-6.7508979844797	1.46932888240222e-11	2.91929719600103e-09
