A.geneID	CLL_1	GCBC_129	GCBC_134	GCBC_135	GCBC_136	GCBC_137	GCBC_138	CLL_25	CLL_26	CLL_27	CLL_28	CLL_29	CLL_30	CLL_4	CLL_5	CLL_6	CLL_92	CLL_93	CLL_94	CLL_95	CLL_96	CLL_97
ENSG00000000003	0	0.0553861	0.0670965	0.123444	0.095913	0.107904	0.121851	0.00467529	0.0160961	0.00548816	0.0301712	0.00449368	0.0331559	0	0.00523384	0	0	0	0.0135875	0	0	0.0121664
ENSG00000000005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000000419	20.9356	16.3454	19.3764	16.1172	19.511	17.9359	17.3075	22.4381	19.092	26.27	17.4613	27.7746	25.0766	21.6244	27.3659	16.5185	35.2151	18.8309	78.9837	25.4412	39.876	18.4185
ENSG00000000457	6.43828	3.91881	4.05478	4.3302	4.54301	4.42921	4.88858	4.52852	3.98724	6.37421	6.3256	7.3574	6.33345	2.64723	2.47126	5.12386	6.32426	7.06244	3.98587	3.36897	1.70371	4.03708
ENSG00000000460	3.26566	11.6212	11.2362	11.5858	13.1958	11.918	13.1092	2.43582	2.18914	3.80213	10.149	2.12925	6.51626	5.5282	7.38399	3.06751	8.44983	10.2155	3.84466	2.96886	4.97402	3.70707
ENSG00000000938	96.1255	2.36805	4.91992	2.79918	3.70967	6.51558	6.60804	87.7236	94.1342	205.232	147.114	86.7703	117.055	139.856	96.524	173.87	385.646	228.588	66.9807	78.6688	70.2028	145.183
ENSG00000000971	0	0.00645373	0.00163948	0	0.00256525	0.00164932	0.00864773	0	0.0290669	0.0807072	0	0	0.107494	0.00279756	0.0233129	0.00269922	0	0.0145939	0	0	0.0122793	0.00385798
ENSG00000001036	13.025	7.47277	9.4407	7.4226	8.86355	7.78423	7.93585	4.3624	11.4118	10.4992	7.17655	11.2283	8.6252	8.09116	9.33382	4.66312	12.0886	13.7969	9.73709	5.85531	7.78531	7.23681
ENSG00000001084	26.4714	3.13724	2.90212	3.12258	3.47832	2.89991	2.90241	12.3049	25.9153	21.5471	18.564	12.6789	25.9643	23.8918	11.9643	9.7838	17.3234	16.4924	9.74396	15.8156	12.2232	12.9497
ENSG00000001167	20.9799	21.043	20.2862	20.5799	20.7571	18.6384	19.341	23.4518	25.7213	23.2894	27.4722	21.6129	19.3956	18.1337	18.9827	19.5003	11.668	16.3412	21.1928	33.261	14.2305	21.5705
ENSG00000001460	0.779068	1.15031	1.20508	1.12522	1.47657	1.50501	1.3607	1.38659	0.716323	1.07576	0.968304	0.801131	0.960973	0.342787	0.433184	1.10938	1.38815	1.65446	0.542273	1.15565	0.610099	0.707632
ENSG00000001461	7.06469	6.2518	6.37415	6.04232	5.46034	5.78659	6.71856	7.61124	8.74277	7.59765	7.45879	9.79184	7.31998	7.18412	4.38363	6.09092	7.01767	6.72906	4.7222	6.89057	2.67113	5.26158
ENSG00000001497	15.1918	21.4095	18.7664	19.8983	19.3238	19.5884	19.343	13.6137	14.7401	13.6534	14.7296	11.4243	16.3465	17.9854	18.5847	17.6198	13.6553	19.937	16.7356	16.3492	18.6481	20.9607
ENSG00000001561	7.50366	6.47275	7.09422	6.65306	7.60228	7.39391	7.81525	15.4865	11.8004	9.24729	11.5704	18.805	17.0924	5.41306	9.3585	12.3631	8.13566	7.37402	22.43	5.84251	11.5357	8.71042
ENSG00000001617	0.00416239	0.207932	0.216176	0.261857	0.204216	0.182846	0.129098	0.0228455	0.00461329	0.0128518	0.00697765	0.00662345	0.00210679	0.0250871	0.0192631	0.0117686	0.0274223	0.000923238	0.00353253	0.0837153	0.024823	0.0281356
ENSG00000001626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000001629	31.4698	11.4107	12.3175	11.3824	12.1933	11.7874	12.4416	19.7579	21.3331	22.5538	19.7531	19.7536	21.961	22.1822	15.1012	19.52	16.1402	16.1578	12.8923	18.5373	9.87968	16.8809
ENSG00000001630	5.05308	5.74256	6.37025	5.46136	8.01961	6.09513	8.17193	22.3234	11.2895	12.4554	5.11405	26.8087	9.20595	6.13354	6.66771	4.45857	4.30213	3.58215	9.99441	15.6397	26.168	8.33384
ENSG00000001631	16.0984	9.24346	11.3465	10.8802	12.531	12.5913	12.9663	12.2584	12.9227	17.1388	15.6752	8.27715	12.4102	10.6214	11.0781	16.767	9.10394	8.52087	8.99244	9.97621	4.61058	12.1089
ENSG00000002016	6.05397	6.56052	8.65464	9.32539	9.10001	10.2361	10.5235	3.19919	3.85101	7.2091	5.34371	4.04249	3.97767	3.10232	3.49948	5.08741	9.06136	6.25417	4.16521	3.97798	2.19672	5.41867
ENSG00000002330	10.2487	6.94832	6.27001	9.13897	7.42564	6.53657	5.55981	9.82561	7.82619	10.9073	9.49131	11.0732	12.6186	13.5075	12.9002	9.81936	19.9993	16.1096	20.2453	6.45292	14.755	7.26759
ENSG00000002549	13.4068	28.2073	27.3897	24.8486	27.4135	24.8553	25.6198	8.13045	9.28549	16.8894	5.97772	17.2134	13.6166	13.1101	16.233	7.88599	20.1251	13.4468	40.6375	12.1443	11.0546	8.44572
ENSG00000002586	56.5642	39.0169	29.0769	32.4532	33.4099	32.3896	31.3081	30.6656	41.598	63.3077	40.3288	76.6986	72.7473	65.4037	38.3796	28.4202	91.0942	85.9604	112.693	43.2389	145.07	45.9956
ENSG00000002587	7.11535	0.030748	0.0624996	0.0964231	0.0949999	0.0673604	0.0483948	1.35203	1.73262	2.01647	0.284958	2.45554	8.23915	6.3748	13.4045	4.65685	6.81872	3.24253	4.06082	4.81054	1.24695	1.4547
ENSG00000002726	0	0.0240559	0.031405	0.0298669	0	0.0593462	0.0589421	0	0	0	0	0	0	0	0.00701387	0	0	0	0	0.00193178	0	0.0575767
ENSG00000002745	1.44677	0.00805974	0.00818984	0.00772495	0	0.0041195	0.00863978	5.31216	1.27331	9.58769	2.87681	13.5622	9.00689	12.9609	1.77246	0.423096	8.72	4.75272	0.745315	0.137617	0.561193	3.12767
ENSG00000002746	0	0.000941024	0.000956214	0	0	0	0	0	0.00420779	0.0185401	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000002822	6.31813	16.2993	11.3157	11.5593	9.53734	9.78332	7.1268	5.63721	5.80903	7.54822	5.34172	9.07463	10.8467	6.60398	10.4311	8.46016	39.3221	40.4101	20.712	8.66711	6.02346	13.3952
ENSG00000002834	49.3694	73.4416	65.315	62.3892	52.6517	54.2889	49.4628	28.9291	35.4414	40.4127	31.6024	52.1607	55.1772	41.128	32.6051	30.4141	37.6626	42.3692	23.3364	39.8636	29.8006	46.3081
ENSG00000002919	11.7769	18.6251	19.1882	20.4239	22.4403	18.923	19.6465	6.97528	8.82952	7.89486	5.64459	25.8647	14.9942	4.8634	10.0364	4.87031	9.7686	21.2717	8.78796	9.48286	12.0166	9.00628
ENSG00000002933	0.008519	0.0977578	0.147571	0.139167	0.142936	0.214615	0.286926	0	0.191809	0.427178	0.0262389	0.0223008	0.841801	0.56962	0.705559	0.0031597	0.107875	0.00644923	0.0264496	0.00468385	0.0191655	6.74596
ENSG00000003056	35.6192	38.3356	41.0853	45.8212	43.5739	43.9086	46.3557	21.4899	28.6773	28.3613	26.5763	34.7008	38.4876	27.5049	26.6259	26.9496	52.7434	46.2226	31.7212	22.7346	14.9002	30.0003
ENSG00000003096	0.00424425	0.0588663	0.0363208	0.0381467	0.0159579	0.0201996	0.0322776	0.00303629	0.0235201	0.0164671	0.0130725	0.019984	0.0244651	0.0163154	0.00219804	0.00787097	0	0.0205089	0.00882419	0.0140012	0.0189695	0.0248326
ENSG00000003137	0.00260031	0.0457525	0.0159763	0.0150864	0.0194427	0.0187152	0.0533711	0.0147973	0.0145313	0.00676858	0.00182024	0	0	0.00454359	0.00946578	0.0219194	0	0	0	0.022615	0.0199432	0.0188185
ENSG00000003147	0.140852	0.542977	1.0323	1.21506	0.736839	1.16889	0.880618	0.00650248	0.0631059	0.293898	0.139544	0.0911787	0.0862843	0.221323	0.214789	0.0316001	0.793425	0.113416	0.138542	0.0286522	0.0593014	0.0809213
ENSG00000003249	0.225944	5.94734	4.78947	4.22668	3.21375	10.2312	8.76224	1.2838	1.87571	15.2173	2.08627	41.5083	0.302903	6.55431	1.67354	0.111371	8.3305	8.69002	1.49467	1.97784	0.35173	10.2575
ENSG00000003393	2.31894	1.28643	1.95442	1.3121	2.23734	2.16666	1.91482	3.00933	2.6908	2.57734	2.65105	2.59393	2.32696	1.98828	2.27731	2.55933	1.76013	1.60917	2.20909	2.55842	2.10563	2.44034
ENSG00000003400	2.51367	0.292116	0.58491	0.502352	0.37993	0.457372	0.442676	0.598028	1.15683	0.852425	0.42894	3.752	0.610974	7.74287	0.725756	0.413951	0.633153	0.115439	0.296256	0.540797	0.560875	0.250703
ENSG00000003402	19.2007	5.61465	7.69016	7.13052	7.7791	8.05866	7.47762	27.6453	29.6397	26.8317	23.6853	25.7266	25.9536	27.2374	19.2444	18.2737	15.7765	21.9859	76.6043	20.2213	18.1095	17.7558
ENSG00000003436	0.000843366	0.00280464	0.00113996	0	0.00118912	0.00114681	0.00120259	0.00452502	0.025705	0.00926702	0.0439603	0.00132464	0.00550119	0.0019452	0.00709186	0.000938415	0	0	0.00526031	0	0.0184992	0.00267357
ENSG00000003509	6.37126	7.52785	10.1135	11.1126	13.099	12.4063	13.8885	6.07822	5.52848	7.11496	5.80871	5.30351	4.70076	5.86248	6.46303	6.69943	8.58433	6.54659	6.00008	5.6213	6.84597	5.98225
ENSG00000003756	44.8186	44.9129	60.7849	63.6764	67.2675	68.3409	79.4016	37.8584	37.1654	51.9336	37.2949	30.0867	26.6146	49.0921	55.2123	58.1688	51.8568	42.2336	37.9263	42.6306	30.6795	44.7624
ENSG00000003987	0	0.0046175	0	0.00224275	0	0	0	0	0.00320608	0.00150089	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000003989	0	0.0214673	0.0101355	0	0	0.00169939	0.0106923	0	0	0	0.0939349	0	0.00523534	0	0.00300259	0	0	0	0	0	0	0.0139328
ENSG00000004059	43.676	69.126	62.2207	74.6729	68.8831	64.6093	63.1994	28.6798	28.787	50.2693	30.3089	52.4442	57.3999	53.6167	57.5279	36.5871	88.0587	82.5028	91.2159	50.1033	116.847	54.5717
ENSG00000004139	14.8484	1.64713	1.34383	1.51712	1.55294	1.6438	1.76654	6.26625	6.94965	6.39665	8.25823	4.75905	7.37713	9.8514	7.97082	12.2818	4.52399	6.68169	4.1124	7.50125	4.39468	8.08554
ENSG00000004142	39.2937	60.6254	48.5603	55.155	50.9134	50.1151	46.7022	22.7119	25.5248	26.6609	24.7837	46.0256	39.3196	35.9513	32.0771	27.9412	45.3166	51.6359	38.0695	32.9222	45.7146	35.507
ENSG00000004399	15.4803	4.73512	4.79827	3.36949	2.58478	3.80273	2.2266	7.4215	29.3671	8.48632	7.77826	1.00878	8.40607	6.05817	13.742	21.8	7.30837	9.68574	10.3267	11.2326	9.94884	31.9057
ENSG00000004455	16.6851	23.2522	22.6877	25.5968	26.6362	25.1867	26.2172	15.4092	17.5788	20.2301	17.4228	19.9148	23.0518	13.6228	16.5094	14.6744	21.828	23.8637	20.2516	20.4812	12.12	20.0679
ENSG00000004468	0.00288233	63.7008	82.3426	70.9365	76.6975	70.5378	93.4728	0.086583	1.9732	12.2522	0.0221943	8.79113	0.21826	7.01583	1.74912	0.00481076	4.56415	0.964718	0.516566	1.82226	0.00486336	4.56229
ENSG00000004478	10.4846	10.8442	7.45673	7.58987	7.54808	9.14262	6.23528	7.56089	8.90405	11.7611	11.9451	13.9451	16.6868	7.56004	6.75171	8.7129	19.4865	16.3059	10.4359	9.53342	6.39401	13.0266
ENSG00000004487	14.4937	41.3974	32.2782	37.2859	40.2005	34.6557	35.754	12.7466	13.3194	13.4018	15.7079	17.1371	13.0612	17.6178	17.3661	13.7617	14.9194	14.8238	15.1655	19.5132	9.46481	16.5553
ENSG00000004534	47.622	73.5643	108.603	103.572	109.751	107.61	163.599	29.2442	30.8888	52.8436	32.5267	25.066	25.9882	28.4651	26.8242	34.1611	65.7028	47.1879	42.6611	29.2353	21.2086	38.0025
ENSG00000004660	1.84564	0.14495	0.180541	0.19614	0.133226	0.207308	0.196355	2.3384	1.68236	2.27639	1.56477	1.22311	1.49452	0.93913	0.861071	1.22901	0.540587	1.04896	0.391595	2.2772	4.50762	3.00519
ENSG00000004700	25.5645	16.165	14.8845	16.0338	16.5795	18.8191	17.0296	18.1888	18.5662	26.1766	16.3857	10.6434	31.6654	15.0582	17.8428	14.8869	42.7475	14.4863	20.0456	10.1982	11.1611	11.6666
ENSG00000004766	4.85122	3.44819	3.62576	3.28847	3.86791	3.8245	3.70523	4.82737	3.90525	6.16765	5.32543	2.90803	5.52772	3.14014	3.72169	4.59632	5.9071	4.15463	3.57271	3.61559	2.18238	3.94459
ENSG00000004776	0.0114741	0.0430415	0.0655011	0.0327669	0.0282037	0.0663103	0.102368	0	0.0158963	0.0248056	0.0117214	0.00901096	0.0249481	0	0	0.0127672	0.0145554	0.0138612	0.013717	0	0	0.00915458
