A.dname	CLL_25.bed.combine.5mC.CpG.dname	CLL_26.bed.combine.5mC.CpG.dname	CLL_27.bed.combine.5mC.CpG.dname	CLL_28.bed.combine.5mC.CpG.dname	CLL_28.large.bed.combine.5mC.CpG.dname	CLL_28.small.bed.combine.5mC.CpG.dname	CLL_29.bed.combine.5mC.CpG.dname	CLL_30.bed.combine.5mC.CpG.dname	CLL_30.large.bed.combine.5mC.CpG.dname	CLL_30.small.bed.combine.5mC.CpG.dname	CLL_4.bed.combine.5mC.CpG.dname	CLL_5.bed.combine.5mC.CpG.dname	CLL_6.bed.combine.5mC.CpG.dname	CLL_94.bed.combine.5mC.CpG.dname	CLL_95.bed.combine.5mC.CpG.dname	CLL_96.bed.combine.5mC.CpG.dname	CLL_97.bed.combine.5mC.CpG.dname	EGAN00001095766:NBC.1:C003K9.bed.combine.5mC.CpG.dname	EGAN00001095769:NBC.2:C0068L.bed.combine.5mC.CpG.dname	EGAN00001096889:csMBC.2:C003JB.bed.combine.5mC.CpG.dname	EGAN00001096891:MBC.3:C003N3.bed.combine.5mC.CpG.dname	EGAN00001096949:NBC.3:S001JP.bed.combine.5mC.CpG.dname	EGAN00001170519:HMPC.1:F2012-2912.bed.combine.5mC.CpG.dname	EGAN00001170520:PreBC.1:F2012-2912.bed.combine.5mC.CpG.dname	EGAN00001170521:GCBC.1:T11_8.bed.combine.5mC.CpG.dname	EGAN00001170522:PBC.1:MO7071.bed.combine.5mC.CpG.dname	EGAN00001220205:csMBC.1:S004P1.bed.combine.5mC.CpG.dname	EGAN00001220214:NBC.4:S00DM8.bed.combine.5mC.CpG.dname	EGAN00001235812:MBC.2:csMBC.bed.combine.5mC.CpG.dname	EGAN00001266052:HMPC.2:F2012-2912.bed.combine.5mC.CpG.dname	EGAN00001266053:PreBC.2:F2012-2912.bed.combine.5mC.CpG.dname	EGAN00001266054:GCBC.2:T14_10.bed.combine.5mC.CpG.dname	EGAN00001266055:NBC.5:NC11_41.bed.combine.5mC.CpG.dname	EGAN00001266056:csMBC.3:NC11_41.bed.combine.5mC.CpG.dname	EGAN00001266057:PBC.2:V156.bed.combine.5mC.CpG.dname	EGAN00001280907:MBC.1:S017RE.bed.combine.5mC.CpG.dname	EGAN00001282097:GCBC.3:T14_11.bed.combine.5mC.CpG.dname	EGAN00001282098:PBC.3:T14_10.bed.combine.5mC.CpG.dname	EGAN00001282099:PBC.4:T12_20.bed.combine.5mC.CpG.dname	EGAN00001282100:PBC.5:T13_1.bed.combine.5mC.CpG.dname	EGAN00001286337:NBC.6:NC11_83.bed.combine.5mC.CpG.dname	EGAN00001343490:CLL.182:182CLL.bed.combine.5mC.CpG.dname	EGAN00001343492:CLL.12:12CLL.bed.combine.5mC.CpG.dname	EGAN00001343494:CLL.110:110CLL.bed.combine.5mC.CpG.dname	EGAN00001356805:NBC.7:NC15_72.bed.combine.5mC.CpG.dname	EGAN00001358479:CLL.1525:1525CLL.bed.combine.5mC.CpG.dname	EGAN00001358480:CLL.1532:1532CLL.bed.combine.5mC.CpG.dname	EGAN00001401801:CLL.1228:1228CLL.bed.combine.5mC.CpG.dname	GCBC_129.bed.combine.5mC.CpG.dname	GCBC_134.bed.combine.5mC.CpG.dname	GCBC_135.bed.combine.5mC.CpG.dname	GCBC_136.bed.combine.5mC.CpG.dname	GCBC_137.bed.combine.5mC.CpG.dname	GCBC_138.bed.combine.5mC.CpG.dname
chr1_2106950_2107250	0.815066	0.529233	0.034342	0.267043	0.339638	0.396031	0.166489	0.112002	0.393959	0.490920	0.348178	0.521825	0.744127	0.666667	0.483954	0.695918	0.386905	0.862021	0.870898	0.802258	0.783244	0.859766	0.909222	0.836295	0.805338	0.696354	0.857285	0.850557	NAN	0.912769	0.878799	0.830763	0.896936	0.811688	0.732401	0.848755	0.859454	0.808772	0.764670	0.731640	0.832828	0.007722	0.036104	0.355392	0.875449	0.838847	0.627202	0.828906	0.740430	0.802608	0.784294	0.771090	0.771529	0.835783
chr1_2126300_2126700	0.555614	0.242667	0.136497	0.473083	0.345238	0.386111	0.146726	0.406899	0.474380	0.476326	0.411095	0.257002	0.576997	0.000000	0.222222	0.638584	0.190476	0.893127	0.888648	0.594678	0.581040	0.840336	0.888553	0.914126	0.675563	0.539165	0.597057	0.857954	0.750000	0.910971	0.915732	0.776892	0.894478	0.679982	0.556995	0.637452	0.685835	0.761790	0.669899	0.710424	0.766407	0.050665	0.546720	0.283205	0.865191	0.572147	0.528732	0.475215	0.700510	0.764250	0.766538	0.663894	0.668618	0.525155
chr1_2134350_2134650	0.508147	0.309693	0.100478	0.353933	0.369286	0.400107	0.002252	0.086179	0.059370	0.115272	-0.000000	0.030676	0.310841	0.002315	0.016026	0.421497	0.174405	0.948891	0.940592	0.859004	0.921124	0.957857	0.957342	0.958756	0.881277	0.752389	0.900462	0.956959	NAN	0.957056	0.964464	0.923946	0.955459	0.881035	0.849867	0.869740	0.929798	0.902509	0.894719	0.888802	0.954266	0.050916	0.033711	0.330401	0.924095	0.465674	0.048021	0.435166	0.877026	0.929834	0.900333	0.897892	0.912979	0.794165
chr1_2174400_2175100	0.308363	0.056496	0.044509	0.069893	0.095973	0.058647	0.018782	0.059559	0.113762	0.070267	-0.000000	0.021540	0.104623	0.010250	0.038852	0.126230	0.116443	0.237966	0.263001	0.355792	0.359245	0.441280	0.289687	0.323637	0.289043	0.345622	0.405748	0.376144	0.285714	0.262801	0.299940	0.369705	0.404479	0.378642	0.345443	0.431727	0.378796	0.356132	0.323851	0.388827	0.390221	0.012510	0.026997	0.077267	0.346225	0.094240	0.074809	0.211880	0.236836	0.322806	0.296940	0.305774	0.278876	0.301067
chr1_2236350_2237200	0.718124	0.619067	0.474125	0.630854	0.633333	0.602116	0.562231	0.497097	0.594474	0.564854	0.552843	0.587047	0.633863	0.568441	0.571242	0.504893	0.450000	0.858169	0.858985	0.738852	0.754098	0.933977	0.962145	0.949649	0.751372	0.764018	0.733791	0.874162	NAN	0.912445	0.905170	0.761387	0.910341	0.781666	0.762144	0.762394	0.745879	0.785442	0.734737	0.704135	0.802049	0.567096	0.607421	0.590604	0.902788	0.597417	0.541908	0.704105	0.777800	0.740996	0.739456	0.643684	0.708438	0.759704
chr1_2245850_2246000	0.181929	0.027778	0.073611	0.000000	0.059210	0.011111	-0.000000	-0.000000	0.103903	0.114286	-0.000000	0.103232	0.207175	-0.000000	0.008772	0.098985	0.014493	0.923846	0.945077	0.562121	0.787530	0.973710	0.945676	0.955503	0.753253	0.747001	0.828626	0.906828	NAN	0.935582	0.949726	0.821699	0.925479	0.837540	0.806872	0.800954	0.794741	0.891375	0.796412	0.855859	0.716439	0.078198	0.228306	0.105880	0.921248	0.396839	0.084436	0.056393	0.830867	0.871809	0.803190	0.828472	0.795497	0.841192
chr1_2247600_2247900	0.540972	0.500000	0.139156	0.444445	0.461905	0.480769	0.191667	0.519231	0.518939	0.375000	-0.000000	0.349396	0.415278	0.425000	NAN	0.450000	0.500000	0.861863	0.892058	0.654552	0.716462	0.932129	0.950852	0.914747	0.780190	0.696374	0.741610	0.855285	0.000000	0.905292	0.929583	0.781600	0.901718	0.702788	0.700268	0.747951	0.819463	0.838070	0.740547	0.711111	0.844508	0.440326	0.115646	0.464901	0.935439	0.564618	0.342040	0.470883	0.576923	0.683333	0.668182	0.756411	0.695652	0.702568
chr1_2248600_2249250	0.500009	0.492440	0.285061	0.529423	0.624352	0.613775	0.323111	0.553554	0.518258	0.542963	0.496752	0.520725	0.517610	0.363636	0.300000	0.523515	0.297511	0.943121	0.873195	0.819790	0.880702	0.917185	0.938694	0.918804	0.796932	0.753615	0.769191	0.931623	1.000000	0.892078	0.887516	0.793925	0.936549	0.794733	0.769654	0.806296	0.775457	0.842534	0.796320	0.784900	0.867312	0.553302	0.336685	0.555714	0.918532	0.556291	0.289351	0.606311	0.881171	0.789113	0.806601	0.773253	0.748235	0.745962
chr1_2260000_2260300	0.407145	0.090920	0.108980	0.214961	0.176745	0.239043	0.010175	0.213132	0.165439	0.194545	0.038462	0.023859	0.358506	0.014423	0.057860	0.296252	0.027473	0.664248	0.654345	0.709859	0.514918	0.889899	0.903349	0.916737	0.711662	0.769707	0.646660	0.814639	NAN	0.814923	0.933371	0.741074	0.876807	0.796929	0.697052	0.536456	0.804728	0.730907	0.682985	0.802750	0.768527	0.090745	0.043699	0.238963	0.893653	0.128059	0.051173	0.104123	0.758337	0.647156	0.748854	0.687024	0.796620	0.688378
chr1_8623500_8623650	0.025418	0.012195	0.106993	0.018868	-0.000000	-0.000000	0.024390	0.083239	0.055219	0.019608	-0.000000	0.079329	-0.000000	-0.000000	-0.000000	0.021749	0.000000	0.935898	0.933751	0.373317	0.140418	0.724827	0.964635	0.942500	0.379365	0.506786	0.272819	0.432471	NAN	0.939640	0.925726	0.584507	0.851714	0.417804	0.381125	0.257408	0.431677	0.639881	0.669318	0.473395	0.596154	0.028322	0.020442	0.145960	0.808511	0.011111	0.055598	0.084906	0.566530	0.338222	0.630616	0.420910	0.645161	0.365152
