A.intersect.value	CLL.A34021.CEMT_4.H3K9me3.hg38.bwa-sb.IX2823.C3YJAACXX_5_CTTGTA.FindER2.bed.remDups.bed.intersect.value	CLL.A34037.CEMT_5.H3K9me3.hg38.bwa-sb.IX2844.C4C9JACXX_2_AACCCC.FindER2.bed.remDups.bed.intersect.value	CLL.A34076.CEMT_6.H3K9me3.hg38.bwa-sb.IX2844.C4C9JACXX_2_TAATCG.FindER2.bed.remDups.bed.intersect.value	CLL.A34940.CEMT_26.H3K9me3.hg38.bwa-sb.IX2651.C3TC1ACXX_1_CTTGTA.FindER2.bed.remDups.bed.intersect.value	CLL.A34947.CEMT_27.H3K9me3.hg38.bwa-sb.IX2823.C3YJAACXX_5_AACCCC.FindER2.bed.remDups.bed.intersect.value	CLL.A34954.CEMT_28.H3K9me3.hg38.bwa-sb.IX2823.C3YJAACXX_5_TAATCG.FindER2.bed.remDups.bed.intersect.value	CLL.A34961.CEMT_29.H3K9me3.hg38.bwa-sb.IX2823.C3YJAACXX_5_AGGCCG.FindER2.bed.remDups.bed.intersect.value	CLL.A35238.CEMT_25.H3K9me3.hg38.bwa-sb.IX2651.C3TC1ACXX_1_CCCATG.FindER2.bed.remDups.bed.intersect.value	CLL.A35245.CEMT_30.H3K9me3.hg38.bwa-sb.IX2823.C3YJAACXX_5_ATGTCA.FindER2.bed.remDups.bed.intersect.value	CLL.A60645.CEMT_94.H3K9me3.hg38.bwa-sb.IX4415.C958UANXX_8_AACCCC.FindER2.bed.remDups.bed.intersect.value	CLL.A60652.CEMT_95.H3K9me3.hg38.bwa-sb.IX4415.C958UANXX_8_TAATCG.FindER2.bed.remDups.bed.intersect.value	CLL.A60659.CEMT_96.H3K9me3.hg38.bwa-sb.IX4415.C958UANXX_8_AGGCCG.FindER2.bed.remDups.bed.intersect.value	CLL.A60668.CEMT_97.H3K9me3.hg38.bwa-sb.IX4419.C9587ANXX_4_GGCTAC.FindER2.bed.remDups.bed.intersect.value	EGAN00001091897_EGAX00001135687_EGAR00001139769_NBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001095818_EGAX00001133243_EGAR00001137329_NBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001107579_EGAX00001215595_EGAR00001228091_NBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001107643_EGAX00001215955_EGAR00001228606_NBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001107668_EGAX00001171949_EGAR00001185105_NBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001173679_EGAX00001135683_EGAR00001139773_NBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001202786_EGAX00001272637_EGAR00001300126_CLL_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001202787_EGAX00001272619_EGAR00001300046_CLL_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001202788_EGAX00001272595_EGAR00001300136_CLL_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001202789_EGAX00001291852_EGAR00001320579_CLL_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001235813_EGAX00001323209_EGAR00001352515_CLL_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001258588_EGAX00001326443_EGAR00001355794_csMBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265738_EGAX00001272620_EGAR00001300047_PBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265740_EGAX00001272618_EGAR00001300045_GCBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265741_EGAX00001272625_EGAR00001300052_NBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265742_EGAX00001272703_EGAR00001300107_NBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265743_EGAX00001272706_EGAR00001300111_NBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265744_EGAX00001272689_EGAR00001300082_NBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265747_EGAX00001272659_EGAR00001300006_NBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265748_EGAX00001272664_EGAR00001300011_PBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265749_EGAX00001272653_merged2runs_GCBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265750_EGAX00001272585_EGAR00001300065_CLL_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001276797_EGAX00001304998_EGAR00001334471_GCBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001276798_EGAX00001304995_EGAR00001334420_NBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001277490_EGAX00001326454_EGAR00001355727_csMBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001277491_EGAX00001326440_EGAR00001355791_csMBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001277492_EGAX00001305062_EGAR00001334389_NBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001295796_EGAX00001326619_EGAR00001355765_CLL_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001295801_EGAX00001326520_EGAR00001355882_NBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001295802_EGAX00001326536_EGAR00001355851_PBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001295815_EGAX00001326492_EGAR00001355779_usMBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	GCBC.A70850.CEMT_134.H3K9me3.hg38.A70850_3_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	GCBC.A70857.CEMT_135.H3K9me3.hg38.IX5209.CAVPBANXX_2_GGCTAC.FindER2.bed.remDups.bed.intersect.value	GCBC.A70864.CEMT_136.H3K9me3.hg38.IX5210.CAVPBANXX_3_ACGATA.FindER2.bed.remDups.bed.intersect.value	GCBC.A70871.CEMT_137.H3K9me3.hg38.IX5212.CAVPBANXX_5_ATAATT.FindER2.bed.remDups.bed.intersect.value	GCBC.A70878.CEMT_138.H3K9me3.hg38.IX5213.CAVPBANXX_6_CACCGG.FindER2.bed.remDups.bed.intersect.value
chr1_875600_876000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175	0	0	0	0	0	0	0	0	100	0	400	0	400	0	0	0	400	400	375	0	375	75	0	0	0	0	0	375	0	0	0	0	0	0
chr1_960750_961400	0	0	50	0	0	0	0	0	0	125	0	50	0	375	375	0	0	425	0	375	0	0	0	0	0	650	575	0	0	0	225	0	650	575	0	650	0	0	0	0	500	0	650	0	0	275	0	0	650
chr1_971100_971550	0	0	0	0	0	0	0	0	0	150	0	0	0	75	225	450	150	450	0	0	0	450	0	375	0	450	0	150	0	0	0	450	450	75	0	150	450	0	0	450	375	375	450	0	0	0	0	0	0
chr1_978200_978600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250	0	225	0	0	0	0	0	150	0	375	400	0	0	0	0	0	400	400	0	400	0	0	0	0	400	0	400	0	0	0	0	0	0
chr1_979000_979350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	350	0	350	125	0	0	0	0	75	350	125	0	350	0	0	0	0	0	0	350	0	0	150	0	0	50
chr1_1019900_1020200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	300	300	0	0	0	0	300	0	300	0	0	300	200	0	0	0	0	300	275	275	0	300	0	0	0	0	300	0	275	0	0	0	0	0	50
chr1_1055900_1056250	0	0	100	0	0	0	0	0	0	350	175	0	175	0	0	350	0	0	0	0	0	0	0	0	0	325	0	0	0	0	0	175	350	0	0	100	0	0	0	0	0	0	325	0	0	0	0	0	0
chr1_1064100_1064650	0	0	0	0	0	0	0	0	0	525	0	0	0	0	0	475	400	0	0	0	325	0	0	150	0	550	175	375	250	175	0	0	525	0	375	0	375	0	0	0	550	0	550	0	0	0	0	0	300
chr1_1117050_1117900	0	0	0	0	0	0	0	0	0	175	0	0	0	0	175	475	0	0	0	300	0	0	0	0	0	850	525	525	0	0	0	0	825	700	0	375	0	0	0	0	0	150	850	25	0	0	0	0	0
chr1_1121150_1121500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350	0	0	0	0	0	0	325	0	0	0	0	0	0	0	0	0	300	0	0	0	0	0	0
chr1_1150750_1151400	0	0	0	0	0	0	0	0	0	650	0	0	0	0	0	0	0	600	0	0	75	200	0	0	0	650	225	75	0	0	0	0	650	650	525	650	600	0	0	0	375	0	650	0	0	0	0	0	600
chr1_1173000_1173300	0	300	0	0	0	150	0	150	0	225	0	0	0	0	0	0	0	0	0	0	0	225	75	0	0	300	300	0	0	0	0	0	300	0	0	0	0	0	0	0	300	75	300	0	0	0	0	0	0
chr1_1219050_1219450	0	0	25	0	0	0	0	0	0	100	75	75	0	0	0	0	0	0	0	0	0	0	0	0	0	400	0	250	0	0	0	0	375	0	0	175	0	0	0	0	0	0	400	75	0	0	0	0	0
chr1_1247550_1248150	0	0	0	0	0	0	0	0	0	0	525	0	0	0	450	0	225	300	0	450	0	0	0	0	375	600	300	525	0	0	0	225	600	0	0	225	0	0	0	0	0	0	600	450	0	0	0	0	75
chr1_1288000_1288350	0	0	0	0	0	0	0	0	0	350	350	350	350	0	0	0	0	200	0	0	0	0	0	200	0	350	350	0	0	0	0	350	350	350	0	350	0	0	0	0	0	0	350	0	150	225	0	150	0
chr1_1290500_1290850	0	0	0	0	0	0	0	0	0	25	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	325	250	175	0	0	0	0	325	100	0	0	0	0	0	0	0	0	325	0	0	0	0	0	0
chr1_1419700_1419800	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	100	100	0	0	0	0	100	0	100	0	0	0	100	100	0	0	100	50	0	0	0	100	0	100	100	0	0	0	0	0
chr1_1529250_1529600	0	0	0	0	0	0	275	0	0	0	50	50	0	0	0	0	0	75	0	0	200	0	0	300	0	350	350	275	0	0	0	50	350	350	0	350	0	0	0	0	0	0	350	0	0	0	0	0	0
chr1_1968600_1969000	0	0	0	0	0	0	0	0	0	300	300	0	150	0	0	0	0	150	0	0	0	0	0	0	0	400	0	0	0	0	0	0	400	0	0	100	0	0	0	0	0	325	375	0	0	0	0	0	0
chr1_2049950_2050300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	325	0	0	0	0	0	0	0	0	0	350	25	0	0	0	0	0	325	0	0	350	0	0	0	0	0	0	325	0	100	25	0	0	0
chr1_2051000_2051400	0	0	0	0	0	0	0	0	0	0	0	0	0	400	0	0	0	300	0	0	0	0	0	0	0	400	400	0	0	0	0	0	400	400	0	400	0	0	0	0	0	250	375	0	175	0	0	0	0
chr1_2095100_2095400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	300	0	125	0	0	0	175	0	0	0	275	300	0	100	0	0	0	300	300	0	300	0	0	0	0	0	300	300	0	0	0	0	0	0
chr1_2253500_2254100	0	0	0	0	0	0	0	0	0	0	0	0	0	175	0	0	0	50	0	0	450	0	0	0	0	600	600	275	0	0	500	300	600	600	0	600	0	0	0	0	0	0	575	0	0	0	0	0	0
chr1_2279250_2279850	0	0	0	0	0	0	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	450	0	0	600	0	0	0	0	0	0	600	600	0	600	0	0	0	0	0	0	600	0	0	0	0	0	0
chr1_2587350_2587800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	450	450	0	0	0	0	0	450	450	150	0	0	0	0	0	0	0	450	0	0	0	0	0	0
chr1_2934250_2934600	0	350	350	0	0	0	350	0	0	75	0	0	0	0	0	0	0	0	0	0	350	0	0	0	0	350	0	200	0	0	0	0	350	350	0	300	0	0	0	0	0	0	350	0	0	0	0	0	0
chr1_3120000_3120450	0	0	0	0	0	0	225	0	0	150	0	0	0	225	225	0	0	0	0	0	0	0	0	450	0	450	0	0	0	0	0	0	450	0	375	450	0	0	225	0	0	0	450	225	0	0	0	0	0
chr1_6385350_6385800	0	0	0	0	0	0	0	0	0	450	0	0	0	0	0	0	0	150	0	0	0	0	0	0	0	450	450	0	0	75	0	0	450	450	0	450	0	0	0	0	75	75	450	0	0	0	0	0	0
