A.H3K9me3.intersect.value	CLL.A34021.CEMT_4.H3K9me3.hg38.bwa-sb.IX2823.C3YJAACXX_5_CTTGTA.FindER2.bed.remDups.bed.intersect.value	CLL.A34037.CEMT_5.H3K9me3.hg38.bwa-sb.IX2844.C4C9JACXX_2_AACCCC.FindER2.bed.remDups.bed.intersect.value	CLL.A34076.CEMT_6.H3K9me3.hg38.bwa-sb.IX2844.C4C9JACXX_2_TAATCG.FindER2.bed.remDups.bed.intersect.value	CLL.A34940.CEMT_26.H3K9me3.hg38.bwa-sb.IX2651.C3TC1ACXX_1_CTTGTA.FindER2.bed.remDups.bed.intersect.value	CLL.A34947.CEMT_27.H3K9me3.hg38.bwa-sb.IX2823.C3YJAACXX_5_AACCCC.FindER2.bed.remDups.bed.intersect.value	CLL.A34954.CEMT_28.H3K9me3.hg38.bwa-sb.IX2823.C3YJAACXX_5_TAATCG.FindER2.bed.remDups.bed.intersect.value	CLL.A34961.CEMT_29.H3K9me3.hg38.bwa-sb.IX2823.C3YJAACXX_5_AGGCCG.FindER2.bed.remDups.bed.intersect.value	CLL.A35238.CEMT_25.H3K9me3.hg38.bwa-sb.IX2651.C3TC1ACXX_1_CCCATG.FindER2.bed.remDups.bed.intersect.value	CLL.A35245.CEMT_30.H3K9me3.hg38.bwa-sb.IX2823.C3YJAACXX_5_ATGTCA.FindER2.bed.remDups.bed.intersect.value	CLL.A60645.CEMT_94.H3K9me3.hg38.bwa-sb.IX4415.C958UANXX_8_AACCCC.FindER2.bed.remDups.bed.intersect.value	CLL.A60652.CEMT_95.H3K9me3.hg38.bwa-sb.IX4415.C958UANXX_8_TAATCG.FindER2.bed.remDups.bed.intersect.value	CLL.A60659.CEMT_96.H3K9me3.hg38.bwa-sb.IX4415.C958UANXX_8_AGGCCG.FindER2.bed.remDups.bed.intersect.value	CLL.A60668.CEMT_97.H3K9me3.hg38.bwa-sb.IX4419.C9587ANXX_4_GGCTAC.FindER2.bed.remDups.bed.intersect.value	EGAN00001091897_EGAX00001135687_EGAR00001139769_NBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001095818_EGAX00001133243_EGAR00001137329_NBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001107579_EGAX00001215595_EGAR00001228091_NBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001107643_EGAX00001215955_EGAR00001228606_NBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001107668_EGAX00001171949_EGAR00001185105_NBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001173679_EGAX00001135683_EGAR00001139773_NBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001202786_EGAX00001272637_EGAR00001300126_CLL_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001202787_EGAX00001272619_EGAR00001300046_CLL_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001202788_EGAX00001272595_EGAR00001300136_CLL_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001202789_EGAX00001291852_EGAR00001320579_CLL_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001235813_EGAX00001323209_EGAR00001352515_CLL_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001258588_EGAX00001326443_EGAR00001355794_csMBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265738_EGAX00001272620_EGAR00001300047_PBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265740_EGAX00001272618_EGAR00001300045_GCBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265741_EGAX00001272625_EGAR00001300052_NBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265742_EGAX00001272703_EGAR00001300107_NBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265743_EGAX00001272706_EGAR00001300111_NBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265744_EGAX00001272689_EGAR00001300082_NBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265747_EGAX00001272659_EGAR00001300006_NBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265748_EGAX00001272664_EGAR00001300011_PBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265749_EGAX00001272653_merged2runs_GCBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265750_EGAX00001272585_EGAR00001300065_CLL_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001276797_EGAX00001304998_EGAR00001334471_GCBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001276798_EGAX00001304995_EGAR00001334420_NBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001277490_EGAX00001326454_EGAR00001355727_csMBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001277491_EGAX00001326440_EGAR00001355791_csMBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001277492_EGAX00001305062_EGAR00001334389_NBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001295796_EGAX00001326619_EGAR00001355765_CLL_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001295801_EGAX00001326520_EGAR00001355882_NBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001295802_EGAX00001326536_EGAR00001355851_PBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001295815_EGAX00001326492_EGAR00001355779_usMBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	GCBC.A70850.CEMT_134.H3K9me3.hg38.A70850_3_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	GCBC.A70857.CEMT_135.H3K9me3.hg38.IX5209.CAVPBANXX_2_GGCTAC.FindER2.bed.remDups.bed.intersect.value	GCBC.A70864.CEMT_136.H3K9me3.hg38.IX5210.CAVPBANXX_3_ACGATA.FindER2.bed.remDups.bed.intersect.value	GCBC.A70871.CEMT_137.H3K9me3.hg38.IX5212.CAVPBANXX_5_ATAATT.FindER2.bed.remDups.bed.intersect.value	GCBC.A70878.CEMT_138.H3K9me3.hg38.IX5213.CAVPBANXX_6_CACCGG.FindER2.bed.remDups.bed.intersect.value
chr1_86622150_86622600	0	300	0	0	450	0	0	0	450	225	450	0	0	450	450	450	450	450	450	0	450	450	0	0	225	0	0	450	450	450	450	450	300	450	450	0	450	0	225	450	0	450	0	450	0	0	0	0	450
chr1_182492700_182493000	0	225	150	150	0	150	300	225	150	0	300	225	0	300	300	0	0	75	75	0	300	300	0	0	0	0	0	0	0	300	0	300	0	0	0	150	0	0	300	0	225	0	0	0	0	0	0	0	0
chr10_122847600_122847900	0	0	0	0	0	0	300	0	0	0	300	0	300	0	300	225	300	0	0	0	300	300	0	0	0	0	0	0	0	0	0	300	0	0	300	0	75	300	0	0	0	0	300	300	0	0	0	0	0
chr11_8433900_8434200	300	300	0	300	300	300	300	300	300	0	300	0	0	300	0	0	0	0	0	0	300	300	0	0	0	0	225	0	0	0	0	0	0	0	0	0	225	0	0	75	0	300	0	75	75	0	0	0	75
chr11_55686000_55686300	300	300	0	0	300	300	300	0	300	300	300	300	0	0	0	0	0	0	0	300	300	300	0	0	0	0	0	0	0	0	0	0	0	225	0	300	225	300	0	300	0	150	300	300	150	300	0	150	0
chr11_59455300_59455600	300	200	0	50	275	125	300	125	300	0	0	0	0	250	0	0	0	0	0	0	275	300	100	0	0	0	0	0	0	0	0	300	0	0	0	0	0	200	0	0	300	0	0	25	100	0	0	0	275
chr11_60303500_60303850	325	0	0	100	350	0	0	0	350	0	325	0	0	0	350	0	0	0	0	0	0	350	175	0	100	0	0	0	0	0	0	0	0	0	350	0	0	0	0	0	0	0	0	0	0	325	0	0	350
chr11_62367900_62368200	300	75	300	300	300	300	300	300	300	0	300	0	0	0	0	75	0	0	0	0	300	300	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	225	0	0	0	0	75	300	0	150
chr11_63552900_63553450	400	250	250	0	525	100	550	0	550	300	550	0	0	0	0	0	0	0	0	0	550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11_64412850_64413300	450	450	150	225	450	0	450	450	450	0	450	0	0	375	0	0	0	0	0	0	450	375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	0	0	0	0
chr11_64984950_64985250	300	300	75	75	0	150	300	300	225	0	300	0	0	0	300	150	300	0	0	0	300	300	0	75	300	0	0	0	0	0	0	0	0	0	0	0	0	300	0	0	0	0	0	300	0	0	0	0	0
chr11_68748900_68749500	300	600	600	75	600	0	600	375	450	0	300	0	0	0	450	0	0	0	0	0	600	600	0	0	600	0	525	0	0	0	0	0	600	0	0	300	0	75	0	0	0	300	225	600	0	0	0	0	0
chr11_72186450_72186900	450	450	0	375	450	0	450	450	450	0	0	0	0	0	450	0	0	75	0	0	450	450	0	0	375	0	0	0	0	0	0	0	0	0	150	0	0	0	0	0	0	0	0	0	0	0	0	0	375
chr11_73449050_73449400	325	0	350	175	350	0	350	350	325	0	250	0	0	350	0	250	0	350	0	0	0	350	0	0	0	0	0	0	0	0	175	0	0	0	175	0	0	25	0	0	0	0	0	0	0	0	350	0	350
chr11_74588600_74588950	350	250	0	175	0	0	0	0	325	0	325	0	0	350	0	350	250	350	350	0	350	325	0	0	175	250	0	25	0	250	0	0	0	0	0	0	175	0	350	0	250	175	0	0	0	25	0	0	0
chr11_75217350_75218000	350	575	0	50	150	0	0	0	450	375	650	0	0	650	650	650	450	650	0	0	650	650	0	150	275	0	0	375	0	0	275	0	0	0	0	0	0	0	650	0	0	650	600	650	0	525	0	0	0
chr11_75396600_75397050	450	450	0	450	450	450	450	75	450	0	0	0	0	0	0	0	0	0	0	0	0	450	0	0	450	0	0	0	0	0	0	0	0	0	0	0	0	450	0	0	0	0	0	0	0	0	0	0	75
chr11_85012000_85012300	300	300	0	0	300	300	0	300	300	0	0	0	0	0	0	300	300	0	175	0	275	300	0	0	0	0	50	0	0	0	300	50	300	300	0	0	0	0	0	275	0	0	0	0	0	0	0	0	0
chr11_113826750_113827050	225	150	0	0	300	150	300	0	300	0	0	0	0	0	0	0	0	0	0	0	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	300	0	0	0
chr11_116347500_116347800	300	0	0	0	300	300	300	300	300	150	300	150	0	0	0	0	0	0	0	0	150	300	0	0	225	150	0	0	75	300	0	75	150	300	0	300	75	300	150	75	75	150	150	0	225	0	0	300	0
chr11_121413450_121413900	450	450	450	450	450	450	450	450	450	0	450	0	0	0	0	0	0	150	225	0	450	450	0	0	0	0	0	0	0	0	0	150	0	0	0	0	0	0	0	225	0	0	0	0	0	0	0	0	150
chr11_121547000_121547400	400	100	0	400	400	25	0	400	400	0	0	0	0	0	0	0	0	25	0	0	375	400	0	0	0	0	0	0	0	0	0	0	0	0	400	0	0	0	0	0	0	0	0	100	0	0	0	0	0
chr11_123455450_123455800	350	175	350	100	350	0	0	175	250	0	100	0	0	0	250	0	0	0	0	0	325	350	0	250	350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	325
chr11_127084900_127085200	300	50	0	300	0	0	0	50	300	0	300	250	25	300	0	100	50	0	0	300	300	300	0	0	0	0	0	300	50	0	300	300	0	0	0	0	300	300	300	300	0	275	0	300	0	0	0	0	0
chr11_134450650_134451000	350	350	350	350	350	350	350	350	350	0	350	0	0	0	350	0	0	0	0	125	200	350	0	0	0	0	0	0	0	0	125	50	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0
chr12_1855750_1856800	1050	425	0	300	1050	375	200	0	950	1050	1050	0	0	1050	1050	1050	1050	1050	1050	125	1050	1050	0	425	0	575	0	1050	1050	1050	1050	1050	600	875	275	650	1050	1025	1050	1050	100	1050	1050	1050	650	200	425	425	100
chr12_7969950_7970500	550	550	0	225	375	550	550	550	550	0	550	0	0	0	0	0	0	100	0	0	550	550	550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	0	0	0	0	175	300	0	0	250
chr12_51479800_51480250	450	450	0	125	450	0	450	450	450	0	0	0	0	50	0	0	0	0	0	275	450	450	0	0	400	0	0	100	0	0	0	0	0	0	400	0	0	0	0	0	0	0	0	0	250	0	100	250	450
