A.intersect.value	CLL.A34020.CEMT_4.H3K4me3.hg38.A34020_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A34036.CEMT_5.H3K4me3.hg38.A34036_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A34075.CEMT_6.H3K4me3.hg38.A34075_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A34939.CEMT_26.H3K4me3.hg38.A34939_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A34946.CEMT_27.H3K4me3.hg38.A34946_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A34953.CEMT_28.H3K4me3.hg38.A34953_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A34960.CEMT_29.H3K4me3.hg38.A34960_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A35237.CEMT_25.H3K4me3.hg38.A35237_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A35244.CEMT_30.H3K4me3.hg38.A35244_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A60644.CEMT_94.H3K4me3.hg38.bwa-sb.IX4412.C958UANXX_5_GATCAG.FindER2.bed.remDups.bed.intersect.value	CLL.A60651.CEMT_95.H3K4me3.hg38.bwa-sb.IX4412.C958UANXX_5_GATGCT.FindER2.bed.remDups.bed.intersect.value	CLL.A60658.CEMT_96.H3K4me3.hg38.A60658_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A60669.CEMT_97.H3K4me3.hg38.A60669_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	EGAN00001091882_EGAX00001135682_EGAR00001139772_NBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001091897_EGAX00001215957_EGAR00001228608_NBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001095818_EGAX00001128209_EGAR00001132156_NBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001095891_EGAX00001135680_EGAR00001139770_NBC_H3K4me3_SINGLE.MACS2NoInput.bed.intersect.value	EGAN00001107643_EGAX00001231897_EGAR00001245923_NBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001107668_EGAX00001215621_EGAR00001228080_NBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001173679_EGAX00001138967_EGAR00001143053_NBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001202786_EGAX00001323202_EGAR00001352518_CLL_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001202787_EGAX00001291853_EGAR00001320580_CLL_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001202788_EGAX00001323210_EGAR00001352510_CLL_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001202789_EGAX00001291851_EGAR00001320578_CLL_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001235813_EGAX00001323205_merged2runs_CLL_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001258588_EGAX00001291825_EGAR00001320549_csMBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265738_EGAX00001272592_merged2runs_PBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265740_EGAX00001272613_merged2runs_GCBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265741_EGAX00001272644_EGAR00001299991_NBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265743_EGAX00001272704_EGAR00001300108_NBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265744_EGAX00001272686_EGAR00001300079_NBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265747_EGAX00001272655_EGAR00001300002_NBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265748_EGAX00001272660_EGAR00001300007_PBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265749_EGAX00001272649_EGAR00001299996_GCBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265750_EGAX00001272584_EGAR00001300013_CLL_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001274157_EGAX00001419444_EGAR00001456638_MBC_H3K4me3_PAIRED.FindER2.bed.intersect.value	EGAN00001276797_EGAX00001304984_EGAR00001334467_GCBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001276798_EGAX00001304993_EGAR00001334418_NBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001277490_EGAX00001305087_EGAR00001334366_csMBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001277491_EGAX00001305084_EGAR00001334363_csMBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001277492_EGAX00001326449_EGAR00001355722_NBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001280969_EGAX00001419407_merged2runs_MBC_H3K4me3_PAIRED.FindER2.bed.intersect.value	EGAN00001295794_EGAX00001326425_EGAR00001355899_GCBC_H3K4me3_SINGLE.MACS2NoInput.bed.intersect.value	EGAN00001295795_EGAX00001326623_EGAR00001355769_PBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001295796_EGAX00001326617_EGAR00001355763_CLL_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001295801_EGAX00001326600_EGAR00001355772_NBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001295804_EGAX00001326426_merged2runs_NBC_H3K4me3_SINGLE.MACS2NoInput.bed.intersect.value	EGAN00001295815_EGAX00001326482_EGAR00001355809_usMBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	GCBC.A68887.CEMT_129.H3K4me3.hg38.bwa-sb.IX5130.CAVYBANXX_8_AGGCCG.FindER2.bed.remDups.bed.intersect.value	GCBC.A70849.CEMT_134.H3K4me3.hg38.A70849_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	GCBC.A70856.CEMT_135.H3K4me3_1_lane_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	GCBC.A70863.CEMT_136.H3K4me3.125nt.hg38.FindER2.bed.remDups.bed.intersect.value	GCBC.A70870.CEMT_137.H3K4me3.125nt.hg38.FindER2.bed.remDups.bed.intersect.value	GCBC.A70877.CEMT_138.H3K4me3_1_lane_dupsFlagged.FindER2.bed.remDups.bed.intersect.value
chr1_2294400_2294800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	400	0	0	0	0	0	0	400	325	400	0	0	0	0	400	400	400	375	0	0	0	0	0	400	0	0	400	0	0	0	0	400	0	0	0	0	0	0	0	0
chr1_24870500_24871150	0	0	0	0	0	0	0	0	0	0	0	0	0	400	650	625	0	650	325	0	0	525	0	475	0	375	0	0	650	650	650	650	0	375	0	325	0	625	0	0	650	0	0	0	650	650	0	300	0	0	0	0	0	0
chr1_36359250_36359550	225	150	0	0	0	0	225	0	0	0	0	0	0	0	150	300	0	300	300	0	0	300	0	75	0	0	0	0	150	300	300	300	0	0	0	0	0	0	0	0	300	0	0	0	0	300	0	0	0	0	0	0	0	0
chr1_38477700_38478100	0	400	0	75	375	75	0	150	0	0	0	0	400	0	400	225	0	400	25	375	400	400	0	400	0	400	0	0	400	400	400	400	0	75	75	400	0	400	400	225	400	400	0	0	400	400	0	400	75	0	0	0	0	0
chr1_40884150_40884550	0	0	0	0	0	0	0	0	0	0	0	0	0	400	400	400	0	300	400	0	0	0	0	300	0	225	400	0	225	400	400	400	400	400	0	0	400	400	0	0	375	0	0	375	250	400	0	0	225	0	0	0	300	0
chr1_42934100_42934550	450	450	450	0	0	450	100	450	0	0	0	175	0	450	450	450	0	450	425	450	425	450	450	450	175	450	450	0	450	450	450	450	0	125	0	450	0	450	450	450	450	450	0	0	450	450	0	450	100	175	0	0	325	450
chr1_54480300_54480900	0	0	0	0	0	0	0	0	0	0	0	0	0	375	600	450	0	600	600	0	0	0	0	525	0	375	0	0	600	525	600	600	0	0	0	0	0	600	525	0	600	0	0	0	600	600	0	0	0	0	0	0	0	0
chr1_64615800_64616400	0	0	0	0	0	0	0	0	0	0	0	0	0	375	600	0	0	600	0	600	0	0	600	0	0	0	0	0	600	0	600	600	0	0	300	0	0	0	0	0	600	0	0	0	0	600	0	0	0	0	0	0	0	0
chr1_65525300_65525600	0	0	0	0	0	0	0	0	0	0	0	0	0	300	300	275	0	0	300	0	0	300	0	300	0	0	0	0	300	300	300	300	0	300	300	0	200	300	300	0	300	0	0	0	300	300	0	125	0	0	0	0	0	0
chr1_72285150_72285250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	100	100	75	0	0	0	0	0	0	0	0	100	100	100	100	0	0	0	100	0	100	0	0	100	75	0	0	0	100	0	0	0	0	0	0	100	0
chr1_73592850_73593900	0	0	300	0	0	0	0	0	0	0	0	0	0	225	1050	0	0	1050	825	675	0	0	0	0	0	0	0	375	1050	1050	975	975	0	0	0	0	0	825	0	0	1050	0	0	0	0	1050	714	0	0	0	0	0	0	0
chr1_76075650_76076550	75	0	0	0	0	0	150	0	0	0	0	0	0	75	900	900	0	900	600	900	0	450	900	0	0	900	0	0	900	900	900	900	75	525	75	675	75	900	900	450	900	825	0	0	0	900	250	675	900	0	0	375	525	0
chr1_76218950_76219350	0	0	0	0	0	0	0	0	0	0	0	0	0	375	400	0	0	400	400	400	0	0	400	0	0	400	0	0	400	400	400	375	0	0	0	400	225	0	400	400	400	300	0	0	0	400	311	300	100	0	0	250	0	0
chr1_78620000_78620150	0	0	0	0	150	0	0	0	0	0	0	0	0	0	150	125	0	150	0	150	0	125	150	150	0	150	0	0	150	150	150	150	0	0	0	150	0	150	150	150	150	150	0	0	150	150	50	150	0	50	0	0	150	0
chr1_78620450_78621600	450	0	0	0	325	0	0	525	0	0	375	0	0	1125	1150	1150	262	1150	475	850	0	925	775	1150	0	1150	0	0	1150	1150	1150	1150	0	0	0	1150	0	1150	1150	1150	1150	1150	0	0	550	1150	555	1150	325	1150	0	625	1000	175
chr1_80641100_80642400	0	0	0	0	0	0	0	0	0	0	0	375	0	1200	1300	1275	0	1300	1300	1300	0	0	0	0	0	1300	0	0	1300	1300	1300	625	0	0	0	1300	0	0	1300	1300	1300	1300	0	0	0	1300	507	1300	625	0	0	0	550	0
chr1_86155650_86155950	0	0	0	0	0	0	0	0	0	0	0	0	0	300	300	0	0	300	300	0	0	300	0	300	0	0	300	0	300	300	300	300	300	300	300	0	300	300	0	0	300	0	0	300	300	300	0	150	75	0	0	0	0	0
chr1_101027550_101028150	0	0	0	0	0	0	0	0	0	0	0	600	0	150	600	525	0	600	600	600	600	600	600	600	450	600	0	0	600	600	600	600	0	0	0	600	0	600	600	0	600	600	0	0	600	600	0	600	225	75	0	0	450	525
chr1_101029150_101029350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	200	0	200	200	200	125	200	200	200	50	200	0	0	200	200	200	200	0	0	0	200	0	200	200	0	200	200	0	0	200	200	0	200	200	200	0	0	200	125
chr1_101240700_101241550	0	0	300	0	0	0	0	0	0	0	0	300	0	750	850	0	0	850	850	850	75	850	600	850	150	850	0	0	850	850	850	850	0	0	0	825	0	525	850	0	850	850	0	0	525	850	0	850	325	175	0	0	175	0
chr1_101276800_101277200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	400	0	0	400	0	350	0	0	400	0	0	0	0	0	400	400	400	400	0	0	0	0	0	400	0	0	400	0	0	0	0	400	400	0	0	0	0	0	0	0
chr1_107961500_107961800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	300	0	0	300	0	0	0	0	0	0	0	0	0	0	300	275	300	300	0	0	0	0	0	0	0	0	275	0	0	0	0	300	0	0	0	0	0	0	0	0
chr1_107961950_107962250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	300	275	0	300	300	275	0	275	275	0	0	300	0	0	300	300	300	300	0	0	0	300	0	200	50	0	300	300	0	0	0	300	0	125	0	125	0	50	200	0
chr1_109886400_109886750	50	125	0	0	0	0	0	0	0	0	0	0	0	0	350	0	0	350	350	350	0	275	0	0	125	350	0	0	350	350	350	350	0	125	0	200	50	350	350	350	350	350	0	0	350	350	0	275	200	0	0	0	0	0
chr1_110102250_110103000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	675	0	0	750	675	600	0	0	300	0	0	0	0	0	750	750	750	750	0	450	0	0	600	750	0	0	750	0	0	0	0	750	420	0	600	450	300	450	525	0
chr1_111475600_111476000	0	350	0	0	350	0	0	0	0	125	0	0	400	275	400	400	0	400	400	400	400	400	400	400	400	400	0	0	400	400	400	400	0	50	200	400	200	400	400	400	400	400	0	0	50	400	0	400	400	0	0	125	400	125
