A.H3K4me1.intersect.value	CLL.A34019.CEMT_4.H3K4me1.hg38.A34019_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A34035.CEMT_5.H3K4me1.hg38.A34035_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A34074.CEMT_6.H3K4me1.hg38.A34074_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A34938.CEMT_26.H3K4me1.hg38.A34938_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A34945.CEMT_27.H3K4me1.hg38.A34945_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A34952.CEMT_28.H3K4me1.hg38.A34952_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A34959.CEMT_29.H3K4me1.hg38.A34959_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A35236.CEMT_25.H3K4me1.hg38.A35236_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A35243.CEMT_30.H3K4me1.hg38.A35243_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A60643.CEMT_94.H3K4me1.hg38.bwa-sb.IX4413.C958UANXX_6_ATCACG.FindER2.bed.remDups.bed.intersect.value	CLL.A60650.CEMT_95.H3K4me1.hg38.bwa-sb.IX4414.C958UANXX_7_CTAGCT.FindER2.bed.remDups.bed.intersect.value	CLL.A60657.CEMT_96.H3K4me1.hg38.bwa-sb.IX4414.C958UANXX_7_AACTTG.FindER2.bed.remDups.bed.intersect.value	CLL.A60670.CEMT_97.H3K4me1.hg38.bwa-sb.IX4412.C958UANXX_5_ACGATA.FindER2.bed.remDups.bed.intersect.value	EGAN00001091897_EGAX00001135686_EGAR00001139768_NBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001095818_EGAX00001133242_EGAR00001137328_NBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001107643_EGAX00001215953_EGAR00001228604_NBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001107668_EGAX00001215622_EGAR00001228081_NBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001173679_EGAX00001133247_EGAR00001137334_NBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001202786_EGAX00001272679_merged2runs_CLL_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001202787_EGAX00001231900_EGAR00001245926_CLL_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001202788_EGAX00001215636_EGAR00001228045_CLL_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001202789_EGAX00001272596_EGAR00001300137_CLL_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001235813_EGAX00001234407_EGAR00001248465_CLL_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001258588_EGAX00001291824_EGAR00001320548_csMBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001265738_EGAX00001272600_EGAR00001300131_PBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001265740_EGAX00001272621_EGAR00001300048_GCBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001265741_EGAX00001272624_EGAR00001300051_NBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001265742_EGAX00001272707_EGAR00001300114_NBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001265743_EGAX00001272668_merged3runs_NBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001265744_EGAX00001364257_EGAR00001401411_NBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001265747_EGAX00001272656_EGAR00001300003_NBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001265748_EGAX00001272661_EGAR00001300008_PBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001265749_EGAX00001272650_EGAR00001299997_GCBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001274157_EGAX00001419429_EGAR00001456616_MBC_H3K4me1_PAIRED.FindER2.bed.intersect.value	EGAN00001276795_EGAX00001304981_EGAR00001334464_NBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001276796_EGAX00001304983_EGAR00001334466_PBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001276797_EGAX00001305005_EGAR00001334422_GCBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001277490_EGAX00001326452_EGAR00001355725_csMBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001277491_EGAX00001305085_EGAR00001334364_csMBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001277492_EGAX00001305061_EGAR00001334388_NBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001295796_EGAX00001326574_EGAR00001355824_CLL_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001295815_EGAX00001326490_EGAR00001355777_usMBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001358538_EGAX00001371128_EGAR00001408501_CLL_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001358558_EGAX00001371127_EGAR00001408500_CLL_H3K4me1_SINGLE.FindER2.bed.intersect.value	GCBC.A68886.CEMT_129.H3K4me1.hg38.bwa-sb.IX5126.CAVYBANXX_4_AGCGCT.FindER2.bed.remDups.bed.intersect.value	GCBC.A70848.CEMT_134.H3K4me1.hg38.IX5208.CAVPBANXX_1_ATCACG.FindER2.bed.remDups.bed.intersect.value	GCBC.A70855.CEMT_135.H3K4me1.hg38.IX5209.CAVPBANXX_2_GATCAG.FindER2.bed.remDups.bed.intersect.value	GCBC.A70862.CEMT_136.H3K4me1.hg38.IX5210.CAVPBANXX_3_ACCCAG.FindER2.bed.remDups.bed.intersect.value	GCBC.A70869.CEMT_137.H3K4me1.hg38.IX5211.CAVPBANXX_4_AGCGCT.FindER2.bed.remDups.bed.intersect.value	GCBC.A70876.CEMT_138.H3K4me1.hg38.IX5213.CAVPBANXX_6_CAAAAG.FindER2.bed.remDups.bed.intersect.value
chr1_2074800_2075100	300	0	0	0	300	0	0	0	300	0	0	0	0	0	0	0	0	0	0	300	300	300	0	0	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	300	300	0	0	0	0	0	0
chr1_2083350_2083650	300	0	0	225	300	0	0	0	0	0	300	0	0	0	0	0	0	0	0	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	300	300	0	0	0	0	0	0
chr1_2105400_2106650	1250	375	0	0	1250	1250	1250	150	875	950	1250	0	1250	0	0	0	50	0	0	1250	1250	875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1250	1025	0	0	0	0	0	0
chr1_2135950_2136250	300	50	0	0	300	0	300	0	275	300	300	25	300	0	300	300	0	0	300	300	300	25	0	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	300	300	0	0	0	0	0	0
chr1_2136700_2137100	400	400	50	0	400	0	400	0	400	400	400	0	50	400	0	0	400	0	400	400	400	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	400	400	0	0	0	0	0	0
chr1_2138250_2138650	400	400	0	0	400	100	400	0	375	400	375	0	0	400	0	0	150	0	300	400	400	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	400	400	0	0	0	0	0	0
chr1_4050100_4050600	500	0	0	0	500	0	500	150	0	0	500	0	0	500	0	500	500	0	0	50	0	0	0	450	50	500	500	500	500	0	500	350	500	500	500	500	500	0	200	500	0	500	450	0	500	500	500	500	500	500
chr1_10496650_10497000	350	0	0	50	350	125	350	0	350	50	125	0	0	0	275	0	0	0	200	125	350	50	0	0	0	0	0	200	200	200	0	125	0	350	0	0	0	0	125	50	0	350	275	350	0	0	0	0	0	0
chr1_13529100_13529400	0	0	0	0	300	0	300	0	300	0	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	300	300	0	0	0	0	0	0
chr1_17137050_17137350	300	0	0	0	300	0	300	0	0	0	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	300	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_17139200_17139750	550	0	0	0	550	300	550	0	175	0	550	0	0	0	0	0	0	0	0	0	0	0	0	0	150	550	0	0	0	0	0	150	375	0	0	0	450	0	0	0	0	0	0	0	450	375	300	450	300	450
chr1_17400650_17401250	600	0	0	0	600	0	350	0	600	0	0	0	0	0	0	0	275	0	0	0	575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	600	0	0	0	0	0	0
chr1_19382800_19383600	800	0	125	0	725	0	800	0	0	0	0	0	0	0	0	0	275	0	0	525	125	0	0	0	0	0	0	0	0	0	0	200	0	0	0	50	0	0	0	0	0	0	0	800	0	0	0	0	0	0
chr1_20320350_20320950	600	0	75	0	600	0	600	0	0	0	0	0	0	0	0	0	450	0	0	450	600	0	0	525	0	300	0	0	0	0	0	0	0	525	0	0	0	0	375	0	0	600	600	0	0	0	0	0	0	0
chr1_23733900_23734450	550	0	0	150	550	0	550	300	550	150	75	175	0	0	0	0	0	0	0	0	525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	375	0	0	0	0	0	0
chr1_23825550_23825850	300	75	0	75	300	300	300	300	300	225	300	150	150	225	0	300	0	0	0	300	75	0	0	225	0	300	300	300	300	225	225	75	300	0	225	75	300	0	0	225	300	75	0	300	300	300	300	300	300	300
chr1_27530700_27531000	300	0	0	75	300	0	300	300	300	75	300	150	0	0	0	0	0	0	0	0	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_32380650_32381100	300	0	0	0	450	450	450	375	450	0	450	0	0	0	0	0	0	0	0	225	450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	0	375	0	0	0	0	0	0
chr1_36244100_36244800	700	225	0	300	700	100	700	300	700	0	700	525	75	0	0	700	0	700	0	675	700	0	250	0	325	0	700	400	700	700	400	0	0	400	475	0	0	0	0	550	625	0	0	325	700	450	0	700	700	0
chr1_41685750_41686050	0	0	0	0	300	0	300	300	300	0	0	0	0	75	0	0	0	0	0	0	300	0	0	225	0	0	0	0	0	75	0	0	0	300	0	0	0	0	0	0	0	0	0	0	0	150	0	0	0	0
chr1_67471350_67471900	550	0	0	0	550	0	550	300	525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_76083200_76083600	400	0	0	0	400	400	400	0	0	0	0	0	0	400	400	400	400	400	0	0	400	0	0	400	0	0	375	400	400	400	400	0	0	400	400	0	0	0	400	400	0	400	400	400	0	0	0	0	0	0
chr1_77194950_77195400	450	0	225	0	450	0	450	225	450	0	450	0	0	0	0	450	450	0	225	0	375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	450	0	0	0	0	0	0
chr1_91651800_91652100	300	0	0	0	300	0	300	0	300	0	0	300	0	300	0	0	150	0	0	300	300	0	0	0	0	0	75	0	300	0	0	0	0	0	300	0	0	0	0	0	300	0	0	300	0	0	0	0	0	0
chr1_93197550_93198300	750	0	300	0	750	0	750	525	750	0	675	0	0	0	0	0	0	150	0	750	450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	600	300	0	150	225	75	150
chr1_97792350_97792650	300	0	0	0	300	0	0	0	300	0	0	0	0	300	300	300	300	300	150	300	300	0	0	300	300	300	300	300	300	300	300	300	300	300	300	300	300	0	0	300	0	0	0	300	300	300	75	300	300	300
chr1_97848000_97848550	550	450	525	0	550	0	525	300	525	0	550	550	400	550	550	550	550	550	550	550	550	0	0	325	550	550	550	550	550	550	550	550	550	550	550	550	550	0	550	550	0	550	0	550	550	550	550	550	550	550
