A.intersect.value	CLL.A34020.CEMT_4.H3K4me3.hg38.A34020_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A34036.CEMT_5.H3K4me3.hg38.A34036_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A34075.CEMT_6.H3K4me3.hg38.A34075_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A34939.CEMT_26.H3K4me3.hg38.A34939_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A34946.CEMT_27.H3K4me3.hg38.A34946_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A34953.CEMT_28.H3K4me3.hg38.A34953_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A34960.CEMT_29.H3K4me3.hg38.A34960_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A35237.CEMT_25.H3K4me3.hg38.A35237_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A35244.CEMT_30.H3K4me3.hg38.A35244_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A60644.CEMT_94.H3K4me3.hg38.bwa-sb.IX4412.C958UANXX_5_GATCAG.FindER2.bed.remDups.bed.intersect.value	CLL.A60651.CEMT_95.H3K4me3.hg38.bwa-sb.IX4412.C958UANXX_5_GATGCT.FindER2.bed.remDups.bed.intersect.value	CLL.A60658.CEMT_96.H3K4me3.hg38.A60658_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A60669.CEMT_97.H3K4me3.hg38.A60669_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	EGAN00001091882_EGAX00001135682_EGAR00001139772_NBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001091897_EGAX00001215957_EGAR00001228608_NBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001095818_EGAX00001128209_EGAR00001132156_NBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001095891_EGAX00001135680_EGAR00001139770_NBC_H3K4me3_SINGLE.MACS2NoInput.bed.intersect.value	EGAN00001107643_EGAX00001231897_EGAR00001245923_NBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001107668_EGAX00001215621_EGAR00001228080_NBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001173679_EGAX00001138967_EGAR00001143053_NBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001202786_EGAX00001323202_EGAR00001352518_CLL_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001202787_EGAX00001291853_EGAR00001320580_CLL_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001202788_EGAX00001323210_EGAR00001352510_CLL_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001202789_EGAX00001291851_EGAR00001320578_CLL_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001235813_EGAX00001323205_merged2runs_CLL_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001258588_EGAX00001291825_EGAR00001320549_csMBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265738_EGAX00001272592_merged2runs_PBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265740_EGAX00001272613_merged2runs_GCBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265741_EGAX00001272644_EGAR00001299991_NBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265743_EGAX00001272704_EGAR00001300108_NBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265744_EGAX00001272686_EGAR00001300079_NBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265747_EGAX00001272655_EGAR00001300002_NBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265748_EGAX00001272660_EGAR00001300007_PBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265749_EGAX00001272649_EGAR00001299996_GCBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265750_EGAX00001272584_EGAR00001300013_CLL_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001274157_EGAX00001419444_EGAR00001456638_MBC_H3K4me3_PAIRED.FindER2.bed.intersect.value	EGAN00001276797_EGAX00001304984_EGAR00001334467_GCBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001276798_EGAX00001304993_EGAR00001334418_NBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001277490_EGAX00001305087_EGAR00001334366_csMBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001277491_EGAX00001305084_EGAR00001334363_csMBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001277492_EGAX00001326449_EGAR00001355722_NBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001280969_EGAX00001419407_merged2runs_MBC_H3K4me3_PAIRED.FindER2.bed.intersect.value	EGAN00001295794_EGAX00001326425_EGAR00001355899_GCBC_H3K4me3_SINGLE.MACS2NoInput.bed.intersect.value	EGAN00001295795_EGAX00001326623_EGAR00001355769_PBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001295796_EGAX00001326617_EGAR00001355763_CLL_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001295801_EGAX00001326600_EGAR00001355772_NBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001295804_EGAX00001326426_merged2runs_NBC_H3K4me3_SINGLE.MACS2NoInput.bed.intersect.value	EGAN00001295815_EGAX00001326482_EGAR00001355809_usMBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	GCBC.A68887.CEMT_129.H3K4me3.hg38.bwa-sb.IX5130.CAVYBANXX_8_AGGCCG.FindER2.bed.remDups.bed.intersect.value	GCBC.A70849.CEMT_134.H3K4me3.hg38.A70849_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	GCBC.A70856.CEMT_135.H3K4me3_1_lane_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	GCBC.A70863.CEMT_136.H3K4me3.125nt.hg38.FindER2.bed.remDups.bed.intersect.value	GCBC.A70870.CEMT_137.H3K4me3.125nt.hg38.FindER2.bed.remDups.bed.intersect.value	GCBC.A70877.CEMT_138.H3K4me3_1_lane_dupsFlagged.FindER2.bed.remDups.bed.intersect.value
chr1_9800_10600	675	800	775	375	600	800	800	525	775	800	800	800	800	0	0	0	339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	646	0	0	0	0	0	0	0
chr1_2126250_2126550	300	300	300	300	300	150	300	300	150	300	300	225	300	0	300	0	0	0	300	0	300	300	225	300	0	300	0	0	300	225	300	0	0	150	75	300	150	75	300	75	75	300	0	0	300	225	0	300	0	0	0	0	0	0
chr1_2174300_2175300	1000	975	1000	825	825	1000	1000	0	975	850	850	900	300	0	550	0	0	0	0	0	400	1000	1000	1000	975	625	0	0	600	300	675	0	750	450	900	0	0	375	775	0	0	0	0	0	1000	450	0	0	600	0	0	0	300	0
chr1_7568300_7569250	950	950	950	625	950	950	950	900	950	950	950	950	950	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_12158550_12158950	400	400	400	0	300	400	0	400	400	400	0	400	0	0	300	0	0	0	0	0	400	400	400	400	400	400	0	0	150	300	300	0	0	0	225	400	0	0	400	0	0	400	0	0	400	0	0	400	0	0	0	0	0	0
chr1_16146350_16146850	500	500	500	0	0	500	0	0	0	0	0	0	0	0	500	0	0	0	0	0	0	500	500	500	400	0	0	0	0	0	0	0	0	0	500	0	0	0	0	0	0	0	0	0	500	0	0	0	0	0	0	0	0	0
chr1_17630100_17630500	400	400	400	0	0	400	400	400	400	400	400	0	0	0	0	0	0	0	0	0	400	400	400	400	400	400	0	0	0	300	400	0	0	0	0	400	0	0	400	400	225	400	0	0	400	325	0	400	0	0	0	0	0	0
chr1_21872000_21872700	0	325	700	0	0	675	0	375	0	525	0	700	0	0	0	0	0	0	0	0	0	700	675	700	700	0	0	0	0	0	0	0	0	0	600	0	0	0	0	0	0	0	0	0	700	0	0	0	0	0	0	0	0	0
chr1_23113250_23114250	1000	1000	600	0	1000	1000	1000	975	1000	0	600	975	750	0	0	0	0	0	0	0	1000	1000	1000	975	825	0	0	0	0	0	0	0	0	0	1000	675	0	0	0	0	0	0	0	0	1000	0	0	0	0	0	0	0	0	0
chr1_23556250_23556600	350	350	350	350	350	350	350	350	350	350	350	350	350	0	350	0	0	350	0	0	350	350	350	350	350	350	0	0	350	350	350	350	0	0	350	350	150	350	350	350	350	350	0	0	350	350	0	350	350	0	275	350	350	350
chr1_23600350_23600700	350	350	350	0	0	350	0	350	350	0	0	0	350	0	0	0	0	0	0	0	350	350	300	350	300	0	0	0	0	0	0	0	0	0	225	0	0	0	0	0	0	0	0	0	350	0	0	0	225	0	0	0	0	0
chr1_23601000_23601450	450	450	450	450	0	450	450	450	450	0	0	450	450	0	0	0	0	0	0	0	450	450	450	450	450	450	0	0	0	450	450	375	0	450	450	0	0	75	375	0	450	0	0	0	450	225	0	0	450	300	0	0	225	0
chr1_25774250_25774400	150	150	150	0	50	150	0	150	50	50	0	0	0	0	0	0	0	0	150	0	125	150	150	150	150	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	150	0	0	0	0	0	0	0	125	0
chr1_27624250_27624650	400	400	400	400	400	400	400	400	400	400	400	400	200	0	350	275	0	400	0	0	400	400	400	400	400	400	0	0	400	400	400	50	0	200	350	400	0	0	400	125	400	400	0	0	400	400	0	400	0	0	0	200	400	400
chr1_28916200_28916850	525	650	650	650	650	650	0	650	650	500	650	650	425	0	650	0	0	0	0	0	650	650	500	650	650	650	0	0	200	650	650	0	0	0	650	650	0	0	650	125	350	650	0	0	650	0	0	200	275	125	0	0	650	0
chr1_31579800_31580650	825	850	825	825	825	850	850	825	825	850	850	850	850	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_34247100_34247950	850	850	825	825	825	850	850	850	850	850	850	850	850	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0
chr1_35442500_35443000	500	500	500	0	0	500	500	325	0	0	0	400	0	25	0	0	0	0	0	0	0	500	475	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500	0	0	0	0	0	0	0	0	0
chr1_36884500_36885000	500	500	500	0	0	500	200	350	500	425	500	500	500	0	0	0	0	0	0	0	125	500	0	500	500	0	0	0	0	125	0	0	200	0	0	0	0	0	0	0	0	0	0	0	500	0	0	0	0	0	0	0	0	0
chr1_37035400_37035750	350	350	350	350	0	350	0	350	350	350	350	350	275	350	350	0	0	350	0	0	350	350	350	350	350	350	0	0	0	350	350	0	0	0	350	350	0	50	350	350	0	350	0	0	350	0	0	350	0	0	0	0	0	0
chr1_37316250_37317900	1650	1650	1650	0	300	1050	0	1650	525	1650	150	75	1650	0	600	0	0	0	0	0	1575	1650	375	0	825	0	0	0	150	225	300	0	0	0	1650	0	0	0	75	0	0	150	0	0	1650	150	0	0	0	0	0	0	0	0
chr1_37318500_37319050	550	550	450	300	300	550	0	550	550	550	525	550	550	0	150	300	0	0	225	0	550	550	550	525	550	550	0	0	0	525	225	300	0	0	550	550	0	0	225	0	300	225	0	0	550	375	0	300	0	0	0	0	0	0
chr1_37651850_37652350	475	500	475	0	0	0	0	0	500	450	0	375	400	0	0	0	0	0	0	0	0	500	475	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500	0	0	0	0	0	0	0	0	0
chr1_37776950_37777500	550	550	550	0	0	550	0	525	150	0	0	0	0	0	0	0	0	0	0	0	0	550	550	550	550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	550	0	0	0	0	0	0	0	0	0
chr1_44803000_44803200	200	200	200	0	0	200	0	200	200	200	200	200	200	0	0	0	0	0	0	0	200	200	200	200	0	0	0	125	50	0	50	0	0	0	200	200	200	0	0	0	0	200	0	0	200	200	0	50	0	0	0	0	0	0
chr1_52587300_52588050	750	750	375	750	525	750	675	750	750	675	0	675	375	0	0	0	0	0	0	0	750	750	750	750	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	750	0	0	0	0	0	0	0	0	0
