A.H3K36me3.intersect.value	CLL.A34023.CEMT_4.H3K36me3.hg38.bwa-sb.IX2824.C3YJAACXX_6_ACTCTC.FindER2.bed.remDups.bed.intersect.value	CLL.A34039.CEMT_5.H3K36me3.hg38.bwa-sb.IX2845.C4C9JACXX_3_AGCGCT.FindER2.bed.remDups.bed.intersect.value	CLL.A34078.CEMT_6.H3K36me3.hg38.bwa-sb.IX2845.C4C9JACXX_3_AGTTCC.FindER2.bed.remDups.bed.intersect.value	CLL.A34942.CEMT_26.H3K36me3.hg38.bwa-sb.IX2652.C3TC1ACXX_2_ACTCTC.FindER2.bed.remDups.bed.intersect.value	CLL.A34949.CEMT_27.H3K36me3.hg38.bwa-sb.IX2824.C3YJAACXX_6_AGCGCT.FindER2.bed.remDups.bed.intersect.value	CLL.A34956.CEMT_28.H3K36me3.hg38.bwa-sb.IX2824.C3YJAACXX_6_AGTTCC.FindER2.bed.remDups.bed.intersect.value	CLL.A34963.CEMT_29.H3K36me3.hg38.bwa-sb.IX2824.C3YJAACXX_6_CCACGC.FindER2.bed.remDups.bed.intersect.value	CLL.A35240.CEMT_25.H3K36me3.hg38.bwa-sb.IX2652.C3TC1ACXX_2_GCACTT.FindER2.bed.remDups.bed.intersect.value	CLL.A35247.CEMT_30.H3K36me3.hg38.bwa-sb.IX2824.C3YJAACXX_6_GGCTAC.FindER2.bed.remDups.bed.intersect.value	CLL.A60647.CEMT_94.H3K36me3.hg38.bwa-sb.IX4417.C9587ANXX_2_AGCGCT.FindER2.bed.remDups.bed.intersect.value	CLL.A60654.CEMT_95.H3K36me3.hg38.bwa-sb.IX4417.C9587ANXX_2_AGTTCC.FindER2.bed.remDups.bed.intersect.value	CLL.A60661.CEMT_96.H3K36me3.hg38.bwa-sb.IX4417.C9587ANXX_2_CCACGC.FindER2.bed.remDups.bed.intersect.value	CLL.A60666.CEMT_97.H3K36me3.hg38.bwa-sb.IX4419.C9587ANXX_4_ATGTCA.FindER2.bed.remDups.bed.intersect.value	EGAN00001091882_EGAX00001135678_EGAR00001139764_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001091897_EGAX00001135685_EGAR00001139767_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001095818_EGAX00001133241_EGAR00001137327_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001107643_EGAX00001215952_EGAR00001228603_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001107668_EGAX00001171934_EGAR00001185148_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001173679_EGAX00001133248_EGAR00001137335_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001202786_EGAX00001323204_EGAR00001352516_CLL_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001202787_EGAX00001291868_EGAR00001320595_CLL_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001202788_EGAX00001323211_EGAR00001352511_CLL_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001202789_EGAX00001291885_EGAR00001320546_CLL_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001235813_EGAX00001323208_EGAR00001352512_CLL_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001258588_EGAX00001326464_EGAR00001355737_csMBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265738_EGAX00001272587_EGAR00001300134_PBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265740_EGAX00001272615_EGAR00001300042_GCBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265741_EGAX00001272623_EGAR00001300050_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265742_EGAX00001272638_EGAR00001300127_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265743_EGAX00001272667_merged3runs_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265744_EGAX00001272688_EGAR00001300081_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265747_EGAX00001272657_EGAR00001300004_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265748_EGAX00001272663_EGAR00001300010_PBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265749_EGAX00001272652_EGAR00001299999_GCBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265750_EGAX00001272583_EGAR00001300071_CLL_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001276797_EGAX00001304986_EGAR00001334469_GCBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001276798_EGAX00001304994_EGAR00001334419_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001277490_EGAX00001326453_EGAR00001355726_csMBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001277491_EGAX00001305063_EGAR00001334390_csMBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001277492_EGAX00001305082_EGAR00001334361_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001295795_EGAX00001326624_EGAR00001355770_PBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001295796_EGAX00001326575_EGAR00001355825_CLL_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001295801_EGAX00001326601_EGAR00001355747_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001295815_EGAX00001326483_EGAR00001355810_usMBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	GCBC.A68890.CEMT_129.H3K36me3.hg38.bwa-sb.IX5127.CAVYBANXX_5_ATCCTA.FindER2.bed.remDups.bed.intersect.value	GCBC.A70852.CEMT_134.H3K36me3.hg38.IX5208.CAVPBANXX_1_ACAGTG.FindER2.bed.remDups.bed.intersect.value	GCBC.A70859.CEMT_135.H3K36me3.hg38.A70859_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	GCBC.A70866.CEMT_136.H3K36me3.hg38.IX5211.CAVPBANXX_4_ACTGAT.FindER2.bed.remDups.bed.intersect.value	GCBC.A70873.CEMT_137.H3K36me3.hg38.IX5212.CAVPBANXX_5_ATCCTA.FindER2.bed.remDups.bed.intersect.value	GCBC.A70880.CEMT_138.H3K36me3.hg38.IX5214.CAVPBANXX_7_CACTCA.FindER2.bed.remDups.bed.intersect.value
chr1_6342050_6342350	100	0	0	25	0	0	0	0	300	0	275	0	0	0	0	0	175	0	300	0	300	275	0	0	0	0	175	0	0	0	0	0	0	300	0	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_10217700_10218000	0	0	0	75	300	150	300	300	300	0	0	0	0	0	0	0	0	0	0	0	300	300	300	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	300	0	0	0	0	150	0	0	0	0	0	0
chr1_15964550_15964900	350	0	0	0	0	0	350	250	350	0	0	0	0	0	0	0	0	0	0	0	325	0	0	0	0	0	0	0	0	0	250	0	0	0	0	0	0	0	0	250	0	0	0	0	0	0	250	0	0	0
chr1_18931300_18931600	300	0	0	0	0	300	0	0	300	0	0	0	0	0	0	300	0	300	0	0	300	275	0	0	0	0	0	0	0	0	0	175	0	0	0	0	0	0	0	0	0	0	275	175	0	0	0	0	0	0
chr1_19276550_19276950	325	0	0	250	400	175	400	400	400	0	0	0	0	150	0	0	0	0	0	0	225	375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0
chr1_24375850_24376200	225	150	350	150	350	0	350	150	350	0	350	225	0	0	150	50	0	350	0	200	350	350	50	0	0	0	300	0	0	0	350	225	0	350	0	150	0	0	150	300	0	0	0	0	150	0	0	0	0	0
chr1_32614800_32615100	300	300	75	0	0	75	300	300	300	0	300	0	0	0	0	0	0	0	0	0	0	300	0	0	0	0	0	0	0	0	225	0	225	225	0	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_35596350_35596750	0	0	0	0	400	250	400	0	0	100	400	225	0	400	400	400	400	400	0	0	400	400	150	0	0	400	400	375	0	0	150	100	400	400	0	400	375	0	400	0	400	0	375	400	0	0	0	375	0	0
chr1_45980600_45981400	800	700	700	175	625	0	800	400	775	0	775	675	0	0	0	0	0	0	0	0	700	775	0	0	450	400	800	0	0	0	175	0	325	800	0	800	0	0	800	800	300	0	0	325	800	250	800	800	800	800
chr1_52217250_52218000	0	0	0	0	0	0	750	0	0	0	750	0	0	0	0	0	0	0	0	0	750	750	0	0	0	0	0	0	0	0	0	300	0	0	0	0	0	0	0	0	0	0	0	375	750	375	750	750	750	600
chr1_52218300_52219000	600	600	300	0	625	0	700	0	0	0	700	0	0	0	0	0	0	0	0	0	675	700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	525	0	0	0	0	0	0	0	0	450	0	0
chr1_52268700_52269150	450	450	0	375	0	0	450	0	375	0	450	0	0	300	0	0	0	0	0	0	450	450	0	0	0	0	0	0	0	0	450	0	0	0	0	0	150	0	450	450	0	0	0	450	0	0	0	0	0	0
chr1_52302650_52302950	300	300	0	300	0	125	300	300	300	0	300	0	0	0	0	0	0	300	0	0	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	300	0	0	0	0	0	0
chr1_52309850_52310400	400	375	0	0	375	0	550	300	0	0	225	0	0	0	0	0	0	0	0	0	550	550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0
chr1_52337450_52338250	675	525	0	0	0	0	800	0	0	0	800	0	0	0	0	0	0	475	325	0	800	800	0	375	0	0	0	0	0	0	375	0	0	0	0	0	325	0	0	0	0	0	0	800	0	0	0	0	0	0
chr1_52344950_52345250	300	300	0	0	0	0	300	0	0	0	300	275	0	0	0	0	0	0	0	0	275	300	0	0	0	0	0	0	0	0	125	0	0	0	0	0	0	0	0	0	300	0	275	0	0	0	0	0	0	0
chr1_62143400_62143750	350	250	250	350	350	0	350	350	350	0	325	0	0	0	0	350	0	0	0	0	350	350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250	0	0	350	0	0	0	0	0	0	0	0
chr1_88839850_88840200	200	275	0	0	350	275	350	200	200	200	350	200	0	0	350	0	350	0	225	0	350	350	0	0	0	0	350	0	0	0	0	350	350	350	0	350	0	0	275	350	350	0	200	350	350	350	350	350	350	350
chr1_91753050_91753450	400	375	0	400	375	375	0	0	400	0	0	0	0	0	0	0	0	0	0	0	400	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0
chr1_91836150_91836550	400	375	0	375	400	0	0	150	375	0	0	0	0	0	0	25	0	0	0	0	400	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_91846200_91846600	0	0	0	0	400	0	0	0	400	0	0	0	0	0	0	0	0	0	0	0	400	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_93373500_93373850	350	350	0	275	350	0	350	350	350	0	50	0	0	0	0	0	50	0	0	0	350	0	0	0	50	0	125	0	0	125	125	0	200	275	0	50	0	0	200	125	0	0	125	0	350	0	50	0	0	0
chr1_97464600_97465000	400	0	0	0	400	0	0	0	0	400	375	0	400	150	400	400	25	175	400	0	400	400	0	0	0	0	0	0	0	0	400	400	300	0	0	0	400	0	0	400	0	0	400	400	225	0	75	0	0	0
chr1_97473650_97474150	500	0	0	0	0	0	0	0	500	0	0	0	0	0	0	400	400	0	0	0	500	500	0	0	0	0	0	0	0	0	325	0	0	0	0	0	475	0	0	500	0	0	475	0	0	100	0	0	0	0
chr1_97480700_97481100	400	0	0	175	400	0	0	0	300	0	0	0	0	0	0	0	375	0	400	0	400	400	0	0	0	0	0	400	0	175	400	375	0	0	0	0	0	0	0	250	0	0	300	0	0	25	0	0	0	0
chr1_97765800_97766200	400	0	0	0	400	0	0	0	0	0	400	0	400	0	0	400	400	400	75	100	400	400	0	0	0	0	0	400	0	150	400	0	0	0	0	0	0	0	0	400	0	0	400	400	0	0	0	0	0	0
chr1_97773900_97774500	600	0	0	0	600	0	0	0	0	0	600	0	600	600	600	600	600	600	75	0	600	600	0	375	0	0	0	0	450	600	600	600	0	0	0	0	0	0	0	600	300	0	600	600	0	0	0	0	0	0
chr1_101304400_101304900	275	0	75	125	500	0	500	0	0	0	0	0	75	500	500	0	75	500	500	0	500	500	0	50	500	0	0	500	500	500	500	500	0	0	0	0	500	0	500	500	0	0	500	500	0	0	0	0	0	0
