A.H3K4me1.intersect.value	CLL.A34019.CEMT_4.H3K4me1.hg38.A34019_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A34035.CEMT_5.H3K4me1.hg38.A34035_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A34074.CEMT_6.H3K4me1.hg38.A34074_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A34938.CEMT_26.H3K4me1.hg38.A34938_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A34945.CEMT_27.H3K4me1.hg38.A34945_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A34952.CEMT_28.H3K4me1.hg38.A34952_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A34959.CEMT_29.H3K4me1.hg38.A34959_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A35236.CEMT_25.H3K4me1.hg38.A35236_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A35243.CEMT_30.H3K4me1.hg38.A35243_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A60643.CEMT_94.H3K4me1.hg38.bwa-sb.IX4413.C958UANXX_6_ATCACG.FindER2.bed.remDups.bed.intersect.value	CLL.A60650.CEMT_95.H3K4me1.hg38.bwa-sb.IX4414.C958UANXX_7_CTAGCT.FindER2.bed.remDups.bed.intersect.value	CLL.A60657.CEMT_96.H3K4me1.hg38.bwa-sb.IX4414.C958UANXX_7_AACTTG.FindER2.bed.remDups.bed.intersect.value	CLL.A60670.CEMT_97.H3K4me1.hg38.bwa-sb.IX4412.C958UANXX_5_ACGATA.FindER2.bed.remDups.bed.intersect.value	EGAN00001091897_EGAX00001135686_EGAR00001139768_NBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001095818_EGAX00001133242_EGAR00001137328_NBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001107643_EGAX00001215953_EGAR00001228604_NBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001107668_EGAX00001215622_EGAR00001228081_NBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001173679_EGAX00001133247_EGAR00001137334_NBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001202786_EGAX00001272679_merged2runs_CLL_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001202787_EGAX00001231900_EGAR00001245926_CLL_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001202788_EGAX00001215636_EGAR00001228045_CLL_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001202789_EGAX00001272596_EGAR00001300137_CLL_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001235813_EGAX00001234407_EGAR00001248465_CLL_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001258588_EGAX00001291824_EGAR00001320548_csMBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001265738_EGAX00001272600_EGAR00001300131_PBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001265740_EGAX00001272621_EGAR00001300048_GCBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001265741_EGAX00001272624_EGAR00001300051_NBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001265742_EGAX00001272707_EGAR00001300114_NBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001265743_EGAX00001272668_merged3runs_NBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001265744_EGAX00001364257_EGAR00001401411_NBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001265747_EGAX00001272656_EGAR00001300003_NBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001265748_EGAX00001272661_EGAR00001300008_PBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001265749_EGAX00001272650_EGAR00001299997_GCBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001274157_EGAX00001419429_EGAR00001456616_MBC_H3K4me1_PAIRED.FindER2.bed.intersect.value	EGAN00001276795_EGAX00001304981_EGAR00001334464_NBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001276796_EGAX00001304983_EGAR00001334466_PBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001276797_EGAX00001305005_EGAR00001334422_GCBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001277490_EGAX00001326452_EGAR00001355725_csMBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001277491_EGAX00001305085_EGAR00001334364_csMBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001277492_EGAX00001305061_EGAR00001334388_NBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001295796_EGAX00001326574_EGAR00001355824_CLL_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001295815_EGAX00001326490_EGAR00001355777_usMBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001358538_EGAX00001371128_EGAR00001408501_CLL_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001358558_EGAX00001371127_EGAR00001408500_CLL_H3K4me1_SINGLE.FindER2.bed.intersect.value	GCBC.A68886.CEMT_129.H3K4me1.hg38.bwa-sb.IX5126.CAVYBANXX_4_AGCGCT.FindER2.bed.remDups.bed.intersect.value	GCBC.A70848.CEMT_134.H3K4me1.hg38.IX5208.CAVPBANXX_1_ATCACG.FindER2.bed.remDups.bed.intersect.value	GCBC.A70855.CEMT_135.H3K4me1.hg38.IX5209.CAVPBANXX_2_GATCAG.FindER2.bed.remDups.bed.intersect.value	GCBC.A70862.CEMT_136.H3K4me1.hg38.IX5210.CAVPBANXX_3_ACCCAG.FindER2.bed.remDups.bed.intersect.value	GCBC.A70869.CEMT_137.H3K4me1.hg38.IX5211.CAVPBANXX_4_AGCGCT.FindER2.bed.remDups.bed.intersect.value	GCBC.A70876.CEMT_138.H3K4me1.hg38.IX5213.CAVPBANXX_6_CAAAAG.FindER2.bed.remDups.bed.intersect.value
chr1_3680200_3680750	550	550	550	550	0	550	0	500	550	550	550	550	550	550	550	0	0	550	550	550	550	550	550	550	550	550	125	550	200	425	0	550	550	550	0	550	550	125	550	550	550	550	550	550	550	550	425	550	550	550
chr1_3720150_3720700	300	225	550	150	0	550	300	450	550	550	550	550	550	0	0	0	375	0	550	550	0	550	525	375	550	450	0	375	0	0	0	550	550	550	300	450	550	0	550	325	550	550	0	300	450	450	375	375	150	525
chr1_9852750_9853150	400	400	375	75	0	400	75	150	400	400	400	400	400	400	400	300	400	0	400	375	0	0	100	150	0	75	0	0	0	0	0	0	375	400	0	0	400	0	0	400	400	0	400	400	0	0	0	0	0	0
chr1_13812000_13812900	0	900	900	225	0	900	75	900	900	900	900	900	900	0	75	450	675	0	900	525	0	900	525	0	0	0	450	0	375	525	0	0	75	900	75	0	75	0	150	525	900	900	150	675	0	0	0	0	0	0
chr1_19825350_19825800	450	375	75	0	0	450	0	300	450	450	450	375	450	75	0	0	450	0	450	450	0	450	0	0	225	0	0	0	150	450	300	375	0	0	0	0	75	0	450	375	450	0	0	0	0	0	0	0	0	0
chr1_21306950_21307250	50	125	275	125	50	300	0	300	300	300	300	300	300	50	250	300	275	0	275	300	0	300	300	300	0	300	275	300	300	125	125	0	0	300	300	0	50	0	300	300	300	300	0	300	0	300	0	0	0	0
chr1_22540500_22540850	350	350	350	200	50	350	350	350	350	350	350	350	350	0	0	0	350	0	350	225	0	350	350	0	125	0	0	0	75	0	0	0	0	350	225	0	0	0	0	0	350	75	350	225	0	0	0	0	0	0
chr1_23647800_23649150	750	1350	1350	1350	0	1350	600	1350	1350	1350	1275	1350	1350	750	375	300	0	0	1350	0	0	675	1350	1350	1350	1350	375	0	0	300	0	1350	1350	1350	0	1350	1350	0	1275	0	1350	1275	0	0	1350	1350	1350	1350	1350	1350
chr1_25954950_25955250	300	300	300	300	0	300	75	300	300	300	300	300	300	150	0	0	225	0	150	0	0	300	300	0	0	0	0	0	0	0	0	0	0	0	0	300	0	0	0	0	300	0	225	0	0	225	0	0	0	0
chr1_27569700_27570000	150	225	150	0	0	300	75	75	225	300	300	300	300	300	150	300	0	0	300	300	0	300	300	225	300	0	300	300	300	300	300	300	0	300	300	0	150	0	0	300	300	300	0	150	0	0	0	0	0	0
chr1_27572650_27573250	600	600	600	0	0	600	0	275	600	600	600	600	600	600	0	600	600	0	600	600	125	200	275	600	500	600	475	600	600	600	600	325	600	600	600	475	125	0	600	600	575	600	600	475	500	600	0	0	0	0
chr1_28145350_28146000	600	650	650	650	50	650	450	650	650	650	650	650	275	0	350	0	0	0	650	200	0	650	650	650	650	650	0	200	0	0	0	650	650	650	125	650	650	0	650	50	650	650	0	0	650	650	650	650	650	650
chr1_28937300_28937800	500	475	250	475	0	500	475	500	500	500	500	500	500	250	475	500	325	0	500	0	0	450	500	500	0	0	0	0	250	175	100	0	0	100	0	0	0	0	0	100	500	175	0	0	0	0	0	0	0	0
chr1_31593950_31594500	550	550	550	525	0	550	0	550	0	550	550	550	550	75	0	325	0	0	550	550	0	0	450	400	0	550	0	0	0	25	0	550	550	250	450	450	550	0	550	0	550	400	0	300	550	550	0	325	300	325
chr1_32275500_32275900	0	0	400	0	0	400	0	375	400	400	400	400	400	300	400	400	375	400	400	400	0	375	400	0	400	400	400	400	400	400	400	400	400	400	400	400	400	0	375	400	400	375	75	400	225	225	0	375	375	0
chr1_36879800_36880300	400	500	500	500	0	500	0	500	500	500	500	500	500	0	0	0	0	0	500	500	500	475	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500	0	500	0	0	0	0	0	0	0
chr1_37004950_37005300	350	350	350	350	0	350	0	200	125	350	350	350	350	0	0	0	0	0	350	0	0	0	225	0	0	0	0	0	0	0	0	0	0	300	0	0	0	0	275	0	350	0	200	0	0	0	0	0	0	0
chr1_37273500_37273800	300	300	300	300	0	300	0	300	300	300	300	300	300	0	0	0	0	0	300	300	300	300	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225	0	300	0	300	300	0	0	0	0	0	0
chr1_37312750_37313250	500	500	500	0	50	500	0	500	500	500	300	300	500	0	0	0	0	0	500	500	0	375	500	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	500	0	0	0	0	0	0	0	0	0
chr1_41852050_41852350	300	300	300	300	300	300	125	300	300	300	300	300	300	300	300	300	300	300	300	300	0	300	300	300	0	300	300	300	300	300	300	0	300	300	300	0	300	0	300	300	300	300	275	125	300	275	275	300	275	275
chr1_45599150_45599500	350	350	0	350	0	350	250	350	350	325	350	350	325	0	0	250	0	0	350	0	0	325	0	175	0	0	0	0	0	0	0	250	0	0	0	350	175	0	0	350	350	350	0	0	0	0	175	250	100	100
chr1_54886950_54887300	0	0	350	0	0	350	0	125	350	350	50	350	350	350	350	350	350	350	350	350	0	350	50	350	350	350	350	350	350	350	350	350	350	350	350	350	350	0	350	350	350	350	350	350	350	350	350	350	350	350
chr1_75672600_75672900	300	300	225	300	0	300	0	300	150	300	300	225	300	0	0	0	300	0	0	300	0	300	0	300	0	0	0	0	0	0	0	0	0	300	0	225	0	0	225	0	300	0	0	75	0	0	0	0	0	0
chr1_157768200_157768750	0	525	550	550	0	550	0	550	550	550	550	550	0	0	550	550	225	175	550	0	0	550	550	550	0	550	550	550	0	0	225	0	550	550	550	0	550	0	0	550	550	550	0	550	550	550	550	550	550	550
chr1_157769250_157769550	0	75	300	300	0	300	75	300	300	300	300	300	300	0	0	75	0	150	300	0	0	300	300	0	0	0	225	300	0	300	0	0	300	300	300	0	300	0	0	300	300	75	0	225	300	300	225	300	300	225
chr1_161427800_161428300	500	500	500	500	375	0	500	500	500	475	500	500	500	0	325	500	400	500	500	0	0	500	500	500	500	500	500	500	500	500	0	500	500	500	500	500	500	0	0	500	500	475	0	500	500	500	500	500	500	500
chr1_175163700_175164000	300	300	300	300	0	300	300	300	300	300	300	300	300	0	150	300	150	0	300	0	0	0	0	0	0	0	300	300	300	300	300	0	0	300	150	300	0	0	0	300	300	0	0	0	0	0	0	0	0	0
