A.H3K4me1.intersect.value	CLL.A34019.CEMT_4.H3K4me1.hg38.A34019_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A34035.CEMT_5.H3K4me1.hg38.A34035_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A34074.CEMT_6.H3K4me1.hg38.A34074_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A34938.CEMT_26.H3K4me1.hg38.A34938_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A34945.CEMT_27.H3K4me1.hg38.A34945_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A34952.CEMT_28.H3K4me1.hg38.A34952_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A34959.CEMT_29.H3K4me1.hg38.A34959_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A35236.CEMT_25.H3K4me1.hg38.A35236_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A35243.CEMT_30.H3K4me1.hg38.A35243_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A60643.CEMT_94.H3K4me1.hg38.bwa-sb.IX4413.C958UANXX_6_ATCACG.FindER2.bed.remDups.bed.intersect.value	CLL.A60650.CEMT_95.H3K4me1.hg38.bwa-sb.IX4414.C958UANXX_7_CTAGCT.FindER2.bed.remDups.bed.intersect.value	CLL.A60657.CEMT_96.H3K4me1.hg38.bwa-sb.IX4414.C958UANXX_7_AACTTG.FindER2.bed.remDups.bed.intersect.value	CLL.A60670.CEMT_97.H3K4me1.hg38.bwa-sb.IX4412.C958UANXX_5_ACGATA.FindER2.bed.remDups.bed.intersect.value	EGAN00001091897_EGAX00001135686_EGAR00001139768_NBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001095818_EGAX00001133242_EGAR00001137328_NBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001107643_EGAX00001215953_EGAR00001228604_NBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001107668_EGAX00001215622_EGAR00001228081_NBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001173679_EGAX00001133247_EGAR00001137334_NBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001202786_EGAX00001272679_merged2runs_CLL_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001202787_EGAX00001231900_EGAR00001245926_CLL_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001202788_EGAX00001215636_EGAR00001228045_CLL_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001202789_EGAX00001272596_EGAR00001300137_CLL_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001235813_EGAX00001234407_EGAR00001248465_CLL_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001258588_EGAX00001291824_EGAR00001320548_csMBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001265738_EGAX00001272600_EGAR00001300131_PBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001265740_EGAX00001272621_EGAR00001300048_GCBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001265741_EGAX00001272624_EGAR00001300051_NBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001265742_EGAX00001272707_EGAR00001300114_NBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001265743_EGAX00001272668_merged3runs_NBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001265744_EGAX00001364257_EGAR00001401411_NBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001265747_EGAX00001272656_EGAR00001300003_NBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001265748_EGAX00001272661_EGAR00001300008_PBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001265749_EGAX00001272650_EGAR00001299997_GCBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001274157_EGAX00001419429_EGAR00001456616_MBC_H3K4me1_PAIRED.FindER2.bed.intersect.value	EGAN00001276795_EGAX00001304981_EGAR00001334464_NBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001276796_EGAX00001304983_EGAR00001334466_PBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001276797_EGAX00001305005_EGAR00001334422_GCBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001277490_EGAX00001326452_EGAR00001355725_csMBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001277491_EGAX00001305085_EGAR00001334364_csMBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001277492_EGAX00001305061_EGAR00001334388_NBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001295796_EGAX00001326574_EGAR00001355824_CLL_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001295815_EGAX00001326490_EGAR00001355777_usMBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001358538_EGAX00001371128_EGAR00001408501_CLL_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001358558_EGAX00001371127_EGAR00001408500_CLL_H3K4me1_SINGLE.FindER2.bed.intersect.value	GCBC.A68886.CEMT_129.H3K4me1.hg38.bwa-sb.IX5126.CAVYBANXX_4_AGCGCT.FindER2.bed.remDups.bed.intersect.value	GCBC.A70848.CEMT_134.H3K4me1.hg38.IX5208.CAVPBANXX_1_ATCACG.FindER2.bed.remDups.bed.intersect.value	GCBC.A70855.CEMT_135.H3K4me1.hg38.IX5209.CAVPBANXX_2_GATCAG.FindER2.bed.remDups.bed.intersect.value	GCBC.A70862.CEMT_136.H3K4me1.hg38.IX5210.CAVPBANXX_3_ACCCAG.FindER2.bed.remDups.bed.intersect.value	GCBC.A70869.CEMT_137.H3K4me1.hg38.IX5211.CAVPBANXX_4_AGCGCT.FindER2.bed.remDups.bed.intersect.value	GCBC.A70876.CEMT_138.H3K4me1.hg38.IX5213.CAVPBANXX_6_CAAAAG.FindER2.bed.remDups.bed.intersect.value
chr1_1550950_1551300	225	0	350	150	75	0	0	150	0	350	0	350	350	0	0	350	0	0	125	0	0	350	0	350	300	0	0	0	0	125	0	0	0	350	0	0	0	0	350	350	350	0	300	0	0	0	0	0	0	0
chr1_3171600_3172050	0	0	0	0	0	150	75	375	0	450	0	300	450	450	375	450	450	0	450	0	0	450	450	150	0	450	300	300	450	450	450	0	450	450	450	300	300	0	450	450	450	450	300	450	75	150	0	150	0	0
chr1_6170300_6170700	0	0	300	0	0	225	0	0	0	400	0	400	375	0	0	0	0	0	375	0	75	375	225	75	0	0	0	0	0	0	225	0	0	225	0	375	0	0	325	0	400	0	75	0	0	0	0	0	0	0
chr1_8371200_8371500	0	300	300	300	300	300	0	300	0	300	300	300	300	300	225	300	0	300	300	0	0	0	300	225	0	0	300	300	300	300	300	300	150	300	300	300	0	0	150	300	300	300	0	300	0	0	0	0	0	0
chr1_8451950_8452300	0	350	350	325	175	350	0	350	0	350	325	325	250	100	350	100	0	0	0	0	0	350	0	325	0	0	350	350	350	325	0	0	0	250	350	0	0	0	0	350	0	0	0	0	0	0	0	0	0	0
chr1_8494350_8497950	0	2475	3450	3600	600	2550	675	2925	450	3600	1725	3600	1650	3600	3600	3600	2400	3600	600	0	0	825	3600	3600	3600	3600	3600	3600	3600	3600	3600	3600	3600	3600	3600	3600	3600	0	3600	3600	3600	3600	525	1350	3600	3600	3600	3600	3600	3600
chr1_8683200_8683500	0	0	300	300	0	75	75	150	75	300	0	300	300	0	300	300	0	300	300	0	225	300	300	300	0	0	300	300	300	300	300	0	0	0	300	0	0	0	0	300	225	0	0	300	0	0	0	0	0	0
chr1_13812500_13812900	0	400	400	225	0	400	75	400	400	400	400	400	400	0	75	400	400	0	400	25	0	400	25	0	0	0	400	0	375	400	0	0	75	400	0	0	75	0	0	400	400	400	0	400	0	0	0	0	0	0
chr1_16703800_16704100	0	275	300	300	125	275	0	200	50	300	0	300	300	0	0	0	0	0	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125	0	0	0	125	0	0	0	125	50
chr1_16720050_16720800	0	0	600	0	0	750	0	0	0	750	750	750	750	750	75	375	300	300	750	0	0	750	750	0	750	750	750	0	75	750	750	450	750	375	300	750	750	0	375	750	750	75	0	0	750	750	750	750	750	750
chr1_16895050_16895400	0	125	350	350	0	0	50	350	50	350	350	350	350	350	350	350	350	0	350	0	0	350	300	350	350	350	350	350	350	350	350	350	350	350	350	350	350	0	0	350	350	350	0	350	350	350	350	350	350	350
chr1_21517400_21517750	250	25	250	325	0	350	0	175	0	100	0	0	350	350	350	350	350	350	350	0	0	325	0	350	350	350	350	350	350	350	350	350	350	350	350	350	350	0	350	350	350	350	0	0	350	350	350	350	350	350
chr1_21518900_21519850	0	0	950	0	0	950	375	775	0	750	0	700	950	950	950	950	950	950	950	0	0	925	0	950	950	950	950	950	950	950	950	950	950	950	950	950	950	0	950	950	925	950	0	0	950	950	950	950	950	950
chr1_23647700_23649250	825	1525	1525	1525	0	1550	600	1550	1525	1550	1375	1525	1550	750	375	300	0	0	1425	0	0	675	1450	1525	1525	1550	375	0	0	300	0	1550	1550	1550	0	1525	1550	0	1375	0	1525	1350	0	0	1550	1550	1550	1550	1550	1550
chr1_24312200_24312600	0	0	375	0	0	0	0	0	0	400	0	400	400	250	0	0	0	0	400	0	0	400	400	0	400	400	0	0	0	0	0	400	400	0	0	400	400	0	0	0	375	0	0	0	400	400	400	400	400	400
chr1_24385500_24385850	0	350	350	350	350	150	350	350	75	350	75	350	225	350	350	350	0	0	350	0	0	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	0	350	225	350	350	75	350	350	350	350	350	350	350
chr1_24387000_24387400	0	0	375	400	0	375	0	400	225	300	0	400	400	175	0	300	0	0	0	0	0	375	400	0	400	300	0	400	0	0	0	400	375	75	0	400	150	0	400	300	0	150	0	0	75	75	0	300	0	150
chr1_24754100_24754400	0	300	300	275	0	0	0	0	200	300	300	300	300	300	300	300	300	300	300	0	0	0	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	0	300	300	300	300	0	300	300	300	300	300	300	300
chr1_24760650_24761400	0	0	750	750	0	0	0	75	75	750	750	750	750	750	750	750	525	750	750	0	0	750	750	750	750	750	750	750	750	750	750	750	750	750	750	750	750	0	750	750	750	750	225	750	750	750	750	750	750	750
chr1_24807250_24807550	0	300	175	300	0	0	0	300	50	100	0	300	300	300	300	300	300	300	300	0	300	125	300	300	300	300	300	300	300	300	300	300	300	50	300	200	300	0	300	300	300	0	0	300	300	300	300	300	300	300
chr1_28054650_28055100	75	0	375	0	0	450	0	0	75	450	0	450	450	0	0	450	0	0	225	0	0	450	150	0	450	450	0	0	450	150	0	450	450	0	0	450	450	0	0	0	450	0	0	0	450	450	450	450	450	450
chr1_28113000_28113400	0	400	325	400	400	400	225	400	0	400	0	300	400	0	0	0	0	0	0	0	0	375	0	0	375	400	0	0	300	0	0	375	400	150	0	400	400	0	225	0	325	0	0	325	400	400	400	400	400	400
chr1_28145350_28145650	250	300	300	300	50	300	100	300	300	300	300	300	275	0	300	0	0	0	300	200	0	300	300	300	300	300	0	200	0	0	0	300	300	300	125	300	300	0	300	50	300	300	0	0	300	300	300	300	300	300
chr1_28959750_28960050	225	300	300	300	300	300	0	300	300	300	300	300	300	300	75	300	0	300	300	0	0	300	300	300	0	0	75	300	300	300	150	0	0	75	300	0	0	0	300	300	300	300	0	0	0	0	0	75	0	0
chr1_28976050_28976450	275	400	400	400	50	400	0	400	400	400	275	400	400	0	0	0	0	350	200	0	0	0	400	275	0	0	350	0	0	0	0	0	0	400	0	0	0	0	350	0	400	0	0	0	0	0	0	0	0	0
chr1_30845900_30846250	0	0	350	100	250	350	0	350	0	325	175	325	325	0	0	0	0	0	250	0	0	250	325	0	0	0	0	0	0	0	0	0	0	350	0	350	0	0	0	0	350	100	0	0	0	0	0	0	0	0
chr1_31595750_31596350	0	600	600	600	0	0	0	125	0	600	600	600	600	600	275	500	600	0	600	0	0	0	575	0	50	600	200	200	600	425	0	350	600	200	350	125	600	0	0	275	600	0	0	0	600	600	500	350	600	350
