A.H3K4me3.intersect.value	CLL.A34020.CEMT_4.H3K4me3.hg38.A34020_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A34036.CEMT_5.H3K4me3.hg38.A34036_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A34075.CEMT_6.H3K4me3.hg38.A34075_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A34939.CEMT_26.H3K4me3.hg38.A34939_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A34946.CEMT_27.H3K4me3.hg38.A34946_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A34953.CEMT_28.H3K4me3.hg38.A34953_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A34960.CEMT_29.H3K4me3.hg38.A34960_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A35237.CEMT_25.H3K4me3.hg38.A35237_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A35244.CEMT_30.H3K4me3.hg38.A35244_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A60644.CEMT_94.H3K4me3.hg38.bwa-sb.IX4412.C958UANXX_5_GATCAG.FindER2.bed.remDups.bed.intersect.value	CLL.A60651.CEMT_95.H3K4me3.hg38.bwa-sb.IX4412.C958UANXX_5_GATGCT.FindER2.bed.remDups.bed.intersect.value	CLL.A60658.CEMT_96.H3K4me3.hg38.A60658_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A60669.CEMT_97.H3K4me3.hg38.A60669_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	EGAN00001091882_EGAX00001135682_EGAR00001139772_NBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001091897_EGAX00001215957_EGAR00001228608_NBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001095818_EGAX00001128209_EGAR00001132156_NBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001095891_EGAX00001135680_EGAR00001139770_NBC_H3K4me3_SINGLE.MACS2NoInput.bed.intersect.value	EGAN00001107643_EGAX00001231897_EGAR00001245923_NBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001107668_EGAX00001215621_EGAR00001228080_NBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001173679_EGAX00001138967_EGAR00001143053_NBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001202786_EGAX00001323202_EGAR00001352518_CLL_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001202787_EGAX00001291853_EGAR00001320580_CLL_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001202788_EGAX00001323210_EGAR00001352510_CLL_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001202789_EGAX00001291851_EGAR00001320578_CLL_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001235813_EGAX00001323205_merged2runs_CLL_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001258588_EGAX00001291825_EGAR00001320549_csMBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265738_EGAX00001272592_merged2runs_PBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265740_EGAX00001272613_merged2runs_GCBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265741_EGAX00001272644_EGAR00001299991_NBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265743_EGAX00001272704_EGAR00001300108_NBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265744_EGAX00001272686_EGAR00001300079_NBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265747_EGAX00001272655_EGAR00001300002_NBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265748_EGAX00001272660_EGAR00001300007_PBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265749_EGAX00001272649_EGAR00001299996_GCBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265750_EGAX00001272584_EGAR00001300013_CLL_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001274157_EGAX00001419444_EGAR00001456638_MBC_H3K4me3_PAIRED.FindER2.bed.intersect.value	EGAN00001276797_EGAX00001304984_EGAR00001334467_GCBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001276798_EGAX00001304993_EGAR00001334418_NBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001277490_EGAX00001305087_EGAR00001334366_csMBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001277491_EGAX00001305084_EGAR00001334363_csMBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001277492_EGAX00001326449_EGAR00001355722_NBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001280969_EGAX00001419407_merged2runs_MBC_H3K4me3_PAIRED.FindER2.bed.intersect.value	EGAN00001295794_EGAX00001326425_EGAR00001355899_GCBC_H3K4me3_SINGLE.MACS2NoInput.bed.intersect.value	EGAN00001295795_EGAX00001326623_EGAR00001355769_PBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001295796_EGAX00001326617_EGAR00001355763_CLL_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001295801_EGAX00001326600_EGAR00001355772_NBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001295804_EGAX00001326426_merged2runs_NBC_H3K4me3_SINGLE.MACS2NoInput.bed.intersect.value	EGAN00001295815_EGAX00001326482_EGAR00001355809_usMBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	GCBC.A68887.CEMT_129.H3K4me3.hg38.bwa-sb.IX5130.CAVYBANXX_8_AGGCCG.FindER2.bed.remDups.bed.intersect.value	GCBC.A70849.CEMT_134.H3K4me3.hg38.A70849_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	GCBC.A70856.CEMT_135.H3K4me3_1_lane_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	GCBC.A70863.CEMT_136.H3K4me3.125nt.hg38.FindER2.bed.remDups.bed.intersect.value	GCBC.A70870.CEMT_137.H3K4me3.125nt.hg38.FindER2.bed.remDups.bed.intersect.value	GCBC.A70877.CEMT_138.H3K4me3_1_lane_dupsFlagged.FindER2.bed.remDups.bed.intersect.value
chr1_2137400_2137900	325	0	0	0	250	0	500	0	0	0	0	0	0	0	400	0	0	0	0	0	0	500	475	0	0	0	0	0	0	0	0	0	0	0	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_3889950_3890850	900	0	0	0	900	0	900	0	900	0	0	0	0	0	0	0	0	300	0	0	900	600	900	900	450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_10495950_10496700	750	150	0	0	375	0	750	0	75	0	0	0	0	0	0	0	0	150	0	0	0	750	750	450	0	450	0	0	0	450	375	0	75	0	0	750	0	0	525	0	75	600	0	0	450	75	0	450	0	0	0	0	0	0
chr1_12171000_12171300	300	225	0	0	0	0	300	0	300	0	0	0	0	0	0	0	0	0	0	0	0	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_12478100_12478400	300	300	0	0	125	0	0	0	275	0	0	0	0	0	125	300	0	125	0	0	0	300	300	300	0	0	0	0	300	200	300	275	0	0	0	300	0	50	0	0	300	0	0	0	0	300	0	275	0	0	0	0	0	0
chr1_19347750_19348200	450	0	0	0	0	0	450	0	0	0	450	0	0	0	0	0	0	0	0	0	0	450	450	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	450	0	0	0	0	0	0	0	0	0
chr1_23110950_23111750	800	800	200	0	50	0	750	0	800	0	0	0	0	0	0	0	0	0	0	0	0	800	800	0	0	0	0	0	0	0	0	0	0	0	0	525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_36236650_36237250	600	600	500	350	575	0	600	600	575	0	500	0	0	0	275	0	0	600	0	350	0	600	600	0	125	0	0	0	500	600	600	275	500	0	0	0	0	50	0	0	575	350	0	0	0	600	0	425	0	0	0	0	0	0
chr1_37556700_37557000	300	0	0	0	225	0	225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	300	0	0	0	0	0	0	0	0	300	0	0	0	0	0	0	150	0	0	0	0	0	0	0	0	0	0	150	0	0	0	150	0
chr1_93171300_93171600	300	300	0	0	225	150	300	0	300	0	0	0	0	0	300	0	0	300	0	300	0	300	300	300	0	75	300	0	300	300	300	300	300	300	0	300	0	225	300	0	300	300	0	225	0	300	240	300	300	300	300	300	300	300
chr1_101362550_101362950	400	0	0	0	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	400	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_116809050_116809500	450	0	0	0	450	0	0	0	375	0	0	0	75	0	0	0	0	0	0	0	0	450	450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	450	0
chr1_162632850_162633700	850	0	0	0	850	0	600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	850	825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_179831600_179832300	700	0	0	0	600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	700	700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_230274300_230274600	300	300	0	300	0	0	300	0	300	0	300	0	0	0	300	300	0	300	0	300	300	300	300	0	300	300	300	0	300	300	300	300	300	300	300	300	300	300	300	300	300	300	0	300	0	300	246	300	300	300	300	300	300	0
chr1_244789000_244789500	500	500	0	0	275	0	500	0	350	0	500	0	0	0	425	0	0	0	0	0	0	0	500	425	0	50	0	0	200	350	50	0	0	0	0	500	350	425	75	0	0	275	0	0	200	425	0	500	125	0	0	0	0	0
chr10_304800_306150	1350	375	0	1125	1350	0	0	0	0	0	375	0	450	675	1350	0	0	1050	1350	0	0	1350	1350	0	0	1275	0	0	1050	1350	1350	975	0	0	0	1350	0	300	525	0	150	1350	0	0	0	1050	0	900	600	675	0	525	900	375
chr10_308800_309300	500	500	0	0	300	0	225	0	50	0	0	0	0	0	500	125	0	350	0	0	0	500	500	275	0	0	275	0	275	500	350	0	0	0	0	350	200	0	350	0	500	425	0	0	125	275	0	0	50	0	0	0	50	0
chr10_310850_311150	300	50	0	125	300	0	300	0	0	0	0	0	0	0	300	0	0	0	50	0	0	300	275	0	0	50	0	0	50	300	0	50	0	0	125	300	0	50	50	0	200	300	0	0	50	275	0	125	0	0	0	0	0	0
chr10_338450_338950	500	0	0	0	325	0	500	400	0	0	0	0	0	0	475	0	0	0	0	0	0	475	500	0	500	500	0	0	400	175	0	0	400	500	0	500	450	0	0	0	0	475	0	325	0	400	0	500	0	0	0	0	0	0
chr10_2984900_2985300	400	0	0	0	375	0	400	0	0	0	0	0	0	0	400	0	0	225	400	0	0	400	0	0	0	0	100	0	375	0	0	0	0	0	0	0	0	0	0	0	150	75	0	0	0	300	0	0	0	0	0	0	0	0
chr10_3026250_3027000	750	0	0	0	750	0	750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10_8060300_8060850	550	450	0	0	550	0	550	0	525	0	0	0	0	300	550	550	0	550	550	550	0	550	450	550	0	550	550	0	550	550	550	550	550	550	0	550	550	550	550	550	550	550	0	550	550	550	0	550	550	550	550	550	550	550
chr10_13417550_13417900	325	0	0	0	0	0	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	325	350	0	0	25	0	0	0	0	0	0	0	0	0	0	250	0	0	0	0	0	0	0	0	0	0	0	350	100	25	100	250	350
chr10_17666850_17667750	900	600	375	0	900	0	900	0	900	0	0	0	525	0	0	0	0	0	0	0	675	900	375	900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10_18234200_18234550	350	0	350	0	300	0	350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350	350	350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10_25694850_25695250	400	0	0	0	0	0	0	0	0	0	0	0	0	0	400	300	0	400	75	375	0	400	400	0	0	400	0	0	400	400	400	400	0	0	0	400	0	400	400	0	400	400	0	0	0	400	0	400	0	0	0	0	0	0
