A.intersect.value	CLL.A34023.CEMT_4.H3K36me3.hg38.bwa-sb.IX2824.C3YJAACXX_6_ACTCTC.FindER2.bed.remDups.bed.intersect.value	CLL.A34039.CEMT_5.H3K36me3.hg38.bwa-sb.IX2845.C4C9JACXX_3_AGCGCT.FindER2.bed.remDups.bed.intersect.value	CLL.A34078.CEMT_6.H3K36me3.hg38.bwa-sb.IX2845.C4C9JACXX_3_AGTTCC.FindER2.bed.remDups.bed.intersect.value	CLL.A34942.CEMT_26.H3K36me3.hg38.bwa-sb.IX2652.C3TC1ACXX_2_ACTCTC.FindER2.bed.remDups.bed.intersect.value	CLL.A34949.CEMT_27.H3K36me3.hg38.bwa-sb.IX2824.C3YJAACXX_6_AGCGCT.FindER2.bed.remDups.bed.intersect.value	CLL.A34956.CEMT_28.H3K36me3.hg38.bwa-sb.IX2824.C3YJAACXX_6_AGTTCC.FindER2.bed.remDups.bed.intersect.value	CLL.A34963.CEMT_29.H3K36me3.hg38.bwa-sb.IX2824.C3YJAACXX_6_CCACGC.FindER2.bed.remDups.bed.intersect.value	CLL.A35240.CEMT_25.H3K36me3.hg38.bwa-sb.IX2652.C3TC1ACXX_2_GCACTT.FindER2.bed.remDups.bed.intersect.value	CLL.A35247.CEMT_30.H3K36me3.hg38.bwa-sb.IX2824.C3YJAACXX_6_GGCTAC.FindER2.bed.remDups.bed.intersect.value	CLL.A60647.CEMT_94.H3K36me3.hg38.bwa-sb.IX4417.C9587ANXX_2_AGCGCT.FindER2.bed.remDups.bed.intersect.value	CLL.A60654.CEMT_95.H3K36me3.hg38.bwa-sb.IX4417.C9587ANXX_2_AGTTCC.FindER2.bed.remDups.bed.intersect.value	CLL.A60661.CEMT_96.H3K36me3.hg38.bwa-sb.IX4417.C9587ANXX_2_CCACGC.FindER2.bed.remDups.bed.intersect.value	CLL.A60666.CEMT_97.H3K36me3.hg38.bwa-sb.IX4419.C9587ANXX_4_ATGTCA.FindER2.bed.remDups.bed.intersect.value	EGAN00001091882_EGAX00001135678_EGAR00001139764_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001091897_EGAX00001135685_EGAR00001139767_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001095818_EGAX00001133241_EGAR00001137327_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001107643_EGAX00001215952_EGAR00001228603_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001107668_EGAX00001171934_EGAR00001185148_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001173679_EGAX00001133248_EGAR00001137335_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001202786_EGAX00001323204_EGAR00001352516_CLL_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001202787_EGAX00001291868_EGAR00001320595_CLL_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001202788_EGAX00001323211_EGAR00001352511_CLL_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001202789_EGAX00001291885_EGAR00001320546_CLL_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001235813_EGAX00001323208_EGAR00001352512_CLL_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001258588_EGAX00001326464_EGAR00001355737_csMBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265738_EGAX00001272587_EGAR00001300134_PBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265740_EGAX00001272615_EGAR00001300042_GCBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265741_EGAX00001272623_EGAR00001300050_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265742_EGAX00001272638_EGAR00001300127_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265743_EGAX00001272667_merged3runs_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265744_EGAX00001272688_EGAR00001300081_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265747_EGAX00001272657_EGAR00001300004_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265748_EGAX00001272663_EGAR00001300010_PBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265749_EGAX00001272652_EGAR00001299999_GCBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265750_EGAX00001272583_EGAR00001300071_CLL_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001276797_EGAX00001304986_EGAR00001334469_GCBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001276798_EGAX00001304994_EGAR00001334419_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001277490_EGAX00001326453_EGAR00001355726_csMBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001277491_EGAX00001305063_EGAR00001334390_csMBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001277492_EGAX00001305082_EGAR00001334361_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001295795_EGAX00001326624_EGAR00001355770_PBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001295796_EGAX00001326575_EGAR00001355825_CLL_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001295801_EGAX00001326601_EGAR00001355747_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001295815_EGAX00001326483_EGAR00001355810_usMBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	GCBC.A68890.CEMT_129.H3K36me3.hg38.bwa-sb.IX5127.CAVYBANXX_5_ATCCTA.FindER2.bed.remDups.bed.intersect.value	GCBC.A70852.CEMT_134.H3K36me3.hg38.IX5208.CAVPBANXX_1_ACAGTG.FindER2.bed.remDups.bed.intersect.value	GCBC.A70859.CEMT_135.H3K36me3.hg38.A70859_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	GCBC.A70866.CEMT_136.H3K36me3.hg38.IX5211.CAVPBANXX_4_ACTGAT.FindER2.bed.remDups.bed.intersect.value	GCBC.A70873.CEMT_137.H3K36me3.hg38.IX5212.CAVPBANXX_5_ATCCTA.FindER2.bed.remDups.bed.intersect.value	GCBC.A70880.CEMT_138.H3K36me3.hg38.IX5214.CAVPBANXX_7_CACTCA.FindER2.bed.remDups.bed.intersect.value	*H3K36me3*bed.intersect.value
chr1_1657200_1657600	75	100	0	100	0	0	75	0	0	0	225	375	225	0	0	150	150	225	225	75	150	150	400	75	300	0	300	225	225	225	150	75	150	375	0	400	75	0	150	300	0	300	300	225	400	375	225	375	400	375	0
chr1_1713500_1713850	0	0	0	0	0	0	350	0	0	350	0	350	175	0	0	0	350	0	0	0	350	0	350	0	0	0	0	0	0	0	0	0	0	325	0	350	0	0	325	250	0	0	0	350	350	250	350	350	350	325	0
chr1_8492550_8494050	975	900	975	750	825	900	900	900	825	1500	1500	1500	1500	375	225	1500	1500	600	1500	1500	1500	1500	1500	1500	1500	0	600	1500	1500	1500	1500	1500	0	1500	1500	75	1500	0	1500	1500	0	1500	1500	1500	1500	975	600	675	1500	75	0
chr1_9060000_9063100	1200	375	375	450	375	525	0	0	400	675	675	675	600	1575	900	300	300	0	0	0	0	750	0	450	0	0	2925	525	750	1525	300	150	2550	3100	525	3100	225	0	0	150	0	0	225	525	3075	300	750	375	3000	675	0
chr1_11025300_11025900	0	0	75	0	0	0	0	0	0	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	0	600	600	600	600	600	600	600	600	600	600	600	600	0
chr1_11227100_11227500	400	175	375	75	400	250	0	400	0	75	75	375	75	0	0	0	0	0	0	0	400	75	400	75	0	0	400	0	0	0	75	0	0	400	0	400	0	0	0	0	0	25	0	400	400	375	400	300	400	400	0
chr1_12314700_12315150	0	0	0	0	0	0	0	0	0	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	0	450	450	450	450	450	450	450	450	450	450	450	450	0
chr1_12349800_12350900	0	0	0	0	0	0	50	0	0	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	0	1100	1100	225	1100	1100	1100	1100	1100	1100	1100	1100	1100	0
chr1_12370400_12370850	0	0	0	0	0	0	0	0	0	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	0	450	450	250	450	450	450	450	450	450	450	450	450	0
chr1_13787350_13787750	0	0	0	0	0	0	50	0	0	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	0	400	400	400	400	400	400	400	400	400	400	400	400	0
chr1_15657550_15657900	75	0	50	0	0	0	0	0	0	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	0	350	350	350	350	350	350	350	350	350	350	350	350	0
chr1_15910450_15910850	50	0	0	0	50	0	50	50	0	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	0	400	400	400	400	400	400	400	400	400	400	400	400	0
chr1_15912600_15913050	0	0	0	0	0	0	0	0	0	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	0	450	450	450	450	450	450	450	450	450	450	450	450	0
chr1_16599050_16599450	0	0	400	0	0	0	225	0	0	75	150	225	75	0	0	0	375	0	0	0	0	225	0	0	0	0	0	0	0	0	300	0	0	0	0	0	0	0	0	0	0	0	0	0	375	375	375	375	375	375	0
chr1_19132800_19133250	0	0	0	0	0	0	75	0	0	300	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	0	450	450	300	450	450	450	450	450	450	450	450	450	0
chr1_19135150_19136450	0	0	0	0	0	0	50	0	0	1300	1300	1300	1300	1300	1300	1300	1300	1300	1300	1300	1300	1300	1300	1300	1300	1300	1300	1300	1300	1300	1300	1300	1300	1300	1300	1300	1300	0	1300	1300	1300	1300	1300	1300	1300	1300	1300	1300	1300	1300	0
chr1_20742300_20742950	0	0	75	0	0	0	0	0	0	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	0	650	650	650	650	650	650	650	650	650	650	650	650	0
chr1_20754550_20754900	0	0	200	0	0	0	75	0	0	50	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	0	350	350	350	350	350	350	350	350	350	350	350	350	0
chr1_20771050_20772350	0	0	525	0	0	0	0	0	0	1300	1300	1300	1300	1300	1300	1300	1300	1300	1300	1300	1300	1300	1300	1300	1300	1300	1300	1300	1300	1300	1300	1300	1300	1300	1300	1300	1300	0	1300	1300	1300	1300	1300	1300	1300	1300	1300	1300	1300	1300	0
chr1_20775850_20777250	225	75	0	75	75	0	75	75	0	1250	1400	1400	1325	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	0	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	0
chr1_20968800_20969100	75	0	150	0	0	0	75	0	0	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	150	300	300	300	300	300	300	300	300	300	300	300	0	300	300	150	300	300	300	300	300	300	300	300	300	0
chr1_21684000_21684950	75	0	75	0	0	0	75	0	0	950	950	950	950	950	950	950	950	950	950	950	950	950	950	950	950	950	950	950	950	950	950	950	950	950	950	950	950	0	950	950	950	950	950	950	950	950	950	950	950	950	0
chr1_21746850_21747200	50	0	0	0	0	0	0	0	50	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	0	350	350	350	350	350	350	350	350	350	350	350	350	0
chr1_22079850_22080450	0	0	0	0	0	0	0	0	0	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	0	600	600	600	600	600	600	600	600	600	600	600	600	0
chr1_22087600_22088550	0	0	200	0	0	0	0	0	0	950	950	950	950	950	950	950	950	950	950	950	950	950	950	950	950	950	950	950	950	950	950	950	950	950	950	950	950	0	950	950	950	950	950	950	950	950	950	950	950	950	0
chr1_22091950_22092950	0	0	725	0	0	0	125	50	0	300	125	1000	1000	50	50	50	1000	125	125	575	1000	1000	1000	875	1000	0	1000	50	1000	1000	50	575	500	1000	575	1000	1000	0	1000	1000	0	1000	1000	200	1000	1000	1000	1000	1000	1000	0
