A.H3K27me3.intersect.value	CLL.A34022.CEMT_4.H3K27me3.hg38.bwa-sb.IX2655.C3YJAACXX_4_AAGCGA.FindER2.bed.remDups.bed.intersect.value	CLL.A34038.CEMT_5.H3K27me3.hg38.bwa-sb.IX2843.C3RULACXX_1_ACCCAG.FindER2.bed.remDups.bed.intersect.value	CLL.A34077.CEMT_6.H3K27me3.hg38.bwa-sb.IX2843.C3RULACXX_1_TGAATG.FindER2.bed.remDups.bed.intersect.value	CLL.A34941.CEMT_26.H3K27me3.hg38.bwa-sb.IX2650.C3THCACXX_4_AAGCGA.FindER2.bed.remDups.bed.intersect.value	CLL.A34948.CEMT_27.H3K27me3.hg38.bwa-sb.IX2655.C3YJAACXX_4_ACCCAG.FindER2.bed.remDups.bed.intersect.value	CLL.A34955.CEMT_28.H3K27me3.hg38.bwa-sb.IX2655.C3YJAACXX_4_TGAATG.FindER2.bed.remDups.bed.intersect.value	CLL.A34962.CEMT_29.H3K27me3.hg38.bwa-sb.IX2655.C3YJAACXX_4_CAACTA.FindER2.bed.remDups.bed.intersect.value	CLL.A35239.CEMT_25.H3K27me3.hg38.bwa-sb.IX2650.C3THCACXX_4_CTCAGA.FindER2.bed.remDups.bed.intersect.value	CLL.A35246.CEMT_30.H3K27me3.hg38.bwa-sb.IX2655.C3YJAACXX_4_TTAGGC.FindER2.bed.remDups.bed.intersect.value	CLL.A60646.CEMT_94.H3K27me3.hg38.bwa-sb.IX4416.C9587ANXX_1_ACCCAG.FindER2.bed.remDups.bed.intersect.value	CLL.A60653.CEMT_95.H3K27me3.hg38.bwa-sb.IX4416.C9587ANXX_1_TGAATG.FindER2.bed.remDups.bed.intersect.value	CLL.A60660.CEMT_96.H3K27me3.hg38.bwa-sb.IX4416.C9587ANXX_1_CAACTA.FindER2.bed.remDups.bed.intersect.value	CLL.A60667.CEMT_97.H3K27me3.hg38.bwa-sb.IX4419.C9587ANXX_4_TTAGGC.FindER2.bed.remDups.bed.intersect.value	EGAN00001091882_EGAX00001135679_EGAR00001139765_NBC_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001091897_EGAX00001135684_EGAR00001139766_NBC_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001107579_EGAX00001215956_EGAR00001228607_NBC_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001107643_EGAX00001215954_EGAR00001228605_NBC_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001107668_EGAX00001171948_EGAR00001185104_NBC_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001202786_EGAX00001231898_EGAR00001245924_CLL_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001202787_EGAX00001272597_EGAR00001300138_CLL_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001202788_EGAX00001272594_EGAR00001300135_CLL_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001202789_EGAX00001231899_EGAR00001245925_CLL_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001235813_EGAX00001234408_EGAR00001248463_CLL_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001258588_EGAX00001326545_EGAR00001355700_csMBC_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265738_EGAX00001272701_EGAR00001300104_PBC_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265739_EGAX00001272601_EGAR00001300132_NBC_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265740_EGAX00001272617_EGAR00001300044_GCBC_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265741_EGAX00001272702_EGAR00001300105_NBC_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265743_EGAX00001272666_merged3runs_NBC_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265744_EGAX00001272690_EGAR00001300083_NBC_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265747_EGAX00001272658_EGAR00001300005_NBC_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265748_EGAX00001272665_EGAR00001300012_PBC_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265749_EGAX00001272654_EGAR00001300001_GCBC_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265750_EGAX00001272586_EGAR00001300133_CLL_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001276797_EGAX00001304999_EGAR00001334472_GCBC_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001276798_EGAX00001304996_EGAR00001334421_NBC_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001277490_EGAX00001305064_EGAR00001334391_csMBC_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001277491_EGAX00001305086_EGAR00001334365_csMBC_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001277492_EGAX00001305083_EGAR00001334362_NBC_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001295796_EGAX00001364335_EGAR00001401453_CLL_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001295801_EGAX00001326521_EGAR00001355883_NBC_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001295802_EGAX00001326518_EGAR00001355880_PBC_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001295815_EGAX00001326493_EGAR00001355780_usMBC_H3K27me3_SINGLE.FindER2.bed.intersect.value	GCBC.A68889.CEMT_129.H3K27me3.hg38.bwa-sb.IX5126.CAVYBANXX_4_ATACGG.FindER2.bed.remDups.bed.intersect.value	GCBC.A70851.CEMT_134.H3K27me3.hg38.IX5208.CAVPBANXX_1_TGACCA.FindER2.bed.remDups.bed.intersect.value	GCBC.A70858.CEMT_135.H3K27me3.hg38.A70858_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	GCBC.A70865.CEMT_136.H3K27me3.hg38.IX5211.CAVPBANXX_4_ACTCTC.FindER2.bed.remDups.bed.intersect.value	GCBC.A70872.CEMT_137.H3K27me3.hg38.IX5212.CAVPBANXX_5_ATACGG.FindER2.bed.remDups.bed.intersect.value	GCBC.A70879.CEMT_138.H3K27me3.hg38.IX5214.CAVPBANXX_7_CACGAT.FindER2.bed.remDups.bed.intersect.value
chr1_2784300_2784700	400	400	0	400	0	400	0	400	400	400	400	75	400	400	400	0	400	225	75	400	0	400	175	400	0	0	0	400	400	150	400	0	0	375	0	400	400	400	400	400	400	0	75	0	0	0	0	0	250
chr1_2799500_2799850	350	350	350	350	350	350	0	350	350	350	350	350	350	0	0	250	350	0	350	350	0	350	350	350	0	175	0	25	350	350	350	0	0	350	0	350	325	350	350	350	100	0	350	0	0	0	0	0	0
chr1_2827300_2827650	350	350	350	350	150	350	225	350	350	350	350	350	350	125	350	0	0	350	350	350	350	350	350	350	0	200	125	350	350	350	350	350	125	350	0	350	350	350	350	350	350	0	350	0	0	0	0	0	225
chr1_2874150_2874450	300	300	300	0	300	300	0	300	300	300	300	300	300	300	0	300	300	0	300	300	0	300	300	300	0	150	0	150	300	300	300	300	0	300	0	300	300	300	300	300	300	0	300	0	0	0	0	0	0
chr1_2987250_2987600	350	350	350	350	350	350	0	350	125	350	350	350	350	0	200	350	350	200	350	200	0	350	350	0	0	350	0	350	350	275	350	0	0	350	0	350	350	350	350	350	350	0	350	0	0	0	0	0	0
chr1_3023850_3024300	0	450	450	450	150	450	225	0	450	450	450	450	450	450	375	450	450	450	450	75	0	450	225	0	0	225	0	450	450	450	450	0	0	300	0	450	75	0	0	75	225	0	300	0	0	0	0	0	0
chr1_3268800_3269100	300	0	300	0	0	300	0	300	225	150	225	300	300	0	300	300	300	0	300	300	0	300	300	300	0	0	0	0	300	0	150	0	0	300	0	0	300	300	225	300	300	0	300	0	0	0	0	0	0
chr1_3279150_3279650	0	0	500	0	0	500	0	500	500	500	500	500	500	425	375	375	425	0	500	500	0	500	500	500	0	500	0	0	500	425	500	0	0	500	0	500	500	500	0	500	500	0	500	0	0	0	0	0	0
chr1_3418150_3418500	350	350	350	200	0	350	0	350	350	350	350	350	350	50	0	350	350	0	350	350	350	350	350	350	0	350	200	350	350	350	350	350	125	350	0	350	350	350	350	350	350	0	350	0	0	0	0	0	0
chr1_3908500_3908950	450	450	450	450	250	450	25	450	450	450	450	450	450	250	450	0	175	0	400	450	0	450	450	450	0	0	0	175	100	0	325	250	0	450	0	400	450	450	0	450	400	0	100	0	0	0	0	0	0
chr1_4280450_4280750	300	200	300	300	200	300	0	275	300	300	300	300	300	125	0	300	125	0	300	300	0	125	300	300	0	200	0	300	300	300	300	275	0	200	0	300	300	300	300	300	300	0	300	0	0	0	0	0	25
chr1_4295550_4295850	225	300	300	300	150	300	0	225	300	300	300	300	300	300	75	0	300	300	300	300	75	300	300	300	0	300	0	0	300	300	300	75	0	300	0	225	300	300	300	300	225	300	300	0	0	0	0	0	0
chr1_4302450_4302850	400	400	400	400	400	400	0	400	400	400	400	400	400	400	0	400	0	375	400	400	0	400	400	175	0	25	0	400	400	400	400	400	0	400	0	225	400	400	400	400	400	400	400	0	0	0	0	0	0
chr1_4320150_4320600	450	450	450	450	450	450	450	450	450	450	450	450	450	450	0	450	450	450	450	450	0	450	450	450	0	450	450	450	450	450	450	0	0	450	0	450	450	450	450	450	450	75	450	0	0	0	0	0	0
chr1_4327650_4328400	750	750	750	600	750	750	0	750	750	750	750	750	750	750	750	375	600	375	750	750	0	750	750	750	0	750	450	750	750	750	750	300	0	750	0	750	750	750	750	750	750	750	750	0	0	0	0	0	0
chr1_4369950_4370400	0	450	450	450	0	450	0	0	450	450	450	450	450	450	450	225	150	450	450	150	0	450	450	450	0	450	375	0	450	375	450	0	0	450	0	450	450	450	450	450	450	0	450	0	0	0	0	0	0
chr1_4379600_4380300	0	700	700	700	300	700	0	225	700	700	700	700	700	0	525	550	700	625	700	700	0	700	700	700	0	0	100	625	700	700	700	0	0	625	0	700	0	700	700	625	700	450	700	0	0	0	0	0	550
chr1_4388250_4388900	650	650	650	650	75	650	0	650	650	650	650	650	650	575	125	650	650	650	650	650	650	650	650	650	0	650	0	650	650	650	650	0	425	650	0	650	650	650	650	650	650	650	650	0	0	0	0	0	0
chr1_4479650_4480700	1025	950	1050	1050	875	950	600	1050	875	1050	1050	1050	1050	1050	500	800	625	200	1050	1050	0	1050	1050	1050	0	1050	0	175	1050	1050	1050	875	0	1050	0	1050	1050	1050	875	1050	1050	0	1050	0	0	0	0	0	0
chr1_4497150_4497450	300	300	300	300	300	300	150	300	300	300	300	300	300	300	300	0	300	225	300	300	0	300	300	300	0	300	0	300	300	300	0	300	0	300	0	300	300	300	0	300	300	300	300	0	0	0	0	0	0
chr1_4570100_4570400	0	300	300	300	125	300	50	0	300	250	300	300	300	300	50	300	300	0	300	300	0	300	300	300	0	100	0	300	300	300	300	100	0	300	0	300	300	300	0	300	300	0	300	0	0	0	0	0	175
chr1_4698050_4698450	400	300	400	400	400	400	250	400	0	400	400	0	400	0	75	400	0	400	400	400	0	375	400	0	0	375	0	0	0	25	0	0	0	400	0	400	25	0	150	400	400	0	400	0	0	0	0	0	0
chr1_4741750_4742350	600	600	600	600	600	600	500	600	350	600	600	600	425	0	500	0	250	400	600	425	0	600	600	500	0	200	575	175	600	425	600	0	0	600	0	600	400	600	600	600	50	0	600	0	0	0	0	0	0
chr1_4764000_4764350	350	350	350	350	350	350	200	350	350	350	350	350	350	50	0	75	350	350	350	350	0	350	350	350	0	0	0	350	350	350	350	50	0	350	0	350	350	75	350	350	350	0	350	0	0	0	0	0	0
chr1_4803050_4803550	500	500	500	500	0	500	500	500	500	500	500	500	500	25	500	500	100	500	500	500	500	500	500	500	475	500	475	400	500	500	500	500	0	500	0	500	500	500	500	500	500	500	500	325	500	250	500	325	500
chr1_4905100_4905750	650	600	650	650	600	650	0	650	650	650	600	650	650	575	600	0	650	350	650	650	0	650	650	425	0	650	0	350	650	650	650	500	0	650	0	650	650	650	650	650	650	525	650	0	0	0	0	0	0
chr1_4912200_4912750	550	550	550	550	550	550	0	550	550	550	550	525	550	150	0	550	75	100	550	550	0	550	550	475	0	0	0	325	550	550	450	0	0	550	0	0	550	475	550	550	550	100	550	0	0	0	0	0	0
chr1_4935050_4935350	300	300	300	300	300	300	125	300	300	300	300	300	300	175	0	100	300	300	300	300	0	300	300	100	0	300	0	0	300	300	300	0	0	300	0	300	300	300	300	300	300	0	300	0	0	0	0	0	0
