A.H3K9me3.intersect.value	CLL.A34021.CEMT_4.H3K9me3.hg38.bwa-sb.IX2823.C3YJAACXX_5_CTTGTA.FindER2.bed.remDups.bed.intersect.value	CLL.A34037.CEMT_5.H3K9me3.hg38.bwa-sb.IX2844.C4C9JACXX_2_AACCCC.FindER2.bed.remDups.bed.intersect.value	CLL.A34076.CEMT_6.H3K9me3.hg38.bwa-sb.IX2844.C4C9JACXX_2_TAATCG.FindER2.bed.remDups.bed.intersect.value	CLL.A34940.CEMT_26.H3K9me3.hg38.bwa-sb.IX2651.C3TC1ACXX_1_CTTGTA.FindER2.bed.remDups.bed.intersect.value	CLL.A34947.CEMT_27.H3K9me3.hg38.bwa-sb.IX2823.C3YJAACXX_5_AACCCC.FindER2.bed.remDups.bed.intersect.value	CLL.A34954.CEMT_28.H3K9me3.hg38.bwa-sb.IX2823.C3YJAACXX_5_TAATCG.FindER2.bed.remDups.bed.intersect.value	CLL.A34961.CEMT_29.H3K9me3.hg38.bwa-sb.IX2823.C3YJAACXX_5_AGGCCG.FindER2.bed.remDups.bed.intersect.value	CLL.A35238.CEMT_25.H3K9me3.hg38.bwa-sb.IX2651.C3TC1ACXX_1_CCCATG.FindER2.bed.remDups.bed.intersect.value	CLL.A35245.CEMT_30.H3K9me3.hg38.bwa-sb.IX2823.C3YJAACXX_5_ATGTCA.FindER2.bed.remDups.bed.intersect.value	CLL.A60645.CEMT_94.H3K9me3.hg38.bwa-sb.IX4415.C958UANXX_8_AACCCC.FindER2.bed.remDups.bed.intersect.value	CLL.A60652.CEMT_95.H3K9me3.hg38.bwa-sb.IX4415.C958UANXX_8_TAATCG.FindER2.bed.remDups.bed.intersect.value	CLL.A60659.CEMT_96.H3K9me3.hg38.bwa-sb.IX4415.C958UANXX_8_AGGCCG.FindER2.bed.remDups.bed.intersect.value	CLL.A60668.CEMT_97.H3K9me3.hg38.bwa-sb.IX4419.C9587ANXX_4_GGCTAC.FindER2.bed.remDups.bed.intersect.value	EGAN00001091897_EGAX00001135687_EGAR00001139769_NBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001095818_EGAX00001133243_EGAR00001137329_NBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001107579_EGAX00001215595_EGAR00001228091_NBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001107643_EGAX00001215955_EGAR00001228606_NBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001107668_EGAX00001171949_EGAR00001185105_NBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001173679_EGAX00001135683_EGAR00001139773_NBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001202786_EGAX00001272637_EGAR00001300126_CLL_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001202787_EGAX00001272619_EGAR00001300046_CLL_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001202788_EGAX00001272595_EGAR00001300136_CLL_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001202789_EGAX00001291852_EGAR00001320579_CLL_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001235813_EGAX00001323209_EGAR00001352515_CLL_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001258588_EGAX00001326443_EGAR00001355794_csMBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265738_EGAX00001272620_EGAR00001300047_PBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265740_EGAX00001272618_EGAR00001300045_GCBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265741_EGAX00001272625_EGAR00001300052_NBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265742_EGAX00001272703_EGAR00001300107_NBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265743_EGAX00001272706_EGAR00001300111_NBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265744_EGAX00001272689_EGAR00001300082_NBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265747_EGAX00001272659_EGAR00001300006_NBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265748_EGAX00001272664_EGAR00001300011_PBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265749_EGAX00001272653_merged2runs_GCBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265750_EGAX00001272585_EGAR00001300065_CLL_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001276797_EGAX00001304998_EGAR00001334471_GCBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001276798_EGAX00001304995_EGAR00001334420_NBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001277490_EGAX00001326454_EGAR00001355727_csMBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001277491_EGAX00001326440_EGAR00001355791_csMBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001277492_EGAX00001305062_EGAR00001334389_NBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001295796_EGAX00001326619_EGAR00001355765_CLL_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001295801_EGAX00001326520_EGAR00001355882_NBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001295802_EGAX00001326536_EGAR00001355851_PBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001295815_EGAX00001326492_EGAR00001355779_usMBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	GCBC.A70850.CEMT_134.H3K9me3.hg38.A70850_3_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	GCBC.A70857.CEMT_135.H3K9me3.hg38.IX5209.CAVPBANXX_2_GGCTAC.FindER2.bed.remDups.bed.intersect.value	GCBC.A70864.CEMT_136.H3K9me3.hg38.IX5210.CAVPBANXX_3_ACGATA.FindER2.bed.remDups.bed.intersect.value	GCBC.A70871.CEMT_137.H3K9me3.hg38.IX5212.CAVPBANXX_5_ATAATT.FindER2.bed.remDups.bed.intersect.value	GCBC.A70878.CEMT_138.H3K9me3.hg38.IX5213.CAVPBANXX_6_CACCGG.FindER2.bed.remDups.bed.intersect.value
chr1_903450_903750	0	300	300	0	0	300	225	300	225	300	0	0	0	300	0	300	300	300	150	300	0	0	300	300	300	300	300	300	0	0	0	300	300	300	300	300	300	0	300	300	300	300	150	0	0	300	300	225	0
chr1_912150_912550	0	400	400	0	0	0	0	300	0	400	325	400	400	325	400	25	0	400	0	400	0	0	325	400	400	225	0	175	0	0	0	100	25	0	250	0	0	0	250	0	0	0	0	400	0	0	0	0	300
chr1_1190750_1191200	0	450	450	450	425	450	450	450	450	0	175	425	450	200	125	425	450	450	125	450	0	0	450	50	125	0	0	275	200	275	350	275	450	450	450	450	125	0	0	0	450	450	425	125	425	50	450	450	450
chr1_3300950_3301700	0	750	750	750	0	750	750	750	0	750	100	750	50	100	500	125	0	275	525	575	425	50	750	750	750	0	0	0	0	350	250	750	0	0	725	100	125	0	750	425	750	125	550	750	0	0	0	0	0
chr1_3307050_3307600	0	550	550	250	75	525	0	550	550	300	150	550	550	250	225	0	0	0	0	550	175	0	550	550	0	0	0	0	0	0	0	325	0	0	300	0	0	0	0	400	325	75	0	0	0	0	0	0	0
chr1_3951550_3951950	0	400	275	400	0	125	400	400	50	400	400	400	400	0	125	400	0	0	0	50	0	0	400	0	400	0	50	400	350	400	0	125	0	0	400	0	200	0	125	350	400	0	350	275	0	0	0	0	0
chr1_3953800_3954250	0	450	450	450	0	425	450	450	0	450	0	450	0	450	450	450	0	275	0	450	450	450	450	125	0	450	200	0	450	125	250	450	0	0	450	0	450	0	325	450	450	450	0	450	0	0	0	0	0
chr1_3957150_3957450	0	300	300	300	0	300	0	300	0	300	300	0	225	0	0	0	0	0	0	0	75	0	300	300	225	0	0	225	0	300	0	300	0	0	300	0	0	0	0	0	150	0	0	300	0	0	75	0	0
chr1_3960900_3961300	0	400	400	400	0	400	175	400	400	400	400	400	400	400	0	150	0	250	225	0	0	0	400	400	250	0	0	0	0	375	0	0	0	0	400	0	0	0	375	0	0	0	0	400	0	0	0	0	0
chr1_3972350_3972750	0	300	325	0	0	400	0	300	75	375	400	400	400	75	400	400	0	225	400	400	0	300	400	400	400	0	0	400	250	0	0	400	0	0	400	0	400	0	400	0	400	0	0	400	0	400	0	0	0
chr1_3995700_3996100	0	0	400	175	0	250	100	400	0	400	25	300	400	75	400	250	0	0	0	400	25	0	400	400	0	100	0	300	0	0	0	0	225	0	0	0	400	0	375	150	400	400	0	400	0	0	0	0	100
chr1_4018050_4018550	0	500	500	500	0	500	350	500	500	500	500	500	500	500	0	0	0	500	0	500	150	0	500	500	450	0	0	0	0	0	0	500	500	0	500	0	0	0	0	225	500	0	75	500	0	0	300	0	0
chr1_4026400_4028200	0	1800	825	1800	0	1800	0	1800	1800	1675	0	1800	1600	0	200	1450	0	0	0	1800	175	1525	1800	1800	0	0	550	625	0	0	400	0	0	0	1800	450	0	0	50	925	1800	0	450	1150	0	0	0	0	0
chr1_4028650_4029000	0	350	350	350	275	350	0	350	350	350	350	350	350	150	0	350	350	125	350	350	0	350	350	350	350	350	0	0	0	350	350	300	0	0	350	0	0	0	350	0	350	0	0	350	0	0	0	0	0
chr1_4033000_4033400	0	400	400	50	0	400	0	400	50	400	0	400	400	400	0	275	0	0	0	400	400	400	400	400	400	125	0	0	0	0	0	0	400	350	350	350	0	0	400	275	400	0	400	400	0	0	0	0	50
chr1_4072450_4072800	0	350	50	125	0	350	200	350	350	350	350	350	125	0	350	0	350	0	350	350	350	0	350	350	0	0	350	350	0	0	0	50	0	0	0	0	275	0	350	0	350	0	0	225	0	0	0	0	0
chr1_4083450_4083900	0	450	450	450	150	450	450	450	450	450	0	375	225	450	450	375	0	300	0	450	225	0	450	300	0	75	0	0	0	0	0	0	75	0	450	0	0	0	375	0	450	0	150	375	0	0	0	0	0
chr1_4085550_4086000	0	450	450	75	0	450	225	450	450	450	0	450	75	300	225	0	225	450	0	450	450	0	450	300	225	0	0	0	150	0	0	0	0	0	450	0	75	0	75	300	450	0	300	450	0	0	0	0	300
chr1_4106100_4107400	0	1000	825	450	0	1300	450	1050	825	1300	1200	1300	1200	750	850	0	675	1300	0	1275	25	0	1300	900	250	175	0	0	0	0	0	1275	0	0	375	0	300	0	850	1150	225	0	0	1300	0	0	0	0	0
chr1_4171050_4171500	0	450	450	375	0	450	450	450	75	450	450	375	450	0	0	300	0	75	0	450	0	0	450	0	0	225	0	0	0	0	0	300	0	0	0	0	225	0	450	225	450	0	0	0	0	150	0	0	0
chr1_4178750_4179450	0	700	700	525	0	700	700	700	700	700	700	700	700	0	550	375	0	175	0	675	0	0	0	475	0	0	700	0	0	0	0	0	0	0	700	0	700	0	475	0	700	475	0	700	0	0	0	0	375
chr1_4179750_4180100	0	350	350	350	350	350	150	350	350	350	350	350	350	125	350	0	125	350	300	350	50	0	50	350	0	0	0	0	0	0	200	50	0	0	350	0	0	0	50	125	125	275	0	300	0	0	0	0	150
chr1_4264800_4265250	0	450	0	375	0	450	0	450	0	450	450	450	300	450	300	0	75	150	300	225	0	0	450	450	375	0	0	0	450	450	0	150	0	0	450	0	450	0	450	0	450	0	0	450	0	150	0	0	0
chr1_4266650_4267050	0	400	400	400	400	0	400	400	150	400	25	400	400	0	0	0	400	400	400	400	400	100	400	400	400	0	0	100	0	0	0	400	0	0	375	0	400	0	400	0	400	375	0	150	0	175	0	100	0
chr1_4348300_4348600	0	25	175	300	25	125	100	300	0	300	250	300	300	300	0	0	0	250	0	300	25	0	300	275	275	0	0	25	0	0	0	0	0	0	300	0	50	0	0	50	100	0	0	0	0	0	0	0	275
chr1_4357600_4357950	0	350	350	75	0	350	0	350	350	350	0	350	350	0	300	350	0	0	0	350	350	0	350	125	0	0	0	225	0	0	0	0	350	350	0	350	275	0	350	350	350	0	0	225	0	0	0	0	0
chr1_4372600_4372950	0	350	350	350	0	350	350	350	350	350	350	350	350	0	350	0	350	200	0	350	0	0	350	350	350	125	200	350	350	50	350	350	350	350	350	350	350	0	350	350	350	350	200	350	0	0	0	0	0
chr1_4444350_4444750	0	400	400	325	0	400	400	400	75	400	400	400	400	0	25	0	0	400	0	375	0	75	400	400	250	0	0	0	0	375	0	0	0	0	400	0	250	0	100	0	400	0	375	400	0	0	0	0	175
