A.H3K9me3.intersect.value	CLL.A34021.CEMT_4.H3K9me3.hg38.bwa-sb.IX2823.C3YJAACXX_5_CTTGTA.FindER2.bed.remDups.bed.intersect.value	CLL.A34037.CEMT_5.H3K9me3.hg38.bwa-sb.IX2844.C4C9JACXX_2_AACCCC.FindER2.bed.remDups.bed.intersect.value	CLL.A34076.CEMT_6.H3K9me3.hg38.bwa-sb.IX2844.C4C9JACXX_2_TAATCG.FindER2.bed.remDups.bed.intersect.value	CLL.A34940.CEMT_26.H3K9me3.hg38.bwa-sb.IX2651.C3TC1ACXX_1_CTTGTA.FindER2.bed.remDups.bed.intersect.value	CLL.A34947.CEMT_27.H3K9me3.hg38.bwa-sb.IX2823.C3YJAACXX_5_AACCCC.FindER2.bed.remDups.bed.intersect.value	CLL.A34954.CEMT_28.H3K9me3.hg38.bwa-sb.IX2823.C3YJAACXX_5_TAATCG.FindER2.bed.remDups.bed.intersect.value	CLL.A34961.CEMT_29.H3K9me3.hg38.bwa-sb.IX2823.C3YJAACXX_5_AGGCCG.FindER2.bed.remDups.bed.intersect.value	CLL.A35238.CEMT_25.H3K9me3.hg38.bwa-sb.IX2651.C3TC1ACXX_1_CCCATG.FindER2.bed.remDups.bed.intersect.value	CLL.A35245.CEMT_30.H3K9me3.hg38.bwa-sb.IX2823.C3YJAACXX_5_ATGTCA.FindER2.bed.remDups.bed.intersect.value	CLL.A60645.CEMT_94.H3K9me3.hg38.bwa-sb.IX4415.C958UANXX_8_AACCCC.FindER2.bed.remDups.bed.intersect.value	CLL.A60652.CEMT_95.H3K9me3.hg38.bwa-sb.IX4415.C958UANXX_8_TAATCG.FindER2.bed.remDups.bed.intersect.value	CLL.A60659.CEMT_96.H3K9me3.hg38.bwa-sb.IX4415.C958UANXX_8_AGGCCG.FindER2.bed.remDups.bed.intersect.value	CLL.A60668.CEMT_97.H3K9me3.hg38.bwa-sb.IX4419.C9587ANXX_4_GGCTAC.FindER2.bed.remDups.bed.intersect.value	EGAN00001091897_EGAX00001135687_EGAR00001139769_NBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001095818_EGAX00001133243_EGAR00001137329_NBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001107579_EGAX00001215595_EGAR00001228091_NBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001107643_EGAX00001215955_EGAR00001228606_NBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001107668_EGAX00001171949_EGAR00001185105_NBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001173679_EGAX00001135683_EGAR00001139773_NBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001202786_EGAX00001272637_EGAR00001300126_CLL_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001202787_EGAX00001272619_EGAR00001300046_CLL_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001202788_EGAX00001272595_EGAR00001300136_CLL_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001202789_EGAX00001291852_EGAR00001320579_CLL_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001235813_EGAX00001323209_EGAR00001352515_CLL_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001258588_EGAX00001326443_EGAR00001355794_csMBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265738_EGAX00001272620_EGAR00001300047_PBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265740_EGAX00001272618_EGAR00001300045_GCBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265741_EGAX00001272625_EGAR00001300052_NBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265742_EGAX00001272703_EGAR00001300107_NBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265743_EGAX00001272706_EGAR00001300111_NBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265744_EGAX00001272689_EGAR00001300082_NBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265747_EGAX00001272659_EGAR00001300006_NBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265748_EGAX00001272664_EGAR00001300011_PBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265749_EGAX00001272653_merged2runs_GCBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265750_EGAX00001272585_EGAR00001300065_CLL_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001276797_EGAX00001304998_EGAR00001334471_GCBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001276798_EGAX00001304995_EGAR00001334420_NBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001277490_EGAX00001326454_EGAR00001355727_csMBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001277491_EGAX00001326440_EGAR00001355791_csMBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001277492_EGAX00001305062_EGAR00001334389_NBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001295796_EGAX00001326619_EGAR00001355765_CLL_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001295801_EGAX00001326520_EGAR00001355882_NBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001295802_EGAX00001326536_EGAR00001355851_PBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001295815_EGAX00001326492_EGAR00001355779_usMBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	GCBC.A70850.CEMT_134.H3K9me3.hg38.A70850_3_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	GCBC.A70857.CEMT_135.H3K9me3.hg38.IX5209.CAVPBANXX_2_GGCTAC.FindER2.bed.remDups.bed.intersect.value	GCBC.A70864.CEMT_136.H3K9me3.hg38.IX5210.CAVPBANXX_3_ACGATA.FindER2.bed.remDups.bed.intersect.value	GCBC.A70871.CEMT_137.H3K9me3.hg38.IX5212.CAVPBANXX_5_ATAATT.FindER2.bed.remDups.bed.intersect.value	GCBC.A70878.CEMT_138.H3K9me3.hg38.IX5213.CAVPBANXX_6_CACCGG.FindER2.bed.remDups.bed.intersect.value
chr1_4018050_4018550	0	500	500	500	0	500	350	500	500	500	500	500	500	500	0	0	0	500	0	500	150	0	500	500	450	0	0	0	0	0	0	500	500	0	500	0	0	0	0	225	500	0	75	500	0	0	300	0	0
chr1_4053450_4053900	0	450	450	0	0	450	75	300	450	450	450	450	450	0	225	0	0	450	0	450	450	0	450	450	450	450	0	375	0	225	75	450	0	0	450	0	0	0	450	150	450	0	225	450	0	0	0	0	0
chr1_4072200_4072650	0	450	300	375	0	450	450	450	450	450	375	450	375	0	450	0	225	150	225	450	450	0	450	450	0	0	450	450	0	0	0	300	0	0	0	225	450	0	450	0	450	225	150	75	0	0	0	0	0
chr1_4085250_4085650	0	400	400	0	0	400	0	100	400	400	300	400	375	400	0	0	0	400	0	400	400	0	400	400	0	0	0	75	0	225	0	0	0	0	400	0	375	0	0	400	400	0	175	100	0	0	0	0	300
chr1_4105800_4106100	0	0	300	0	0	300	0	300	300	300	300	300	300	300	0	0	300	225	0	300	300	0	300	300	225	0	0	225	0	0	0	300	300	0	300	0	75	0	225	225	300	0	150	300	0	0	0	0	0
chr1_4154250_4154550	0	300	300	0	0	300	0	300	300	300	300	300	300	225	0	0	0	0	0	300	300	0	300	300	300	0	0	0	0	0	0	300	0	0	0	0	0	0	300	0	300	0	0	300	0	0	0	0	0
chr1_4166650_4167650	0	1000	875	950	0	1000	125	875	1000	1000	1000	800	800	575	950	0	725	800	0	1000	1000	0	1000	1000	50	0	0	0	0	0	0	575	300	0	350	0	0	0	1000	300	1000	50	0	1000	0	0	0	0	0
chr1_4178900_4179250	0	350	350	325	0	350	350	350	350	350	350	350	350	0	350	325	0	25	0	350	0	0	0	325	0	0	350	0	0	0	0	0	0	0	350	0	350	0	325	0	350	325	0	350	0	0	0	0	175
chr1_4186850_4187850	0	1000	400	1000	525	1000	0	1000	1000	1000	1000	1000	900	375	100	1000	300	1000	375	1000	1000	0	1000	750	0	0	0	0	0	600	750	250	150	375	825	75	450	0	1000	375	1000	75	375	600	0	150	75	0	0
chr1_4358400_4359150	0	750	750	750	0	75	750	750	750	750	750	750	450	450	0	0	300	300	0	750	750	0	750	450	225	0	375	75	300	750	0	600	75	750	375	750	600	0	750	0	750	225	750	750	0	600	0	0	0
chr1_4371750_4372500	0	750	750	750	0	750	75	375	750	750	750	750	750	600	150	0	450	375	0	750	750	0	750	750	750	750	150	300	750	750	225	750	750	750	525	750	75	0	750	750	750	300	750	750	0	0	525	0	150
chr1_4417750_4418250	0	500	500	500	0	425	275	500	500	350	500	500	300	500	0	500	500	500	500	500	500	0	500	500	450	375	500	0	500	500	300	500	500	500	500	500	500	0	500	150	500	500	500	500	0	75	375	0	450
chr1_4433750_4434200	0	275	450	450	125	450	50	275	450	450	450	450	450	100	450	425	0	200	0	450	450	0	450	450	0	0	0	0	0	0	450	25	100	450	250	450	200	0	0	0	450	0	400	100	0	0	0	125	0
chr1_4510200_4510650	0	450	450	450	0	450	0	450	450	450	450	450	450	450	450	450	300	150	150	450	300	0	450	450	450	0	0	375	300	0	0	0	0	0	0	75	300	0	0	0	450	375	0	150	0	0	0	0	300
chr1_4515400_4515800	0	400	400	400	0	400	125	350	400	400	400	400	400	0	400	400	400	0	0	350	400	0	400	400	0	350	0	350	0	400	400	0	0	0	400	400	400	0	400	400	400	400	275	400	0	0	0	0	0
chr1_4545300_4545650	0	350	350	350	0	350	50	275	350	350	350	350	350	350	350	350	350	350	0	350	350	0	350	225	350	0	0	0	350	200	350	350	350	125	0	50	350	0	350	350	350	350	350	350	0	0	0	0	0
chr1_4548900_4549200	0	300	150	300	0	300	0	300	300	300	300	300	300	300	0	300	300	300	0	300	150	0	300	300	300	0	0	300	0	75	0	150	300	300	300	225	0	0	300	0	300	0	300	300	0	0	0	0	0
chr1_4584650_4584950	0	300	300	300	100	300	0	300	250	25	275	125	300	125	250	300	0	275	25	300	300	0	300	300	0	50	0	0	300	0	0	300	300	0	275	0	300	0	300	300	125	300	0	200	0	50	0	0	300
chr1_4586200_4587050	0	850	850	50	300	850	50	850	50	850	850	850	850	650	0	500	575	800	0	850	850	0	850	850	850	125	850	275	850	0	0	850	50	0	850	0	575	0	575	850	500	200	0	850	0	0	0	0	0
chr1_4602750_4603350	0	600	600	600	0	600	600	600	600	225	600	450	600	600	450	0	0	0	0	600	600	0	600	600	0	225	0	0	0	0	75	225	0	0	600	0	300	0	225	225	600	0	300	225	0	0	0	0	0
chr1_4635150_4635450	0	300	300	300	0	300	75	300	300	300	300	0	300	75	300	0	0	0	0	0	300	0	300	300	0	0	0	0	0	0	0	0	0	0	300	0	0	0	0	0	300	150	0	300	0	0	0	0	0
chr1_4644600_4645050	0	450	225	450	0	450	450	450	450	450	450	450	450	450	450	0	0	0	0	450	450	0	225	450	225	450	375	450	0	0	0	450	0	0	450	0	0	0	375	450	75	0	0	450	0	0	0	0	0
chr1_4649100_4649400	0	300	150	300	0	300	0	300	300	300	300	300	300	0	300	300	300	300	0	300	300	0	300	300	0	0	0	225	225	150	300	300	300	300	0	0	300	0	300	300	300	300	0	300	0	225	300	0	0
chr1_4663800_4664250	0	450	450	0	0	450	225	450	450	450	450	225	150	450	450	300	225	0	0	450	450	0	450	225	300	0	0	450	300	75	0	450	0	0	450	0	450	0	375	150	450	0	0	0	0	300	0	0	0
chr1_4764450_4764750	0	300	150	300	300	300	0	300	300	300	300	300	300	225	300	0	0	300	0	300	75	0	300	300	0	0	0	0	225	0	0	300	300	300	300	300	0	0	75	300	300	300	300	300	0	0	0	0	0
chr1_4828400_4828900	0	500	500	250	0	500	0	475	500	475	500	475	175	0	0	500	0	0	0	500	500	0	500	500	0	0	0	475	325	0	0	475	0	500	0	500	175	0	325	500	500	500	500	500	0	0	0	0	475
chr1_4836300_4836800	0	500	225	500	0	500	200	500	500	500	500	125	500	500	350	75	50	500	0	500	500	0	500	500	500	0	500	350	500	500	425	500	425	500	500	500	500	0	500	500	500	500	500	500	0	0	0	0	0
chr1_4923700_4924100	0	400	400	400	125	400	0	400	400	400	400	400	400	0	400	350	50	400	400	400	400	0	400	400	125	0	0	400	50	400	400	400	400	400	400	400	0	0	400	400	400	50	400	400	0	0	50	50	0
