A.H3K36me3.intersect.value	CLL.A34023.CEMT_4.H3K36me3.hg38.bwa-sb.IX2824.C3YJAACXX_6_ACTCTC.FindER2.bed.remDups.bed.intersect.value	CLL.A34039.CEMT_5.H3K36me3.hg38.bwa-sb.IX2845.C4C9JACXX_3_AGCGCT.FindER2.bed.remDups.bed.intersect.value	CLL.A34078.CEMT_6.H3K36me3.hg38.bwa-sb.IX2845.C4C9JACXX_3_AGTTCC.FindER2.bed.remDups.bed.intersect.value	CLL.A34942.CEMT_26.H3K36me3.hg38.bwa-sb.IX2652.C3TC1ACXX_2_ACTCTC.FindER2.bed.remDups.bed.intersect.value	CLL.A34949.CEMT_27.H3K36me3.hg38.bwa-sb.IX2824.C3YJAACXX_6_AGCGCT.FindER2.bed.remDups.bed.intersect.value	CLL.A34956.CEMT_28.H3K36me3.hg38.bwa-sb.IX2824.C3YJAACXX_6_AGTTCC.FindER2.bed.remDups.bed.intersect.value	CLL.A34963.CEMT_29.H3K36me3.hg38.bwa-sb.IX2824.C3YJAACXX_6_CCACGC.FindER2.bed.remDups.bed.intersect.value	CLL.A35240.CEMT_25.H3K36me3.hg38.bwa-sb.IX2652.C3TC1ACXX_2_GCACTT.FindER2.bed.remDups.bed.intersect.value	CLL.A35247.CEMT_30.H3K36me3.hg38.bwa-sb.IX2824.C3YJAACXX_6_GGCTAC.FindER2.bed.remDups.bed.intersect.value	CLL.A60647.CEMT_94.H3K36me3.hg38.bwa-sb.IX4417.C9587ANXX_2_AGCGCT.FindER2.bed.remDups.bed.intersect.value	CLL.A60654.CEMT_95.H3K36me3.hg38.bwa-sb.IX4417.C9587ANXX_2_AGTTCC.FindER2.bed.remDups.bed.intersect.value	CLL.A60661.CEMT_96.H3K36me3.hg38.bwa-sb.IX4417.C9587ANXX_2_CCACGC.FindER2.bed.remDups.bed.intersect.value	CLL.A60666.CEMT_97.H3K36me3.hg38.bwa-sb.IX4419.C9587ANXX_4_ATGTCA.FindER2.bed.remDups.bed.intersect.value	EGAN00001091882_EGAX00001135678_EGAR00001139764_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001091897_EGAX00001135685_EGAR00001139767_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001095818_EGAX00001133241_EGAR00001137327_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001107643_EGAX00001215952_EGAR00001228603_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001107668_EGAX00001171934_EGAR00001185148_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001173679_EGAX00001133248_EGAR00001137335_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001202786_EGAX00001323204_EGAR00001352516_CLL_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001202787_EGAX00001291868_EGAR00001320595_CLL_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001202788_EGAX00001323211_EGAR00001352511_CLL_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001202789_EGAX00001291885_EGAR00001320546_CLL_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001235813_EGAX00001323208_EGAR00001352512_CLL_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001258588_EGAX00001326464_EGAR00001355737_csMBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265738_EGAX00001272587_EGAR00001300134_PBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265740_EGAX00001272615_EGAR00001300042_GCBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265741_EGAX00001272623_EGAR00001300050_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265742_EGAX00001272638_EGAR00001300127_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265743_EGAX00001272667_merged3runs_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265744_EGAX00001272688_EGAR00001300081_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265747_EGAX00001272657_EGAR00001300004_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265748_EGAX00001272663_EGAR00001300010_PBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265749_EGAX00001272652_EGAR00001299999_GCBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265750_EGAX00001272583_EGAR00001300071_CLL_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001276797_EGAX00001304986_EGAR00001334469_GCBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001276798_EGAX00001304994_EGAR00001334419_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001277490_EGAX00001326453_EGAR00001355726_csMBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001277491_EGAX00001305063_EGAR00001334390_csMBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001277492_EGAX00001305082_EGAR00001334361_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001295795_EGAX00001326624_EGAR00001355770_PBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001295796_EGAX00001326575_EGAR00001355825_CLL_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001295801_EGAX00001326601_EGAR00001355747_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001295815_EGAX00001326483_EGAR00001355810_usMBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	GCBC.A68890.CEMT_129.H3K36me3.hg38.bwa-sb.IX5127.CAVYBANXX_5_ATCCTA.FindER2.bed.remDups.bed.intersect.value	GCBC.A70852.CEMT_134.H3K36me3.hg38.IX5208.CAVPBANXX_1_ACAGTG.FindER2.bed.remDups.bed.intersect.value	GCBC.A70859.CEMT_135.H3K36me3.hg38.A70859_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	GCBC.A70866.CEMT_136.H3K36me3.hg38.IX5211.CAVPBANXX_4_ACTGAT.FindER2.bed.remDups.bed.intersect.value	GCBC.A70873.CEMT_137.H3K36me3.hg38.IX5212.CAVPBANXX_5_ATCCTA.FindER2.bed.remDups.bed.intersect.value	GCBC.A70880.CEMT_138.H3K36me3.hg38.IX5214.CAVPBANXX_7_CACTCA.FindER2.bed.remDups.bed.intersect.value
chr1_1260000_1261000	1000	1000	1000	1000	0	1000	25	1000	1000	1000	1000	1000	900	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	0	1000	1000	1000	1000	1000	1000	75	0	375	0	400	975
chr1_1326050_1326450	400	375	400	225	0	400	225	150	150	400	400	25	150	0	400	0	400	0	0	400	400	0	400	400	400	400	400	400	300	400	400	375	400	400	300	400	150	0	400	400	400	400	400	400	0	0	0	0	0	0
chr1_1548450_1548750	300	300	300	0	0	150	0	0	300	300	300	300	75	225	300	300	300	300	0	0	300	0	300	300	225	225	300	300	300	300	300	300	300	300	300	300	300	0	300	300	300	300	300	300	0	0	0	0	0	0
chr1_1554900_1555200	300	0	300	0	0	0	0	225	0	300	300	300	300	300	300	300	300	300	0	300	300	0	300	0	300	300	300	300	300	300	300	300	300	300	300	300	300	0	300	300	300	300	300	300	0	0	0	0	0	0
chr1_1735150_1735900	750	750	750	425	50	750	125	750	750	750	750	750	750	0	725	575	750	750	425	425	750	0	750	350	750	350	750	750	750	750	750	750	750	750	725	750	500	0	750	750	350	650	750	750	350	0	200	400	500	200
chr1_2093100_2093550	300	0	450	0	0	0	0	0	450	450	450	450	450	75	450	450	450	75	0	450	450	0	450	450	450	450	0	450	375	450	450	450	450	450	450	375	450	0	450	450	75	450	450	450	0	0	0	0	0	0
chr1_2100000_2100400	400	400	400	400	0	400	0	400	400	400	400	400	300	0	0	400	150	0	300	400	400	325	400	400	375	0	0	400	400	400	400	400	400	0	400	0	400	0	400	400	0	400	400	400	0	0	0	0	0	0
chr1_2115950_2117100	1125	1150	1150	1050	0	1150	0	1125	1150	1150	475	1150	400	250	625	700	625	450	375	750	775	0	1150	525	1150	0	0	700	1000	775	700	850	625	0	0	0	325	0	1150	550	0	1150	1150	1075	0	0	0	0	0	0
chr1_2135700_2136150	450	450	450	450	0	450	0	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	225	0	450	450	450	450	450	450	450	450	450	450	0	450	450	225	450	450	450	0	0	0	0	0	0
chr1_2136500_2138150	1650	1225	1650	1400	0	1650	0	1650	1650	1650	1650	1650	1650	1000	1600	1650	1650	1650	250	1650	1650	850	1650	1650	1650	1550	1125	1650	1650	1650	1650	1650	1450	1650	1600	1625	1650	0	1650	1650	25	1650	1650	1650	0	0	0	0	0	0
chr1_2173600_2173900	275	125	300	0	0	0	50	300	275	300	300	300	300	300	300	0	300	300	0	300	300	0	300	300	25	300	275	300	300	300	300	300	300	300	300	100	300	0	300	300	0	300	300	300	0	0	0	0	0	0
chr1_2187950_2188350	400	325	400	0	0	0	0	400	400	400	400	400	0	0	400	0	400	375	0	375	400	0	400	400	400	25	400	400	400	400	400	400	400	400	400	400	400	0	400	400	25	400	400	400	0	0	0	0	0	0
chr1_2231850_2232150	300	0	300	0	0	300	0	150	150	300	300	300	300	75	300	225	300	300	0	150	300	0	300	300	300	300	300	300	300	300	300	300	300	300	300	0	300	0	300	300	0	300	300	300	0	0	0	0	0	0
chr1_2271100_2271550	450	0	450	0	0	0	0	0	0	450	450	450	450	450	450	0	450	450	0	0	450	0	450	450	450	450	0	450	450	450	450	450	450	0	450	0	450	0	450	450	0	450	450	450	0	0	0	0	0	0
chr1_2357850_2358250	400	25	400	400	0	400	0	0	325	400	400	400	400	100	250	400	400	400	0	375	400	25	400	400	400	0	0	400	400	400	400	400	0	100	400	0	400	0	400	400	175	400	400	400	0	0	0	0	0	0
chr1_2389650_2390050	400	400	400	0	0	0	75	400	375	400	400	400	325	400	0	100	0	250	0	400	400	0	400	150	0	0	375	0	0	375	400	400	400	400	400	400	75	0	0	400	0	400	400	400	150	0	0	0	0	0
chr1_2489150_2489800	650	650	650	25	25	400	0	375	650	650	650	650	650	0	0	475	650	650	325	625	650	0	650	650	650	325	0	300	650	0	650	550	0	0	650	0	650	0	650	650	0	650	650	650	175	0	625	175	250	175
chr1_2525100_2525400	300	300	300	0	0	300	0	225	0	300	300	300	300	0	0	75	300	225	0	150	300	0	300	300	0	300	300	300	0	0	300	300	300	300	300	300	0	0	300	300	0	300	300	300	0	0	0	0	0	0
chr1_3489900_3490200	300	0	300	0	0	300	0	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	0	0	0	300	300	300	300	300	0	0	300	0	300	0	300	300	0	300	300	300	0	0	0	0	0	0
chr1_3503550_3504200	650	300	650	0	0	650	0	300	650	650	650	650	650	650	575	650	650	650	200	650	650	0	650	650	650	0	0	650	500	650	650	650	0	0	650	0	650	0	650	650	0	650	650	650	0	0	0	0	0	0
chr1_3512150_3512500	350	325	350	250	175	350	0	350	350	350	350	350	350	350	350	350	350	350	350	325	350	100	350	350	350	250	0	350	350	350	350	350	0	0	350	0	350	0	350	350	0	350	350	350	0	0	0	0	0	0
chr1_3519900_3521700	900	0	1800	300	0	1425	0	1800	1800	1800	1800	1800	1800	525	1575	1800	1800	900	675	450	1800	0	1800	1800	600	675	0	1800	1800	1800	1800	1800	375	0	1800	0	1800	0	1800	1800	750	1800	1800	1800	0	0	0	0	0	0
chr1_3527450_3527850	300	0	400	0	0	150	0	75	400	400	400	400	400	0	250	400	400	400	400	0	400	0	400	400	0	0	0	400	0	400	400	400	0	0	375	0	400	0	400	400	150	400	400	400	0	0	0	0	0	0
chr1_3528050_3528350	300	275	300	0	0	300	0	300	300	300	300	300	300	300	125	250	300	25	0	275	300	0	300	300	0	0	0	0	0	300	300	300	0	0	200	0	300	0	300	300	300	300	300	300	0	0	0	0	0	0
chr1_3734850_3735300	450	450	450	300	0	450	75	450	450	450	450	450	450	450	450	450	450	450	225	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	0	450	450	450	450	450	450	0	0	0	0	0	0
chr1_5984750_5985250	500	500	500	500	0	500	500	500	500	500	500	500	500	0	100	500	500	250	25	500	500	0	500	500	500	500	400	500	500	0	500	500	500	500	475	500	500	0	500	500	500	500	500	500	400	0	0	325	500	0
chr1_6000750_6001150	300	300	400	150	0	100	0	300	0	400	400	400	400	400	400	400	400	400	400	400	400	0	400	400	400	0	150	400	400	400	400	400	400	400	0	400	400	0	400	400	400	400	400	400	0	0	0	0	0	0
