A.H3K36me3.intersect.value	CLL.A34023.CEMT_4.H3K36me3.hg38.bwa-sb.IX2824.C3YJAACXX_6_ACTCTC.FindER2.bed.remDups.bed.intersect.value	CLL.A34039.CEMT_5.H3K36me3.hg38.bwa-sb.IX2845.C4C9JACXX_3_AGCGCT.FindER2.bed.remDups.bed.intersect.value	CLL.A34078.CEMT_6.H3K36me3.hg38.bwa-sb.IX2845.C4C9JACXX_3_AGTTCC.FindER2.bed.remDups.bed.intersect.value	CLL.A34942.CEMT_26.H3K36me3.hg38.bwa-sb.IX2652.C3TC1ACXX_2_ACTCTC.FindER2.bed.remDups.bed.intersect.value	CLL.A34949.CEMT_27.H3K36me3.hg38.bwa-sb.IX2824.C3YJAACXX_6_AGCGCT.FindER2.bed.remDups.bed.intersect.value	CLL.A34956.CEMT_28.H3K36me3.hg38.bwa-sb.IX2824.C3YJAACXX_6_AGTTCC.FindER2.bed.remDups.bed.intersect.value	CLL.A34963.CEMT_29.H3K36me3.hg38.bwa-sb.IX2824.C3YJAACXX_6_CCACGC.FindER2.bed.remDups.bed.intersect.value	CLL.A35240.CEMT_25.H3K36me3.hg38.bwa-sb.IX2652.C3TC1ACXX_2_GCACTT.FindER2.bed.remDups.bed.intersect.value	CLL.A35247.CEMT_30.H3K36me3.hg38.bwa-sb.IX2824.C3YJAACXX_6_GGCTAC.FindER2.bed.remDups.bed.intersect.value	CLL.A60647.CEMT_94.H3K36me3.hg38.bwa-sb.IX4417.C9587ANXX_2_AGCGCT.FindER2.bed.remDups.bed.intersect.value	CLL.A60654.CEMT_95.H3K36me3.hg38.bwa-sb.IX4417.C9587ANXX_2_AGTTCC.FindER2.bed.remDups.bed.intersect.value	CLL.A60661.CEMT_96.H3K36me3.hg38.bwa-sb.IX4417.C9587ANXX_2_CCACGC.FindER2.bed.remDups.bed.intersect.value	CLL.A60666.CEMT_97.H3K36me3.hg38.bwa-sb.IX4419.C9587ANXX_4_ATGTCA.FindER2.bed.remDups.bed.intersect.value	EGAN00001091882_EGAX00001135678_EGAR00001139764_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001091897_EGAX00001135685_EGAR00001139767_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001095818_EGAX00001133241_EGAR00001137327_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001107643_EGAX00001215952_EGAR00001228603_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001107668_EGAX00001171934_EGAR00001185148_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001173679_EGAX00001133248_EGAR00001137335_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001202786_EGAX00001323204_EGAR00001352516_CLL_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001202787_EGAX00001291868_EGAR00001320595_CLL_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001202788_EGAX00001323211_EGAR00001352511_CLL_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001202789_EGAX00001291885_EGAR00001320546_CLL_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001235813_EGAX00001323208_EGAR00001352512_CLL_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001258588_EGAX00001326464_EGAR00001355737_csMBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265738_EGAX00001272587_EGAR00001300134_PBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265740_EGAX00001272615_EGAR00001300042_GCBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265741_EGAX00001272623_EGAR00001300050_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265742_EGAX00001272638_EGAR00001300127_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265743_EGAX00001272667_merged3runs_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265744_EGAX00001272688_EGAR00001300081_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265747_EGAX00001272657_EGAR00001300004_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265748_EGAX00001272663_EGAR00001300010_PBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265749_EGAX00001272652_EGAR00001299999_GCBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265750_EGAX00001272583_EGAR00001300071_CLL_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001276797_EGAX00001304986_EGAR00001334469_GCBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001276798_EGAX00001304994_EGAR00001334419_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001277490_EGAX00001326453_EGAR00001355726_csMBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001277491_EGAX00001305063_EGAR00001334390_csMBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001277492_EGAX00001305082_EGAR00001334361_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001295795_EGAX00001326624_EGAR00001355770_PBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001295796_EGAX00001326575_EGAR00001355825_CLL_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001295801_EGAX00001326601_EGAR00001355747_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001295815_EGAX00001326483_EGAR00001355810_usMBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	GCBC.A68890.CEMT_129.H3K36me3.hg38.bwa-sb.IX5127.CAVYBANXX_5_ATCCTA.FindER2.bed.remDups.bed.intersect.value	GCBC.A70852.CEMT_134.H3K36me3.hg38.IX5208.CAVPBANXX_1_ACAGTG.FindER2.bed.remDups.bed.intersect.value	GCBC.A70859.CEMT_135.H3K36me3.hg38.A70859_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	GCBC.A70866.CEMT_136.H3K36me3.hg38.IX5211.CAVPBANXX_4_ACTGAT.FindER2.bed.remDups.bed.intersect.value	GCBC.A70873.CEMT_137.H3K36me3.hg38.IX5212.CAVPBANXX_5_ATCCTA.FindER2.bed.remDups.bed.intersect.value	GCBC.A70880.CEMT_138.H3K36me3.hg38.IX5214.CAVPBANXX_7_CACTCA.FindER2.bed.remDups.bed.intersect.value
chr1_5917550_5917850	0	0	300	0	0	0	275	300	50	300	0	300	300	300	300	100	0	0	0	275	0	0	300	300	300	0	0	25	50	0	300	50	250	0	0	0	0	0	300	300	0	0	300	300	0	0	0	0	0	0
chr1_5921850_5922300	300	450	450	450	0	450	450	450	0	375	0	450	450	0	450	150	450	0	0	450	450	0	450	0	0	300	0	0	450	300	450	450	450	450	450	150	450	0	450	450	225	450	450	0	225	0	0	0	0	0
chr1_12478100_12479100	250	1000	1000	1000	0	1000	0	1000	75	450	600	975	0	150	0	525	975	0	0	625	75	475	1000	1000	1000	450	325	0	250	0	1000	75	1000	1000	225	1000	0	0	1000	550	675	1000	400	1000	0	0	0	0	0	0
chr1_19445850_19446300	0	450	450	450	0	0	0	375	0	450	450	450	450	300	450	0	450	450	0	450	450	0	450	450	450	225	450	450	450	450	450	450	450	450	450	450	450	0	450	450	0	450	450	450	0	225	0	0	75	0
chr1_23371050_23371350	300	300	300	0	0	225	0	225	0	300	0	0	0	0	300	0	225	0	0	300	0	0	300	300	0	300	0	75	0	0	225	150	0	300	0	225	300	0	300	0	300	300	0	300	0	0	0	0	0	0
chr1_23599150_23599650	225	500	500	500	0	500	0	500	500	500	0	500	500	0	0	0	0	0	0	425	0	0	500	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500	0	0	0	0	0	0	0	0
chr1_45048800_45049100	300	300	300	300	0	300	0	300	0	300	0	300	300	0	0	0	0	0	0	0	300	0	300	0	0	0	0	0	0	0	0	0	0	0	300	0	0	0	300	0	0	300	0	0	0	0	0	0	0	0
chr1_45426950_45427300	0	350	350	350	0	350	0	350	0	350	0	100	175	0	0	0	100	0	0	0	0	25	350	250	100	0	0	0	0	0	350	0	0	0	175	0	0	0	250	250	0	25	0	25	0	0	0	0	0	0
chr1_45476250_45477200	600	950	950	950	375	950	0	950	450	750	525	950	525	0	125	300	425	950	125	0	0	0	375	675	725	0	0	575	800	0	725	875	950	450	0	0	0	0	950	950	0	950	675	950	0	0	0	0	0	0
chr1_45487100_45487600	0	100	500	100	175	100	0	400	100	400	0	475	475	175	325	250	500	0	250	325	0	0	475	0	500	0	0	0	100	400	500	0	0	0	250	500	500	0	500	500	0	500	500	500	325	100	0	325	500	0
chr1_54277850_54278250	0	225	300	300	0	400	0	400	0	400	0	0	400	400	400	0	0	400	0	250	400	75	400	375	400	300	400	400	25	0	375	400	225	400	400	400	150	0	400	400	0	400	400	400	325	0	0	0	0	0
chr1_54328400_54329250	0	475	825	850	0	850	0	850	0	850	250	775	850	700	850	0	325	850	0	175	400	0	825	850	400	750	700	700	250	325	400	850	850	850	850	850	400	0	850	850	0	850	850	850	0	0	0	0	0	0
chr1_54336900_54337300	0	400	225	400	0	150	0	400	0	400	400	400	400	400	400	150	400	400	0	0	150	25	400	375	400	0	400	400	0	0	300	400	400	400	400	400	0	0	400	400	400	400	400	400	0	0	0	0	0	0
chr1_54354550_54354850	0	0	25	300	0	300	0	100	0	300	0	0	275	175	250	125	0	125	0	0	0	100	300	100	0	0	300	0	175	0	0	0	300	300	300	300	0	0	300	0	175	300	0	300	0	0	0	0	0	0
chr1_54364650_54365150	350	500	500	500	0	500	0	500	0	500	0	50	500	275	0	500	0	50	0	350	0	200	0	500	0	0	275	0	0	0	0	50	425	500	500	500	0	0	500	500	0	500	500	200	75	0	0	0	0	0
chr1_84217500_84217900	0	400	400	400	0	400	0	400	300	375	300	400	150	400	400	400	400	400	400	375	400	0	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	0	400	400	400	400	400	400	400	400	400	400	400	400
chr1_84235050_84235600	0	550	550	550	0	550	0	550	0	550	475	550	550	550	550	550	550	550	550	475	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550	0	550	550	550	550	550	550	550	550	550	550	550	550
chr1_100377000_100377500	375	500	500	500	0	500	0	500	500	500	500	500	500	500	50	500	500	500	200	275	50	0	500	500	500	0	0	500	500	500	500	500	0	0	50	0	500	0	500	500	0	500	500	500	350	0	125	200	200	50
chr1_154712850_154713250	175	400	400	400	0	400	0	400	0	400	0	400	400	0	0	0	0	25	0	400	400	400	0	75	0	400	400	0	0	0	0	0	400	400	400	400	0	0	400	0	400	400	0	0	400	400	225	400	400	400
chr1_154714450_154714750	275	300	300	300	0	275	0	300	0	300	300	300	300	0	0	0	0	0	0	275	0	0	0	0	0	300	300	0	0	0	0	0	300	300	275	300	0	0	0	0	300	300	0	0	300	300	300	300	300	300
chr1_154724000_154724400	400	0	400	400	0	0	0	400	0	400	0	75	400	300	0	0	0	0	0	175	0	0	0	375	0	400	400	0	0	0	0	0	400	400	0	400	0	0	0	0	400	400	0	0	400	400	0	400	400	400
chr1_154781200_154781650	350	275	450	450	0	450	0	450	0	450	50	450	200	50	0	0	0	0	0	200	275	0	0	0	0	450	450	0	0	0	0	0	450	450	200	450	0	0	275	0	450	450	0	0	450	250	450	450	450	450
chr1_154817850_154818250	25	0	400	400	0	400	0	400	0	400	0	400	400	0	0	0	0	0	0	375	400	0	0	325	0	400	400	0	0	0	300	400	400	400	225	400	0	0	400	0	400	400	0	0	400	0	400	400	400	0
chr1_169121450_169121850	0	0	400	400	0	400	400	400	0	400	0	0	400	225	0	0	0	0	0	400	375	0	400	375	300	0	0	0	0	0	0	0	0	225	400	0	0	0	400	0	0	400	0	0	0	0	0	0	0	0
chr1_180783650_180783950	0	300	275	300	0	275	0	300	0	0	0	300	300	0	0	0	0	50	0	0	0	0	300	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125	0	0	250	0	300	25	300	0	0	250	0
chr1_182383800_182384150	200	350	350	275	350	0	0	0	0	350	0	350	350	350	350	350	350	350	350	350	0	0	350	350	350	275	350	350	350	350	350	350	350	350	350	350	350	0	350	350	125	350	350	350	350	300	350	350	350	350
chr1_230784350_230784700	0	350	350	325	0	325	0	0	0	350	175	250	350	100	0	175	0	0	0	0	0	0	350	175	0	0	0	0	0	0	0	0	0	0	350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_243421100_243421400	0	300	200	300	0	300	275	0	200	125	0	300	300	275	0	0	0	0	250	175	0	0	300	200	300	0	0	200	0	0	25	0	0	175	300	300	0	0	300	300	0	300	275	300	300	300	0	100	175	300
