A.H3K4me3.intersect.value	CLL.A34020.CEMT_4.H3K4me3.hg38.A34020_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A34036.CEMT_5.H3K4me3.hg38.A34036_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A34075.CEMT_6.H3K4me3.hg38.A34075_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A34939.CEMT_26.H3K4me3.hg38.A34939_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A34946.CEMT_27.H3K4me3.hg38.A34946_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A34953.CEMT_28.H3K4me3.hg38.A34953_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A34960.CEMT_29.H3K4me3.hg38.A34960_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A35237.CEMT_25.H3K4me3.hg38.A35237_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A35244.CEMT_30.H3K4me3.hg38.A35244_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A60644.CEMT_94.H3K4me3.hg38.bwa-sb.IX4412.C958UANXX_5_GATCAG.FindER2.bed.remDups.bed.intersect.value	CLL.A60651.CEMT_95.H3K4me3.hg38.bwa-sb.IX4412.C958UANXX_5_GATGCT.FindER2.bed.remDups.bed.intersect.value	CLL.A60658.CEMT_96.H3K4me3.hg38.A60658_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A60669.CEMT_97.H3K4me3.hg38.A60669_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	EGAN00001091882_EGAX00001135682_EGAR00001139772_NBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001091897_EGAX00001215957_EGAR00001228608_NBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001095818_EGAX00001128209_EGAR00001132156_NBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001095891_EGAX00001135680_EGAR00001139770_NBC_H3K4me3_SINGLE.MACS2NoInput.bed.intersect.value	EGAN00001107643_EGAX00001231897_EGAR00001245923_NBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001107668_EGAX00001215621_EGAR00001228080_NBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001173679_EGAX00001138967_EGAR00001143053_NBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001202786_EGAX00001323202_EGAR00001352518_CLL_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001202787_EGAX00001291853_EGAR00001320580_CLL_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001202788_EGAX00001323210_EGAR00001352510_CLL_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001202789_EGAX00001291851_EGAR00001320578_CLL_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001235813_EGAX00001323205_merged2runs_CLL_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001258588_EGAX00001291825_EGAR00001320549_csMBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265738_EGAX00001272592_merged2runs_PBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265740_EGAX00001272613_merged2runs_GCBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265741_EGAX00001272644_EGAR00001299991_NBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265743_EGAX00001272704_EGAR00001300108_NBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265744_EGAX00001272686_EGAR00001300079_NBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265747_EGAX00001272655_EGAR00001300002_NBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265748_EGAX00001272660_EGAR00001300007_PBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265749_EGAX00001272649_EGAR00001299996_GCBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265750_EGAX00001272584_EGAR00001300013_CLL_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001274157_EGAX00001419444_EGAR00001456638_MBC_H3K4me3_PAIRED.FindER2.bed.intersect.value	EGAN00001276797_EGAX00001304984_EGAR00001334467_GCBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001276798_EGAX00001304993_EGAR00001334418_NBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001277490_EGAX00001305087_EGAR00001334366_csMBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001277491_EGAX00001305084_EGAR00001334363_csMBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001277492_EGAX00001326449_EGAR00001355722_NBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001280969_EGAX00001419407_merged2runs_MBC_H3K4me3_PAIRED.FindER2.bed.intersect.value	EGAN00001295794_EGAX00001326425_EGAR00001355899_GCBC_H3K4me3_SINGLE.MACS2NoInput.bed.intersect.value	EGAN00001295795_EGAX00001326623_EGAR00001355769_PBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001295796_EGAX00001326617_EGAR00001355763_CLL_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001295801_EGAX00001326600_EGAR00001355772_NBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001295804_EGAX00001326426_merged2runs_NBC_H3K4me3_SINGLE.MACS2NoInput.bed.intersect.value	EGAN00001295815_EGAX00001326482_EGAR00001355809_usMBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	GCBC.A68887.CEMT_129.H3K4me3.hg38.bwa-sb.IX5130.CAVYBANXX_8_AGGCCG.FindER2.bed.remDups.bed.intersect.value	GCBC.A70849.CEMT_134.H3K4me3.hg38.A70849_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	GCBC.A70856.CEMT_135.H3K4me3_1_lane_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	GCBC.A70863.CEMT_136.H3K4me3.125nt.hg38.FindER2.bed.remDups.bed.intersect.value	GCBC.A70870.CEMT_137.H3K4me3.125nt.hg38.FindER2.bed.remDups.bed.intersect.value	GCBC.A70877.CEMT_138.H3K4me3_1_lane_dupsFlagged.FindER2.bed.remDups.bed.intersect.value
chr1_26225250_26225850	600	225	600	450	0	450	0	300	0	600	600	600	600	600	600	600	0	600	600	525	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	585	600	600	600	600	600	600	600	600	600	600	600
chr1_31772650_31772950	300	300	300	200	0	300	0	300	300	275	300	300	300	300	300	300	0	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	87	300	300	300	300	300	300	300	300	300	300	300
chr1_37034100_37035300	825	1200	1200	300	0	1200	0	1200	1200	1200	1200	1200	1200	1200	1200	1200	0	1200	750	0	1200	1200	1200	1200	1200	1200	525	0	1050	1200	1200	1200	975	825	1200	1200	1200	1200	1200	1200	975	1200	0	1200	1200	1200	0	1200	375	0	0	0	0	0
chr1_40344650_40345000	250	350	350	325	0	350	0	350	350	350	0	0	350	0	350	250	0	350	0	350	350	350	0	350	350	350	350	175	350	350	350	350	350	350	300	350	350	350	350	350	350	350	0	350	350	350	200	350	350	350	350	350	350	350
chr1_157505550_157505950	375	400	400	100	0	400	0	400	400	400	375	400	0	0	0	0	0	0	0	0	400	400	0	400	400	400	400	400	0	0	400	0	400	400	0	400	400	0	400	400	0	400	0	400	400	0	0	400	400	400	400	400	400	400
chr1_157776300_157777300	1000	1000	1000	1000	0	1000	0	1000	1000	1000	1000	1000	1000	75	1000	0	0	1000	0	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	975	1000	1000	1000	1000	1000	1000	1000	0	1000	1000	1000	603	1000	1000	1000	1000	1000	1000	1000
chr10_80144000_80144500	400	500	500	500	0	500	0	500	500	500	500	500	500	500	500	475	0	500	500	500	500	500	500	500	500	500	500	25	500	500	500	500	500	500	475	500	500	500	500	500	500	500	0	500	500	500	485	500	500	500	500	500	500	500
chr11_44609000_44609300	300	300	300	0	0	300	0	300	300	300	0	0	200	0	300	300	0	300	300	300	300	300	0	300	300	300	300	300	300	300	300	300	300	300	0	300	300	300	300	300	300	300	0	300	300	300	0	300	300	300	300	300	300	300
chr11_64871800_64872150	350	350	350	0	0	350	0	350	350	275	0	200	350	50	350	0	0	350	0	0	0	350	0	350	350	350	350	275	350	350	350	350	350	350	350	350	350	350	350	350	275	350	0	350	350	350	0	350	350	350	350	350	350	350
chr11_84437300_84437850	0	550	550	550	0	0	0	375	0	550	550	375	550	0	550	0	0	550	375	0	550	550	0	550	550	550	550	0	0	0	550	150	550	400	550	550	325	0	550	450	0	550	0	550	550	550	0	550	550	0	0	0	550	0
chr11_84719750_84721600	0	1850	1850	1850	0	1575	0	1800	1850	1850	1825	1850	1650	1750	1850	1725	482	1750	1650	1200	1850	1850	0	1850	1850	1825	1500	1050	1750	1750	1850	1675	1600	1575	1850	1850	1350	1725	1675	1425	1850	1825	0	1275	1850	1750	1056	1750	1525	1050	600	1125	1500	0
chr11_85810050_85810350	300	300	300	300	0	300	0	300	300	300	225	300	300	150	300	150	0	300	225	150	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	52	300	300	300	0	300	300	300	300	300	300	300
chr11_122717200_122717500	300	300	300	300	0	300	0	300	300	0	0	300	200	0	300	300	0	300	0	0	300	300	0	300	300	300	0	0	300	300	300	300	300	300	300	300	300	300	250	0	300	300	0	0	300	300	0	300	300	300	300	300	300	300
chr12_31884600_31885450	850	850	850	850	0	850	0	850	850	850	550	850	775	100	850	850	0	850	700	325	850	850	100	850	850	850	0	0	850	850	850	850	475	700	100	850	0	850	850	550	850	850	0	0	850	850	0	850	25	175	0	325	0	250
chr12_42468450_42468750	300	300	300	300	0	300	225	300	300	300	300	300	300	300	300	300	0	300	300	300	300	300	300	300	300	300	300	0	300	300	300	300	300	300	300	300	300	300	300	300	300	300	0	300	300	300	0	300	300	300	300	300	300	300
chr12_62190950_62191550	600	425	600	600	0	600	0	600	475	600	575	600	600	600	600	600	378	600	600	600	600	600	600	600	575	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	405	600	600	600	600	600	600	600	600	600	600	600
chr12_67989400_67989900	275	500	500	500	0	125	200	0	500	500	500	500	500	425	500	500	0	500	500	500	500	500	0	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	308	500	500	500	427	500	500	500	500	500	500	500
chr13_111186000_111186300	300	300	300	0	0	300	0	300	0	225	300	300	300	300	300	300	0	300	300	300	300	300	0	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	0	300	300	300	0	300	300	300	300	300	300	300
chr14_91350900_91351300	400	400	400	400	0	400	400	400	400	400	0	400	400	0	400	325	0	400	325	0	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	0	400	400	400	400	400	400	400	400	400	400	400
chr14_91873650_91873950	300	300	225	0	0	300	0	300	0	0	300	225	300	150	300	300	0	300	300	0	300	300	0	300	300	300	300	75	300	300	300	300	225	300	300	300	300	300	300	300	300	300	0	225	300	300	0	300	300	300	300	300	300	300
chr14_95665500_95666250	750	750	750	750	0	750	0	750	750	750	750	750	750	750	750	750	0	750	750	750	750	750	750	750	750	0	525	300	750	750	750	750	750	750	750	375	750	750	0	375	750	750	0	675	750	750	161	0	750	750	750	750	750	750
chr14_105853450_105853900	450	450	275	0	0	450	0	450	450	450	450	0	450	0	450	50	0	450	325	0	450	450	0	450	0	0	0	0	450	450	450	450	0	0	425	450	0	450	0	0	450	450	0	0	450	450	0	450	0	0	0	0	0	0
chr14_105858900_105859350	450	450	450	450	0	450	0	450	450	450	450	450	450	450	450	450	313	450	450	450	450	450	450	450	450	450	450	150	450	450	450	450	450	450	450	450	450	450	450	450	450	450	0	450	450	450	450	450	450	450	450	450	450	450
chr15_31361650_31361950	300	300	300	0	0	300	0	300	275	0	300	50	200	300	300	0	0	300	300	300	300	300	0	300	300	300	300	50	300	300	300	300	300	300	300	300	300	300	300	300	300	300	0	300	300	300	0	300	300	300	300	300	300	300
chr15_52222650_52222950	300	300	300	300	0	300	0	300	300	300	300	300	225	0	300	300	0	150	225	0	300	300	75	300	300	300	0	225	300	300	300	300	0	300	225	300	300	150	300	300	225	300	0	0	300	300	0	300	300	300	225	300	300	300
chr16_21116400_21116700	300	300	300	300	0	150	0	300	0	0	300	300	300	0	225	0	0	300	0	225	300	300	0	300	300	300	300	300	300	300	300	0	300	300	300	300	300	300	300	300	300	300	288	300	300	300	101	300	300	300	300	300	300	300
