# GREAT version 4.0.4	Species assembly: hg38	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
A2ML1	unnamed (+5803), unnamed (+8528)
A3GALT2	unnamed (-33902), unnamed (-14677), unnamed (-11127), unnamed (+5123)
A4GALT	unnamed (-56564), unnamed (+3961)
AACS	unnamed (+33496), unnamed (+78871), unnamed (+88246)
AAED1	unnamed (-28194), unnamed (-11544), unnamed (+7656), unnamed (+9356), unnamed (+29231)
AAK1	unnamed (+27217), unnamed (+135817), unnamed (+151517), unnamed (+152267), unnamed (+190542)
AASDH	unnamed (+114250), unnamed (+116525), unnamed (+117250), unnamed (+128050), unnamed (+128875), unnamed (+144500), unnamed (+146650)
AATF	unnamed (+335575)
AATK-AS1	unnamed (-114757), unnamed (-70232), unnamed (-69532), unnamed (-12557), unnamed (-11382)
ABAT	unnamed (-25969), unnamed (+14481)
ABCA1	unnamed (-54288), unnamed (+23462), unnamed (+28262), unnamed (+66037)
ABCA12	unnamed (+234853)
ABCA2	unnamed (+22315)
ABCA6	unnamed (+20399), unnamed (+37049), unnamed (+41949), unnamed (+43324), unnamed (+44574), unnamed (+46874)
ABCA7	unnamed (-8128), unnamed (+12997)
ABCA8	unnamed (-17784), unnamed (-13884), unnamed (+167841), unnamed (+169241), unnamed (+176516), unnamed (+177816)
ABCA9	unnamed (-60411), unnamed (-43761), unnamed (-38861), unnamed (-37486), unnamed (-36236), unnamed (-33936), unnamed (-2561), unnamed (+88039), unnamed (+91939)
ABCB10	unnamed (-38805), unnamed (-14630), unnamed (-13380), unnamed (+4895), unnamed (+7370), unnamed (+15770), unnamed (+32770)
ABCB4	unnamed (+9964)
ABCB9	unnamed (-123526), unnamed (-121426), unnamed (-120351), unnamed (-119201), unnamed (-115926), unnamed (-113476), unnamed (-112651), unnamed (-111176), unnamed (-97351), unnamed (-91176), unnamed (-87726), unnamed (-85626), unnamed (-74526), unnamed (-68401), unnamed (-66776), unnamed (-63676), unnamed (-61351), unnamed (-59826), unnamed (-40001), unnamed (-11126)
ABCC1	unnamed (+4123), unnamed (+5473), unnamed (+6923), unnamed (+9748), unnamed (+16273), unnamed (+19073), unnamed (+23648), unnamed (+25523), unnamed (+26848), unnamed (+42573), unnamed (+77223), unnamed (+176298), unnamed (+198973), unnamed (+201998)
ABCC2	unnamed (-16007), unnamed (+91693), unnamed (+127618), unnamed (+139693), unnamed (+144243), unnamed (+146643), unnamed (+148318), unnamed (+154418), unnamed (+157968), unnamed (+158593), unnamed (+163393), unnamed (+166168), unnamed (+189543), unnamed (+203318), unnamed (+204643), unnamed (+207518), unnamed (+209118), unnamed (+209718), unnamed (+213693), unnamed (+215193), unnamed (+218718), unnamed (+220593)
ABCC3	unnamed (+61468)
ABCC4	unnamed (-19421), unnamed (+2529), unnamed (+23229)
ABCC5	unnamed (+32865), unnamed (+64265)
ABCC6	unnamed (+71889), unnamed (+74914), unnamed (+97589), unnamed (+196664), unnamed (+231314), unnamed (+247039), unnamed (+248364), unnamed (+250239), unnamed (+254814), unnamed (+257614), unnamed (+264139), unnamed (+266964), unnamed (+268414), unnamed (+269764)
ABCC8	unnamed (-28055), unnamed (+39345), unnamed (+74520), unnamed (+78245), unnamed (+80645)
ABCD2	unnamed (-3424), unnamed (+151476), unnamed (+152601)
ABCG1	unnamed (-137893), unnamed (-117993), unnamed (-69118), unnamed (-41593), unnamed (-17668), unnamed (-16593), unnamed (-1643), unnamed (+21157), unnamed (+22282), unnamed (+25932), unnamed (+33232)
ABCG4	unnamed (+6363)
ABHD11	unnamed (-28108)
ABHD12	unnamed (+49233)
ABHD16B	unnamed (-11123), unnamed (-9798)
ABHD17A	unnamed (-13567)
ABHD17B	unnamed (+95056)
ABHD17C	unnamed (-251153), unnamed (-188178), unnamed (-185378), unnamed (+9722)
