A.TSS2k	H3K27me3	end	NESG.intersect.value	CLL.A34022.CEMT_4.H3K27me3.hg38.bwa-sb.IX2655.C3YJAACXX_4_AAGCGA.FindER2.bed.remDups.bed.intersect.value	CLL.A34038.CEMT_5.H3K27me3.hg38.bwa-sb.IX2843.C3RULACXX_1_ACCCAG.FindER2.bed.remDups.bed.intersect.value	CLL.A34077.CEMT_6.H3K27me3.hg38.bwa-sb.IX2843.C3RULACXX_1_TGAATG.FindER2.bed.remDups.bed.intersect.value	CLL.A34941.CEMT_26.H3K27me3.hg38.bwa-sb.IX2650.C3THCACXX_4_AAGCGA.FindER2.bed.remDups.bed.intersect.value	CLL.A34948.CEMT_27.H3K27me3.hg38.bwa-sb.IX2655.C3YJAACXX_4_ACCCAG.FindER2.bed.remDups.bed.intersect.value	CLL.A34955.CEMT_28.H3K27me3.hg38.bwa-sb.IX2655.C3YJAACXX_4_TGAATG.FindER2.bed.remDups.bed.intersect.value	CLL.A34962.CEMT_29.H3K27me3.hg38.bwa-sb.IX2655.C3YJAACXX_4_CAACTA.FindER2.bed.remDups.bed.intersect.value	CLL.A35239.CEMT_25.H3K27me3.hg38.bwa-sb.IX2650.C3THCACXX_4_CTCAGA.FindER2.bed.remDups.bed.intersect.value	CLL.A35246.CEMT_30.H3K27me3.hg38.bwa-sb.IX2655.C3YJAACXX_4_TTAGGC.FindER2.bed.remDups.bed.intersect.value	CLL.A60646.CEMT_94.H3K27me3.hg38.bwa-sb.IX4416.C9587ANXX_1_ACCCAG.FindER2.bed.remDups.bed.intersect.value	CLL.A60653.CEMT_95.H3K27me3.hg38.bwa-sb.IX4416.C9587ANXX_1_TGAATG.FindER2.bed.remDups.bed.intersect.value	CLL.A60660.CEMT_96.H3K27me3.hg38.bwa-sb.IX4416.C9587ANXX_1_CAACTA.FindER2.bed.remDups.bed.intersect.value	CLL.A60667.CEMT_97.H3K27me3.hg38.bwa-sb.IX4419.C9587ANXX_4_TTAGGC.FindER2.bed.remDups.bed.intersect.value	EGAN00001202786_EGAX00001231898_EGAR00001245924_CLL_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001202787_EGAX00001272597_EGAR00001300138_CLL_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001202788_EGAX00001272594_EGAR00001300135_CLL_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001202789_EGAX00001231899_EGAR00001245925_CLL_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001235813_EGAX00001234408_EGAR00001248463_CLL_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265750_EGAX00001272586_EGAR00001300133_CLL_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001295796_EGAX00001364335_EGAR00001401453_CLL_H3K27me3_SINGLE.FindER2.bed.intersect.value
chr10	46335224	46339224	ENSG00000279058	300	0	1201	0	901	300	0	0	750	0	525	0	600	0	0	0	375	0	0	0
chr1	24141121	24145121	ENSG00000142677	3925	3550	4000	3446	4000	4000	3071	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	3400	4000	4000
chr1	32392731	32396731	ENSG00000160058	0	181	594	825	0	0	1006	31	181	0	256	256	0	0	0	31	0	106	0	0
chr17	6442415	6446415	ENSG00000129195	525	985	525	3775	990	4000	985	4000	4000	0	600	4000	1650	3550	2635	0	4000	2200	375	4000
chr6	83065666	83069666	ENSG00000083097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0
chr10	13300412	13304412	ENSG00000107537	237	675	0	375	1512	0	0	1062	0	0	0	0	0	12	0	0	0	0	0	0
chr8	118109853	118113853	ENSG00000182197	1675	2200	1122	1797	1825	2425	2500	2275	2350	2275	1797	1347	1122	2472	2397	1600	2275	2350	2800	2847
chr3	100259000	100263000	ENSG00000036054	0	0	0	450	175	0	0	0	375	300	0	0	0	0	0	0	0	0	0	0
chr11	65115708	65119708	ENSG00000174276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr12	6968921	6972921	ENSG00000268439	0	0	0	0	171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr13	20523857	20527857	ENSG00000165475	1407	2500	282	900	2950	0	1182	1857	1107	2007	1032	582	207	793	1782	2382	1050	282	1782	0
chr20	3069620	3073620	ENSG00000101405	4000	1300	4000	4000	2350	4000	4000	4000	4000	3100	0	3700	2745	1425	3025	3195	4000	4000	4000	3625
chr17	75085727	75089727	ENSG00000170190	627	73	0	177	925	373	148	0	0	0	0	0	0	525	0	0	0	0	0	0
chr5	181203293	181207293	ENSG00000146054	2407	1582	1725	675	2407	0	3232	2632	2032	3307	3457	2782	757	3307	3457	3082	1575	1500	3907	1950
chr11	77635805	77639805	ENSG00000074201	1380	1530	780	1005	1750	1230	1005	1305	1230	1530	780	630	705	1005	1455	375	480	330	1605	855
chr20	55406898	55410898	ENSG00000235166	2098	2548	1650	1723	2625	2023	375	1573	1500	1800	1050	3748	1677	2325	1275	0	2025	2475	375	1723
chr2	88689644	88693644	ENSG00000153574	0	0	256	0	0	0	0	0	0	450	0	0	0	450	0	0	0	0	219	0
chr8	143706109	143710109	ENSG00000255181	1900	1334	2050	1825	2275	1409	2234	2950	3025	4000	3284	3659	4000	3884	4000	3941	4000	3509	3925	4000
chr15	80250213	80254213	ENSG00000259417	3238	3075	3000	3013	2938	2925	3388	3163	3238	0	3837	4000	3912	4000	4000	4000	4000	4000	4000	4000
chr19	11963037	11967037	ENSG00000197054	0	375	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
