A.intersect.value	CLL.A34023.CEMT_4.H3K36me3.hg38.bwa-sb.IX2824.C3YJAACXX_6_ACTCTC.FindER2.bed.remDups.bed.intersect.value	CLL.A34039.CEMT_5.H3K36me3.hg38.bwa-sb.IX2845.C4C9JACXX_3_AGCGCT.FindER2.bed.remDups.bed.intersect.value	CLL.A34078.CEMT_6.H3K36me3.hg38.bwa-sb.IX2845.C4C9JACXX_3_AGTTCC.FindER2.bed.remDups.bed.intersect.value	CLL.A34942.CEMT_26.H3K36me3.hg38.bwa-sb.IX2652.C3TC1ACXX_2_ACTCTC.FindER2.bed.remDups.bed.intersect.value	CLL.A34949.CEMT_27.H3K36me3.hg38.bwa-sb.IX2824.C3YJAACXX_6_AGCGCT.FindER2.bed.remDups.bed.intersect.value	CLL.A34956.CEMT_28.H3K36me3.hg38.bwa-sb.IX2824.C3YJAACXX_6_AGTTCC.FindER2.bed.remDups.bed.intersect.value	CLL.A34963.CEMT_29.H3K36me3.hg38.bwa-sb.IX2824.C3YJAACXX_6_CCACGC.FindER2.bed.remDups.bed.intersect.value	CLL.A35240.CEMT_25.H3K36me3.hg38.bwa-sb.IX2652.C3TC1ACXX_2_GCACTT.FindER2.bed.remDups.bed.intersect.value	CLL.A35247.CEMT_30.H3K36me3.hg38.bwa-sb.IX2824.C3YJAACXX_6_GGCTAC.FindER2.bed.remDups.bed.intersect.value	CLL.A60647.CEMT_94.H3K36me3.hg38.bwa-sb.IX4417.C9587ANXX_2_AGCGCT.FindER2.bed.remDups.bed.intersect.value	CLL.A60654.CEMT_95.H3K36me3.hg38.bwa-sb.IX4417.C9587ANXX_2_AGTTCC.FindER2.bed.remDups.bed.intersect.value	CLL.A60661.CEMT_96.H3K36me3.hg38.bwa-sb.IX4417.C9587ANXX_2_CCACGC.FindER2.bed.remDups.bed.intersect.value	CLL.A60666.CEMT_97.H3K36me3.hg38.bwa-sb.IX4419.C9587ANXX_4_ATGTCA.FindER2.bed.remDups.bed.intersect.value	EGAN00001091882_EGAX00001135678_EGAR00001139764_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001091897_EGAX00001135685_EGAR00001139767_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001095818_EGAX00001133241_EGAR00001137327_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001107643_EGAX00001215952_EGAR00001228603_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001107668_EGAX00001171934_EGAR00001185148_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001173679_EGAX00001133248_EGAR00001137335_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001202786_EGAX00001323204_EGAR00001352516_CLL_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001202787_EGAX00001291868_EGAR00001320595_CLL_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001202788_EGAX00001323211_EGAR00001352511_CLL_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001202789_EGAX00001291885_EGAR00001320546_CLL_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001235813_EGAX00001323208_EGAR00001352512_CLL_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001258588_EGAX00001326464_EGAR00001355737_csMBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265738_EGAX00001272587_EGAR00001300134_PBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265740_EGAX00001272615_EGAR00001300042_GCBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265741_EGAX00001272623_EGAR00001300050_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265742_EGAX00001272638_EGAR00001300127_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265743_EGAX00001272667_merged3runs_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265744_EGAX00001272688_EGAR00001300081_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265747_EGAX00001272657_EGAR00001300004_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265748_EGAX00001272663_EGAR00001300010_PBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265749_EGAX00001272652_EGAR00001299999_GCBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265750_EGAX00001272583_EGAR00001300071_CLL_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001276797_EGAX00001304986_EGAR00001334469_GCBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001276798_EGAX00001304994_EGAR00001334419_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001277490_EGAX00001326453_EGAR00001355726_csMBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001277491_EGAX00001305063_EGAR00001334390_csMBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001277492_EGAX00001305082_EGAR00001334361_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001295795_EGAX00001326624_EGAR00001355770_PBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001295796_EGAX00001326575_EGAR00001355825_CLL_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001295801_EGAX00001326601_EGAR00001355747_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001295815_EGAX00001326483_EGAR00001355810_usMBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	GCBC.A68890.CEMT_129.H3K36me3.hg38.bwa-sb.IX5127.CAVYBANXX_5_ATCCTA.FindER2.bed.remDups.bed.intersect.value	GCBC.A70852.CEMT_134.H3K36me3.hg38.IX5208.CAVPBANXX_1_ACAGTG.FindER2.bed.remDups.bed.intersect.value	GCBC.A70859.CEMT_135.H3K36me3.hg38.A70859_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	GCBC.A70866.CEMT_136.H3K36me3.hg38.IX5211.CAVPBANXX_4_ACTGAT.FindER2.bed.remDups.bed.intersect.value	GCBC.A70873.CEMT_137.H3K36me3.hg38.IX5212.CAVPBANXX_5_ATCCTA.FindER2.bed.remDups.bed.intersect.value	GCBC.A70880.CEMT_138.H3K36me3.hg38.IX5214.CAVPBANXX_7_CACTCA.FindER2.bed.remDups.bed.intersect.value
chr1_3652600_3652950	0	0	0	0	0	0	0	0	0	125	0	0	0	0	0	275	0	0	0	0	125	350	350	0	0	350	0	0	0	0	0	0	350	350	0	275	0	0	0	0	350	0	0	0	0	0	0	0	0	0
chr1_3676500_3677050	0	0	0	0	0	0	0	0	0	300	0	0	0	0	0	0	0	0	0	175	0	0	0	0	0	550	0	0	0	0	0	0	525	0	0	550	0	0	0	0	525	0	0	0	0	0	0	0	0	0
chr1_3680900_3681300	0	0	0	0	0	0	0	0	0	0	0	400	0	0	0	0	0	0	0	0	375	400	400	0	0	375	150	0	0	0	0	0	400	400	0	400	0	0	0	0	375	0	0	0	0	0	0	0	0	0
chr1_3692400_3693000	600	0	600	0	0	0	0	0	300	600	600	600	0	0	525	0	0	0	0	0	450	600	600	0	0	600	0	0	0	0	0	0	600	0	0	600	0	0	0	0	600	375	525	0	0	0	0	0	0	0
chr1_3696300_3697050	150	0	600	0	0	0	0	0	0	0	0	750	0	0	0	0	0	0	0	0	0	0	750	0	0	750	0	0	0	0	0	0	750	750	0	750	0	0	0	0	750	0	0	0	0	0	0	0	0	0
chr1_3698300_3699350	350	0	650	0	0	0	0	0	0	925	400	1050	0	0	0	0	0	400	0	0	925	600	1050	700	0	1050	0	0	0	0	0	600	1050	0	0	1050	0	0	0	0	1025	1050	0	0	0	0	0	0	0	0
chr1_3702400_3702850	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	450	0	0	0	0	125	450	450	0	0	450	0	0	0	0	0	0	450	125	0	175	0	0	0	0	425	200	0	0	0	0	0	0	0	0
chr1_3705900_3706550	0	0	0	0	0	0	0	0	0	225	0	650	0	0	0	0	0	450	0	0	150	0	650	0	0	650	0	0	0	0	0	300	650	650	0	650	0	0	0	0	650	0	0	0	0	0	0	0	0	0
chr1_3713950_3714350	400	200	400	0	0	0	0	0	275	0	0	400	0	0	0	0	0	0	0	200	400	0	400	275	0	400	0	0	0	0	0	0	400	0	0	400	0	0	0	0	400	0	0	0	0	0	0	0	0	0
chr1_3714550_3715050	0	0	0	0	0	0	0	0	0	0	0	500	0	0	0	0	0	0	0	0	500	0	500	0	0	500	0	0	0	0	0	0	500	0	0	0	0	0	425	0	500	0	0	0	0	0	0	0	0	0
chr1_3715250_3716400	0	0	0	0	0	0	0	0	0	975	450	1150	0	0	0	450	0	0	0	0	450	675	1150	0	0	1150	0	0	0	0	0	0	1150	0	0	375	0	0	0	0	1125	0	0	0	0	0	0	0	0	0
chr1_4031850_4032150	0	0	0	225	0	0	0	0	0	0	0	0	0	300	0	0	0	0	0	0	0	0	0	0	0	300	300	0	0	0	0	0	300	300	0	300	0	0	0	0	300	0	0	0	300	300	300	300	300	300
chr1_4033300_4034850	0	0	0	600	0	0	0	0	0	0	0	0	0	0	0	350	300	1175	0	350	0	0	0	0	0	1550	1550	0	0	0	0	0	1550	1325	375	1550	0	0	0	0	1550	0	50	0	75	0	0	125	0	0
chr1_4053050_4056150	0	0	0	0	0	0	0	0	0	600	675	0	0	750	0	600	0	525	0	0	0	300	0	0	0	3075	375	0	0	0	0	0	3100	0	450	3075	625	0	0	0	3100	0	0	0	300	0	225	300	75	75
chr1_4056450_4057350	0	0	0	0	0	0	0	0	0	600	0	0	450	0	0	0	0	0	0	0	0	0	0	0	0	900	0	0	0	0	0	0	900	525	0	900	0	0	0	0	900	0	0	0	750	150	300	225	675	450
chr1_4058900_4059400	0	0	0	0	0	0	0	0	0	325	0	0	0	0	0	475	0	0	0	0	0	0	0	0	0	500	0	0	0	0	0	0	475	0	0	0	0	0	0	0	475	0	0	0	0	0	0	0	0	0
chr1_5991600_5992050	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	450	0	0	75	0	375	0	0	450	0	0	0	0	75	300	450	0	225	450	0	0	450	0	450	450	0	300	0	0	0	0	0	0
chr1_6454950_6455500	0	0	0	0	0	0	0	0	0	550	0	0	0	475	0	0	0	0	0	0	0	0	0	0	0	550	0	0	0	0	0	0	550	0	0	0	300	0	0	0	525	25	0	0	0	0	0	0	0	0
chr1_7680300_7680700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	300	175	0	0	0	0	0	0	0	0	400	0	0	0	0	0	400	375	0	0	0	0	0	375	0	400	0	0	375	0	0	0	0	0	0
chr1_9376050_9376350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	300	0	300	0	0	0	300	300	0	0	0	300	0	0	0	300	0	225	0	0	0	0	0	0	0
chr1_9401750_9402100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	325	0	350	0	0	0	0	0	0	350	350	0	0	0	0	0	0	300	0	0	0	0	0	0	0	0	0
chr1_9403800_9404950	0	0	0	300	0	225	0	0	0	525	250	0	300	0	0	0	0	0	0	175	0	625	0	0	0	1150	1150	0	0	0	0	0	1150	1150	0	1150	0	0	0	0	1125	0	0	0	300	0	0	0	0	0
chr1_9410600_9411250	175	325	0	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	375	0	0	0	625	650	0	0	0	0	325	650	650	0	650	0	0	0	0	625	0	375	0	650	325	250	0	650	400
chr1_9417150_9417600	0	0	0	0	0	0	0	0	0	300	225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	450	0	0	0	0	0	0	450	0	0	0	0	0	0	0	450	0	0	0	0	0	0	0	0	0
chr1_15584550_15585000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	375	0	0	0	300	450	0	0	0	0	0	150	450	0	0	450	0	0	0	0	450	0	0	450	0	0	0	0	0	0
chr1_16913850_16914000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	75	0	0	0	150	0	150	0	0	150	0	0	0	0	0	75	150	150	150	0	0	0	150	0	150	150	0	150	0	0	0	0	0	0
chr1_21855350_21855750	0	0	300	0	0	0	0	0	0	400	400	0	400	75	0	0	300	0	0	0	25	0	0	0	0	400	0	0	0	0	0	0	400	0	0	0	0	0	0	0	375	400	0	0	0	0	0	0	0	0
chr1_23430000_23430300	0	0	0	0	0	0	0	0	0	300	75	0	0	150	0	0	0	0	0	0	0	0	0	0	0	300	300	0	0	0	0	75	300	300	150	300	0	0	0	0	300	0	0	0	300	0	0	150	300	75
