A.intersect.value	CLL.A34019.CEMT_4.H3K4me1.hg38.A34019_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A34035.CEMT_5.H3K4me1.hg38.A34035_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A34074.CEMT_6.H3K4me1.hg38.A34074_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A34938.CEMT_26.H3K4me1.hg38.A34938_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A34945.CEMT_27.H3K4me1.hg38.A34945_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A34952.CEMT_28.H3K4me1.hg38.A34952_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A34959.CEMT_29.H3K4me1.hg38.A34959_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A35236.CEMT_25.H3K4me1.hg38.A35236_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A35243.CEMT_30.H3K4me1.hg38.A35243_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A60643.CEMT_94.H3K4me1.hg38.bwa-sb.IX4413.C958UANXX_6_ATCACG.FindER2.bed.remDups.bed.intersect.value	CLL.A60650.CEMT_95.H3K4me1.hg38.bwa-sb.IX4414.C958UANXX_7_CTAGCT.FindER2.bed.remDups.bed.intersect.value	CLL.A60657.CEMT_96.H3K4me1.hg38.bwa-sb.IX4414.C958UANXX_7_AACTTG.FindER2.bed.remDups.bed.intersect.value	CLL.A60670.CEMT_97.H3K4me1.hg38.bwa-sb.IX4412.C958UANXX_5_ACGATA.FindER2.bed.remDups.bed.intersect.value	EGAN00001091897_EGAX00001135686_EGAR00001139768_NBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001095818_EGAX00001133242_EGAR00001137328_NBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001107643_EGAX00001215953_EGAR00001228604_NBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001107668_EGAX00001215622_EGAR00001228081_NBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001173679_EGAX00001133247_EGAR00001137334_NBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001202786_EGAX00001272679_merged2runs_CLL_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001202787_EGAX00001231900_EGAR00001245926_CLL_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001202788_EGAX00001215636_EGAR00001228045_CLL_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001202789_EGAX00001272596_EGAR00001300137_CLL_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001235813_EGAX00001234407_EGAR00001248465_CLL_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001258588_EGAX00001291824_EGAR00001320548_csMBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001265738_EGAX00001272600_EGAR00001300131_PBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001265740_EGAX00001272621_EGAR00001300048_GCBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001265741_EGAX00001272624_EGAR00001300051_NBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001265742_EGAX00001272707_EGAR00001300114_NBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001265743_EGAX00001272668_merged3runs_NBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001265744_EGAX00001364257_EGAR00001401411_NBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001265747_EGAX00001272656_EGAR00001300003_NBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001265748_EGAX00001272661_EGAR00001300008_PBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001265749_EGAX00001272650_EGAR00001299997_GCBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001274157_EGAX00001419429_EGAR00001456616_MBC_H3K4me1_PAIRED.FindER2.bed.intersect.value	EGAN00001276795_EGAX00001304981_EGAR00001334464_NBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001276796_EGAX00001304983_EGAR00001334466_PBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001276797_EGAX00001305005_EGAR00001334422_GCBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001277490_EGAX00001326452_EGAR00001355725_csMBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001277491_EGAX00001305085_EGAR00001334364_csMBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001277492_EGAX00001305061_EGAR00001334388_NBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001295796_EGAX00001326574_EGAR00001355824_CLL_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001295815_EGAX00001326490_EGAR00001355777_usMBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001358538_EGAX00001371128_EGAR00001408501_CLL_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001358558_EGAX00001371127_EGAR00001408500_CLL_H3K4me1_SINGLE.FindER2.bed.intersect.value	GCBC.A68886.CEMT_129.H3K4me1.hg38.bwa-sb.IX5126.CAVYBANXX_4_AGCGCT.FindER2.bed.remDups.bed.intersect.value	GCBC.A70848.CEMT_134.H3K4me1.hg38.IX5208.CAVPBANXX_1_ATCACG.FindER2.bed.remDups.bed.intersect.value	GCBC.A70855.CEMT_135.H3K4me1.hg38.IX5209.CAVPBANXX_2_GATCAG.FindER2.bed.remDups.bed.intersect.value	GCBC.A70862.CEMT_136.H3K4me1.hg38.IX5210.CAVPBANXX_3_ACCCAG.FindER2.bed.remDups.bed.intersect.value	GCBC.A70869.CEMT_137.H3K4me1.hg38.IX5211.CAVPBANXX_4_AGCGCT.FindER2.bed.remDups.bed.intersect.value	GCBC.A70876.CEMT_138.H3K4me1.hg38.IX5213.CAVPBANXX_6_CAAAAG.FindER2.bed.remDups.bed.intersect.value
chr1_931400_932250	0	0	375	0	0	0	0	0	0	850	175	0	0	525	0	375	25	0	0	0	75	0	0	825	0	0	0	0	0	0	0	0	0	850	0	450	0	0	850	0	0	825	0	0	0	0	0	0	0	0
chr1_1090950_1091850	0	0	0	0	0	0	0	0	0	750	0	0	900	0	0	0	825	0	675	0	0	450	0	900	0	0	0	0	0	0	0	0	0	900	0	0	0	0	900	0	0	900	0	0	0	0	0	0	0	0
chr1_1126550_1126850	125	0	0	0	0	0	275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	300	0	0	0	0	0	0	0	0	0	300	0	0	0	0	275	0	0	275	0	0	0	0	0	0	0	0
chr1_1167250_1167900	0	0	0	0	0	0	0	0	0	650	0	300	650	650	0	500	650	0	275	300	575	0	0	650	0	0	0	200	650	650	650	0	575	650	650	0	0	650	650	650	650	650	0	125	0	0	0	0	0	0
chr1_1437800_1438050	0	0	0	0	0	0	0	0	0	25	0	0	0	75	0	0	0	0	0	0	0	250	0	225	0	0	0	0	0	0	0	150	75	250	100	150	0	0	250	0	250	250	0	100	0	0	0	0	0	0
chr1_1438650_1438950	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225	0	0	75	0	0	0	300	0	0	0	0	0	0	0	225	225	300	225	225	0	0	300	0	300	300	0	150	0	0	0	0	0	0
chr1_1942250_1942550	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	125	0	0	0	0	0	0	275	0	0	0	0	0	0	0	0	0	125	0	0	125	0	275	0	0	275	0	0	0	0	0	0	0	0
chr1_18491850_18492100	0	0	0	0	0	0	0	0	0	0	0	0	250	0	0	0	250	0	0	0	0	250	0	225	0	0	0	0	0	0	0	0	0	250	0	0	0	0	250	0	0	250	0	0	0	75	0	75	0	75
chr1_20290950_20291300	0	0	0	0	0	0	0	0	0	50	0	0	350	0	0	0	0	0	0	0	150	0	0	350	0	0	0	0	0	0	0	0	0	350	0	0	0	0	350	125	0	350	0	75	0	0	0	0	0	0
chr1_20360350_20360800	0	0	275	0	0	0	350	0	0	0	0	0	125	0	0	0	0	0	0	0	0	0	0	450	0	0	0	0	0	275	0	0	0	425	0	0	0	0	275	0	0	450	350	0	0	0	0	0	0	0
chr1_20379500_20379800	0	0	0	0	0	0	300	0	0	0	0	0	0	0	0	0	200	0	0	0	0	0	0	275	0	0	0	0	0	0	0	0	125	275	0	0	0	0	125	0	0	300	200	0	0	0	0	0	0	0
chr1_20400750_20401800	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	0	0	0	0	0	525	0	0	1050	0	375	0	0	0	0	0	0	75	1050	0	0	0	0	1050	0	0	1050	525	0	0	0	0	0	0	0
chr1_20413800_20414100	0	0	0	0	0	0	0	0	0	0	0	0	0	300	0	0	0	0	0	0	0	0	0	300	0	0	0	0	0	0	0	0	0	300	0	0	0	0	300	0	0	300	0	0	0	0	0	0	0	0
chr1_20426550_20426900	0	0	0	0	0	200	350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350	0	0	0	0	0	0	0	200	0	350	0	0	0	0	300	0	0	350	0	0	0	150	0	0	0	0
chr1_20427150_20427450	300	0	0	0	0	225	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	300	0	0	0	0	0	0	0	0	0	300	0	300	0	0	0	0	0	300	0	0	0	0	0	0	0	0
chr1_20428500_20431150	0	0	0	0	0	0	0	0	0	0	300	0	0	0	0	0	400	0	0	0	0	675	0	2650	0	0	0	0	300	600	0	600	0	2650	0	0	0	0	1125	0	375	2650	325	0	0	0	0	0	0	0
chr1_31700500_31700800	0	0	0	0	0	0	0	0	300	0	0	0	300	0	0	0	300	0	0	0	0	125	50	300	0	0	0	0	275	0	0	0	0	300	0	0	0	0	275	0	200	300	0	0	0	0	0	0	0	0
chr1_31740600_31740750	0	0	150	0	0	0	0	0	0	0	0	0	150	0	0	0	0	0	0	0	0	0	0	150	0	0	0	0	0	0	0	0	0	150	0	0	0	0	150	0	0	150	0	0	0	0	0	0	0	0
chr1_41019150_41019500	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	350	0	0	0	0	0	0	0	0	50	350	0	0	0	0	350	0	0	200	0	0	0	0	0	0	0	0
chr1_41020200_41020400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	0	150	0	0	0	0	0	0	200	0	0	0	0	0	0	0	0	200	200	0	0	0	0	200	0	0	200	0	0	0	0	0	0	0	0
chr1_41022550_41023500	0	0	0	0	0	200	0	0	375	150	50	0	0	0	0	0	0	0	0	0	0	0	0	125	0	0	0	0	0	0	0	0	0	950	0	0	0	0	950	0	0	950	0	0	0	0	0	0	0	0
chr1_41024200_41025000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	800	0	0	0	150	0	0	0	0	75	200	0	0	0	0	800	0	0	525	0	75	0	0	0	0	0	0
chr1_44218950_44219300	0	0	0	0	0	0	0	0	0	350	350	0	350	0	0	0	350	0	0	0	0	0	0	350	0	0	0	0	0	0	0	0	0	350	0	0	0	0	350	0	0	350	275	0	0	0	0	0	0	0
chr1_44506200_44506650	0	0	0	0	0	0	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	450	0	0	0	0	0	0	0	0	0	150	0	0	0	0	450	0	0	450	300	150	0	0	0	0	0	0
chr1_44508650_44509650	0	0	0	0	0	150	1000	150	0	0	0	0	0	625	0	450	0	0	0	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	1000	0	0	0	0	1000	0	0	975	0	1000	0	0	0	0	0	0
chr1_54766600_54766900	0	0	0	0	0	0	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	300	0	0	0	0	275	0	0	275	0	0	0	0	0	0	0	0
chr1_59125750_59126050	0	0	0	0	0	0	0	0	0	125	50	125	0	0	0	0	0	0	0	0	0	0	0	300	0	0	0	0	0	0	0	0	0	275	200	0	0	0	200	0	300	300	0	0	0	0	0	0	0	0
chr1_74396900_74397450	0	0	550	300	0	0	0	0	0	0	0	525	525	0	0	0	550	0	0	0	0	475	0	550	0	0	0	0	0	0	0	0	0	525	0	0	0	0	550	0	0	550	0	0	0	0	0	0	0	0
