A.intersect.value	CLL.A34020.CEMT_4.H3K4me3.hg38.A34020_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A34036.CEMT_5.H3K4me3.hg38.A34036_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A34075.CEMT_6.H3K4me3.hg38.A34075_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A34939.CEMT_26.H3K4me3.hg38.A34939_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A34946.CEMT_27.H3K4me3.hg38.A34946_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A34953.CEMT_28.H3K4me3.hg38.A34953_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A34960.CEMT_29.H3K4me3.hg38.A34960_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A35237.CEMT_25.H3K4me3.hg38.A35237_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A35244.CEMT_30.H3K4me3.hg38.A35244_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A60644.CEMT_94.H3K4me3.hg38.bwa-sb.IX4412.C958UANXX_5_GATCAG.FindER2.bed.remDups.bed.intersect.value	CLL.A60651.CEMT_95.H3K4me3.hg38.bwa-sb.IX4412.C958UANXX_5_GATGCT.FindER2.bed.remDups.bed.intersect.value	CLL.A60658.CEMT_96.H3K4me3.hg38.A60658_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A60669.CEMT_97.H3K4me3.hg38.A60669_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	EGAN00001091882_EGAX00001135682_EGAR00001139772_NBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001091897_EGAX00001215957_EGAR00001228608_NBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001095818_EGAX00001128209_EGAR00001132156_NBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001095891_EGAX00001135680_EGAR00001139770_NBC_H3K4me3_SINGLE.MACS2NoInput.bed.intersect.value	EGAN00001107643_EGAX00001231897_EGAR00001245923_NBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001107668_EGAX00001215621_EGAR00001228080_NBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001173679_EGAX00001138967_EGAR00001143053_NBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001202786_EGAX00001323202_EGAR00001352518_CLL_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001202787_EGAX00001291853_EGAR00001320580_CLL_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001202788_EGAX00001323210_EGAR00001352510_CLL_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001202789_EGAX00001291851_EGAR00001320578_CLL_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001235813_EGAX00001323205_merged2runs_CLL_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001258588_EGAX00001291825_EGAR00001320549_csMBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265738_EGAX00001272592_merged2runs_PBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265740_EGAX00001272613_merged2runs_GCBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265741_EGAX00001272644_EGAR00001299991_NBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265743_EGAX00001272704_EGAR00001300108_NBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265744_EGAX00001272686_EGAR00001300079_NBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265747_EGAX00001272655_EGAR00001300002_NBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265748_EGAX00001272660_EGAR00001300007_PBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265749_EGAX00001272649_EGAR00001299996_GCBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265750_EGAX00001272584_EGAR00001300013_CLL_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001274157_EGAX00001419444_EGAR00001456638_MBC_H3K4me3_PAIRED.FindER2.bed.intersect.value	EGAN00001276797_EGAX00001304984_EGAR00001334467_GCBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001276798_EGAX00001304993_EGAR00001334418_NBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001277490_EGAX00001305087_EGAR00001334366_csMBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001277491_EGAX00001305084_EGAR00001334363_csMBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001277492_EGAX00001326449_EGAR00001355722_NBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001280969_EGAX00001419407_merged2runs_MBC_H3K4me3_PAIRED.FindER2.bed.intersect.value	EGAN00001295794_EGAX00001326425_EGAR00001355899_GCBC_H3K4me3_SINGLE.MACS2NoInput.bed.intersect.value	EGAN00001295795_EGAX00001326623_EGAR00001355769_PBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001295796_EGAX00001326617_EGAR00001355763_CLL_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001295801_EGAX00001326600_EGAR00001355772_NBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001295804_EGAX00001326426_merged2runs_NBC_H3K4me3_SINGLE.MACS2NoInput.bed.intersect.value	EGAN00001295815_EGAX00001326482_EGAR00001355809_usMBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	GCBC.A68887.CEMT_129.H3K4me3.hg38.bwa-sb.IX5130.CAVYBANXX_8_AGGCCG.FindER2.bed.remDups.bed.intersect.value	GCBC.A70849.CEMT_134.H3K4me3.hg38.A70849_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	GCBC.A70856.CEMT_135.H3K4me3_1_lane_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	GCBC.A70863.CEMT_136.H3K4me3.125nt.hg38.FindER2.bed.remDups.bed.intersect.value	GCBC.A70870.CEMT_137.H3K4me3.125nt.hg38.FindER2.bed.remDups.bed.intersect.value	GCBC.A70877.CEMT_138.H3K4me3_1_lane_dupsFlagged.FindER2.bed.remDups.bed.intersect.value
chr1_906650_907050	0	0	0	0	0	0	0	0	0	0	0	0	0	0	400	0	0	375	375	0	0	0	0	0	0	400	0	300	400	400	0	225	0	0	0	375	0	400	400	400	400	375	0	0	0	400	0	400	0	0	0	0	0	0
chr1_1050500_1051450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	825	0	925	100	0	0	0	0	0	0	375	0	700	0	0	950	900	0	0	0	0	375	0	0	825	0	0	0	0	0	0
chr1_1093050_1093650	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	375	0	0	0	0	600	0	0	0	0	0	0	0	0	0	600	0	0	600	0	0	525	0	0	375	0	0	525	0	0	0	0	0	0
chr1_1173150_1173500	0	0	0	0	0	0	0	0	0	0	0	0	0	200	350	50	0	275	350	0	0	125	0	50	0	350	0	0	350	350	350	200	0	0	275	350	0	50	350	350	350	350	0	0	50	350	0	350	0	0	0	0	0	0
chr1_1347750_1347800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	50	50	0	50	50	50	50	0	50	0	50	50	50	50	0	50	50	0	50	50	0	50	0	0	50	50	0	50	0	0	0	0	0	0
chr1_1942700_1943400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	700	0	0	0	400	0	700	0	0	0	600	0	0	700	700	0	600	0	0	0	0	0	700	0	0	0	0	0	0
chr1_2235900_2236200	300	300	300	0	0	300	0	300	300	0	0	75	0	0	0	0	0	0	300	0	75	300	300	300	300	300	0	0	0	0	300	0	0	0	0	300	0	0	300	300	0	300	0	0	300	75	0	300	0	0	0	0	0	0
chr1_2470800_2471350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	550	0	0	0	0	0	0	300	0	0	0	550	0	0	0	450	0	225	0	0	0	525	225	150	550	550	550	550	0	0	0	550	0	550	0	0	0	0	0	0
chr1_3622950_3623150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125	0	0	0	200	0	200	0	200	0	0	200	0	0	0	200	0	0	200	0	0	200	0	0	200	0	150	200	0	0	50	0	0	0	0	0	0
chr1_6756450_6756900	0	0	0	0	225	0	0	450	75	0	0	0	0	0	0	0	0	0	0	0	375	0	0	0	0	450	0	0	0	0	0	0	0	0	0	450	0	0	450	0	0	450	0	0	0	0	0	450	0	0	0	0	0	0
chr1_6770850_6771150	0	0	300	300	225	0	0	0	0	0	0	75	0	0	225	0	0	0	0	0	300	0	75	0	0	300	0	300	0	0	225	0	0	300	150	300	300	0	300	300	0	300	0	0	300	0	0	300	300	300	300	300	300	300
chr1_6771600_6771850	0	0	250	250	250	225	0	250	0	0	0	0	0	0	250	0	0	0	0	0	150	0	75	0	0	250	0	225	0	0	0	0	0	250	75	250	250	0	250	225	0	250	0	0	250	0	0	250	250	250	250	250	250	250
chr1_6776900_6777150	0	250	250	75	150	225	0	250	0	0	0	0	0	0	250	0	0	0	0	0	0	0	0	250	0	250	0	0	250	150	250	0	0	225	0	250	0	0	250	225	225	250	0	0	250	0	79	250	250	250	150	250	0	250
chr1_10692500_10692800	125	125	0	0	0	300	0	125	0	0	0	0	0	0	300	300	0	300	0	0	0	300	300	300	0	300	0	0	300	300	300	300	0	200	0	300	50	0	300	275	300	275	0	0	300	300	0	300	0	0	0	0	0	0
chr1_12157500_12157950	0	0	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	450	0	0	75	450	0	450	0	450	0	0	0	375	375	375	0	0	0	450	375	0	450	450	0	450	0	0	450	0	0	450	450	300	150	150	450	450
chr1_15094700_15095800	0	0	0	0	0	0	0	0	0	100	0	0	0	0	625	0	0	0	0	0	0	850	0	0	0	850	0	0	0	550	475	0	0	550	0	1100	525	0	1075	1075	750	1075	0	0	0	400	0	1075	700	250	0	0	0	0
chr1_15412500_15412650	0	150	0	0	0	75	0	0	0	0	0	0	0	0	150	0	0	75	150	0	150	150	150	150	75	150	0	0	75	150	150	0	0	0	0	150	75	0	150	150	150	150	0	0	150	150	0	150	0	0	0	0	0	0
chr1_15963050_15963350	175	300	300	250	100	0	0	250	100	0	0	0	0	200	300	0	0	275	125	0	175	300	200	300	0	300	0	0	200	275	200	0	0	0	200	300	0	0	300	275	50	300	0	0	200	300	0	275	50	200	0	0	275	50
chr1_16420350_16420500	150	75	0	0	0	150	0	150	0	0	0	0	0	0	150	0	0	0	0	0	0	150	150	150	0	150	0	0	0	75	75	0	0	150	0	150	150	0	150	150	150	150	0	0	150	150	0	150	150	150	0	75	150	150
chr1_17393250_17393650	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	400	0	0	0	0	0	0	0	0	0	0	0	0	400	375	0	0	0	0	0	0	0	400	0	0	0	0	0	0
chr1_17434950_17435250	225	75	75	0	0	300	0	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	300	0	0	0	0	0	0	0	0	0	300	0	0	300	300	0	225	0	0	150	0	0	300	0	0	0	0	225	0
chr1_17629950_17630650	700	700	700	0	0	700	675	700	700	550	550	0	0	0	0	0	0	0	0	0	700	700	700	700	700	700	0	0	0	375	675	0	0	0	0	700	0	0	700	700	375	675	0	0	700	450	0	700	0	0	0	0	0	0
chr1_17635800_17635950	150	150	150	0	0	0	0	150	0	0	0	0	0	0	150	0	0	0	75	0	0	150	0	150	150	150	0	0	0	0	0	0	0	0	0	150	0	0	150	150	0	150	0	150	150	0	0	150	150	0	0	0	150	0
chr1_18953250_18953350	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	100	0	0	0	100	0	0	0	0	0	0	0	0	0	75	0	0	100	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0
chr1_18953550_18953900	0	0	0	0	0	275	0	0	0	0	0	0	0	0	125	0	0	0	0	0	0	350	0	200	0	350	0	0	0	275	125	0	0	0	0	350	0	50	350	275	350	350	0	0	275	0	0	50	0	0	0	0	200	0
chr1_19453850_19454850	0	0	150	0	0	0	0	0	0	0	0	0	0	0	1000	0	0	1000	0	0	0	225	0	375	0	975	0	0	1000	1000	1000	1000	0	0	0	1000	0	750	1000	1000	1000	1000	0	0	325	1000	0	1000	300	375	0	0	0	0
chr1_19459250_19460100	450	600	525	0	250	450	300	300	375	0	0	0	0	0	0	0	0	0	0	150	0	825	450	850	375	850	525	0	0	0	775	0	850	0	0	775	0	0	850	850	625	825	0	625	775	100	0	850	0	0	0	450	600	0
