A.H3K27me3.intersect.value	CLL.A34022.CEMT_4.H3K27me3.hg38.bwa-sb.IX2655.C3YJAACXX_4_AAGCGA.FindER2.bed.remDups.bed.intersect.value	CLL.A34038.CEMT_5.H3K27me3.hg38.bwa-sb.IX2843.C3RULACXX_1_ACCCAG.FindER2.bed.remDups.bed.intersect.value	CLL.A34077.CEMT_6.H3K27me3.hg38.bwa-sb.IX2843.C3RULACXX_1_TGAATG.FindER2.bed.remDups.bed.intersect.value	CLL.A34941.CEMT_26.H3K27me3.hg38.bwa-sb.IX2650.C3THCACXX_4_AAGCGA.FindER2.bed.remDups.bed.intersect.value	CLL.A34948.CEMT_27.H3K27me3.hg38.bwa-sb.IX2655.C3YJAACXX_4_ACCCAG.FindER2.bed.remDups.bed.intersect.value	CLL.A34955.CEMT_28.H3K27me3.hg38.bwa-sb.IX2655.C3YJAACXX_4_TGAATG.FindER2.bed.remDups.bed.intersect.value	CLL.A34962.CEMT_29.H3K27me3.hg38.bwa-sb.IX2655.C3YJAACXX_4_CAACTA.FindER2.bed.remDups.bed.intersect.value	CLL.A35239.CEMT_25.H3K27me3.hg38.bwa-sb.IX2650.C3THCACXX_4_CTCAGA.FindER2.bed.remDups.bed.intersect.value	CLL.A35246.CEMT_30.H3K27me3.hg38.bwa-sb.IX2655.C3YJAACXX_4_TTAGGC.FindER2.bed.remDups.bed.intersect.value	CLL.A60646.CEMT_94.H3K27me3.hg38.bwa-sb.IX4416.C9587ANXX_1_ACCCAG.FindER2.bed.remDups.bed.intersect.value	CLL.A60653.CEMT_95.H3K27me3.hg38.bwa-sb.IX4416.C9587ANXX_1_TGAATG.FindER2.bed.remDups.bed.intersect.value	CLL.A60660.CEMT_96.H3K27me3.hg38.bwa-sb.IX4416.C9587ANXX_1_CAACTA.FindER2.bed.remDups.bed.intersect.value	CLL.A60667.CEMT_97.H3K27me3.hg38.bwa-sb.IX4419.C9587ANXX_4_TTAGGC.FindER2.bed.remDups.bed.intersect.value	EGAN00001091882_EGAX00001135679_EGAR00001139765_NBC_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001091897_EGAX00001135684_EGAR00001139766_NBC_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001107579_EGAX00001215956_EGAR00001228607_NBC_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001107643_EGAX00001215954_EGAR00001228605_NBC_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001107668_EGAX00001171948_EGAR00001185104_NBC_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001202786_EGAX00001231898_EGAR00001245924_CLL_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001202787_EGAX00001272597_EGAR00001300138_CLL_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001202788_EGAX00001272594_EGAR00001300135_CLL_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001202789_EGAX00001231899_EGAR00001245925_CLL_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001235813_EGAX00001234408_EGAR00001248463_CLL_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001258588_EGAX00001326545_EGAR00001355700_csMBC_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265738_EGAX00001272701_EGAR00001300104_PBC_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265739_EGAX00001272601_EGAR00001300132_NBC_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265740_EGAX00001272617_EGAR00001300044_GCBC_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265741_EGAX00001272702_EGAR00001300105_NBC_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265743_EGAX00001272666_merged3runs_NBC_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265744_EGAX00001272690_EGAR00001300083_NBC_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265747_EGAX00001272658_EGAR00001300005_NBC_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265748_EGAX00001272665_EGAR00001300012_PBC_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265749_EGAX00001272654_EGAR00001300001_GCBC_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265750_EGAX00001272586_EGAR00001300133_CLL_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001276797_EGAX00001304999_EGAR00001334472_GCBC_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001276798_EGAX00001304996_EGAR00001334421_NBC_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001277490_EGAX00001305064_EGAR00001334391_csMBC_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001277491_EGAX00001305086_EGAR00001334365_csMBC_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001277492_EGAX00001305083_EGAR00001334362_NBC_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001295796_EGAX00001364335_EGAR00001401453_CLL_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001295801_EGAX00001326521_EGAR00001355883_NBC_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001295802_EGAX00001326518_EGAR00001355880_PBC_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001295815_EGAX00001326493_EGAR00001355780_usMBC_H3K27me3_SINGLE.FindER2.bed.intersect.value	GCBC.A68889.CEMT_129.H3K27me3.hg38.bwa-sb.IX5126.CAVYBANXX_4_ATACGG.FindER2.bed.remDups.bed.intersect.value	GCBC.A70851.CEMT_134.H3K27me3.hg38.IX5208.CAVPBANXX_1_TGACCA.FindER2.bed.remDups.bed.intersect.value	GCBC.A70858.CEMT_135.H3K27me3.hg38.A70858_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	GCBC.A70865.CEMT_136.H3K27me3.hg38.IX5211.CAVPBANXX_4_ACTCTC.FindER2.bed.remDups.bed.intersect.value	GCBC.A70872.CEMT_137.H3K27me3.hg38.IX5212.CAVPBANXX_5_ATACGG.FindER2.bed.remDups.bed.intersect.value	GCBC.A70879.CEMT_138.H3K27me3.hg38.IX5214.CAVPBANXX_7_CACGAT.FindER2.bed.remDups.bed.intersect.value
chr1_3620550_3620950	400	0	0	0	375	0	400	0	375	400	0	0	0	0	0	0	0	0	0	400	325	0	0	250	0	375	75	225	75	0	400	375	0	300	0	0	400	0	250	0	375	300	0	0	0	0	0	0	0
chr1_10637150_10637550	400	300	225	0	400	0	400	0	400	0	225	300	0	400	400	300	0	400	400	400	375	150	0	0	375	225	400	400	225	300	300	400	400	375	400	400	0	375	150	0	225	400	400	400	400	400	300	225	400
chr1_10637850_10638200	350	350	75	0	350	0	350	200	350	0	350	50	50	350	350	350	350	350	350	350	350	350	350	275	350	350	350	350	350	350	350	350	350	350	350	350	275	350	350	0	350	350	350	350	350	350	350	350	350
chr1_10696100_10696450	350	0	0	0	350	350	350	0	350	175	325	0	0	325	25	0	0	25	250	350	350	350	0	350	350	0	350	350	350	0	25	350	350	175	350	325	350	350	0	350	325	350	0	350	350	350	350	350	350
chr1_12094050_12094400	350	350	0	50	350	300	0	125	350	0	350	275	0	0	50	0	350	50	0	0	350	0	0	0	0	0	0	0	0	0	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_15433500_15433800	300	0	0	0	0	0	300	0	300	0	300	0	0	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_21351600_21352000	400	75	0	0	400	400	400	225	400	0	0	0	0	400	25	175	0	175	0	0	400	0	0	0	0	0	175	75	175	0	0	175	100	100	0	0	0	0	25	0	325	175	0	175	400	100	25	325	250
chr1_21358500_21358900	400	400	0	0	400	0	400	0	400	0	0	0	0	0	100	0	400	0	0	325	400	0	0	25	0	0	0	0	325	0	100	25	0	250	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0
chr1_21397100_21397450	350	325	0	0	350	0	350	350	350	0	0	0	350	0	175	0	325	350	0	0	350	0	0	0	0	250	0	0	0	0	350	0	0	0	0	0	0	0	0	0	350	0	0	350	350	350	350	350	350
chr1_21914350_21914650	300	0	0	0	300	300	300	300	300	125	300	0	0	300	0	0	0	0	300	300	275	175	300	300	0	0	0	250	0	0	200	25	0	0	0	0	300	300	0	0	0	250	300	0	0	0	0	0	0
chr1_22581300_22581700	400	75	0	175	400	75	400	0	400	400	375	400	0	400	0	0	400	400	250	250	400	0	400	0	0	0	0	400	0	250	400	0	0	0	0	250	225	400	300	0	0	400	0	0	0	0	0	0	0
chr1_22581850_22582200	350	300	350	125	275	0	350	0	350	225	350	125	0	350	0	225	275	350	350	350	350	0	200	75	0	0	0	350	225	0	150	350	0	0	0	350	300	350	0	350	0	350	225	0	0	0	0	0	0
chr1_23534250_23534550	300	0	75	0	300	75	0	0	225	0	300	0	0	0	0	0	0	0	0	0	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	0	0	0	0	0
chr1_24055700_24056150	450	450	0	0	450	0	450	450	450	0	450	0	0	0	50	300	0	450	275	450	425	0	0	0	0	325	0	0	0	0	0	0	0	0	0	0	0	400	0	0	125	0	425	0	0	0	0	275	0
chr1_24207000_24207450	450	0	450	0	450	0	450	0	450	450	450	0	0	450	75	450	450	450	0	450	150	0	0	75	0	375	0	450	150	225	450	450	0	375	0	450	75	0	225	150	75	375	300	375	0	0	0	0	0
chr1_24207650_24208050	400	75	175	0	400	0	400	0	400	400	375	0	0	400	400	225	400	400	150	400	0	0	0	0	75	0	0	400	225	375	400	25	0	300	0	400	300	400	375	0	375	300	150	0	0	0	0	0	0
chr1_24282250_24282550	300	300	275	0	300	50	300	50	275	50	0	125	0	300	300	300	300	300	0	300	300	0	300	300	0	0	0	300	100	300	300	0	0	300	0	300	0	0	125	0	300	300	200	275	300	125	0	300	300
chr1_24546150_24547000	850	775	0	625	850	700	850	0	850	475	625	0	0	525	0	0	0	450	0	750	850	0	75	0	0	375	0	0	0	0	0	450	0	850	0	0	0	0	0	0	525	0	0	0	75	150	0	0	0
chr1_24547250_24547750	500	0	175	0	475	325	500	0	500	325	400	0	0	475	0	0	0	0	0	475	500	0	500	0	0	250	0	300	0	0	0	0	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_24941800_24942150	350	75	350	0	350	75	0	0	350	150	350	0	0	350	0	0	0	275	0	350	350	200	0	350	0	0	0	150	350	0	0	0	0	150	0	0	0	0	0	0	0	275	0	0	0	0	0	0	0
chr1_25004050_25004350	300	0	0	0	300	125	0	300	300	0	0	175	0	0	0	0	0	0	0	300	250	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_25018200_25018700	500	0	0	0	500	500	0	0	500	0	500	0	0	0	0	0	150	50	0	500	450	500	450	0	0	0	0	450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	0	0	0	0	0
chr1_25026600_25027200	600	225	0	300	600	0	0	0	0	0	600	0	0	0	0	0	0	0	0	600	600	600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	0	0	0	0	0
chr1_25027350_25027800	450	0	0	0	450	0	0	75	375	300	150	0	0	75	0	0	0	0	0	450	450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	0	0	0	0	0
chr1_25576500_25576900	400	300	400	150	400	75	400	400	375	250	400	0	0	325	0	0	0	0	325	400	400	300	0	0	0	0	0	0	0	0	0	250	0	400	400	0	400	100	0	0	0	400	250	0	0	0	0	0	0
chr1_25577800_25578300	500	0	150	0	500	0	500	0	450	125	500	0	0	500	300	0	500	300	0	275	500	0	0	500	0	0	500	0	200	0	500	500	500	500	500	0	500	125	0	0	0	500	500	150	225	0	0	0	500
chr1_25578500_25578850	350	350	350	0	350	0	350	0	350	350	0	0	0	350	100	0	0	350	0	0	325	0	0	0	0	0	250	0	0	0	25	350	350	0	350	0	25	0	0	0	0	350	0	350	350	350	0	250	350
chr1_25580450_25581300	850	400	400	25	475	0	850	325	175	75	225	0	0	475	100	150	0	0	0	825	175	0	0	525	225	225	475	100	0	0	850	850	850	0	850	0	850	100	0	0	525	850	450	400	100	475	400	475	100
