# GREAT version 4.0.4	Species assembly: hg38	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
A1CF	unnamed (+232350)
A4GALT	unnamed (-25739), unnamed (-22214)
AACS	unnamed (-53279), unnamed (-50954), unnamed (-49629), unnamed (+5621)
AAGAB	unnamed (+74136), unnamed (+89611), unnamed (+116611), unnamed (+144161), unnamed (+145536), unnamed (+160636), unnamed (+161686), unnamed (+178436)
AANAT	unnamed (+14049), unnamed (+16224), unnamed (+21224), unnamed (+23849)
AASDH	unnamed (+358000), unnamed (+373000), unnamed (+381200), unnamed (+382050), unnamed (+382675), unnamed (+395500), unnamed (+406750), unnamed (+431475), unnamed (+432150)
AASDHPPT	unnamed (+1486)
AASS	unnamed (-10228)
ABCA10	unnamed (+65021)
ABCA2	unnamed (-4085)
ABCA6	unnamed (-37951)
ABCB5	unnamed (-176282)
ABCC1	unnamed (+192423)
ABCC10	unnamed (+5646), unnamed (+18496)
ABCC12	unnamed (+547295)
ABCC4	unnamed (+439954)
ABCC6	unnamed (+81464)
ABCE1	unnamed (-62057)
ABCG1	unnamed (-98293)
ABCG8	unnamed (+92736), unnamed (+150411)
ABHD16A	unnamed (+10394)
ABHD17B	unnamed (+23981), unnamed (+25381)
ABHD3	unnamed (+2655), unnamed (+53230), unnamed (+53505)
ABHD5	unnamed (+203605), unnamed (+308605), unnamed (+354955)
ABI1	unnamed (-194765), unnamed (+104785)
ABI3	unnamed (+3123)
ABI3BP	unnamed (+245015), unnamed (+256015), unnamed (+259590)
ABL1	unnamed (+92079)
ABL2	unnamed (+77401), unnamed (+108526), unnamed (+121126)
ABLIM1	unnamed (+184448), unnamed (+185073)
ABLIM2	unnamed (-4641)
ABO	unnamed (-57636)
ABTB1	unnamed (+24910)
ABTB2	unnamed (+202283), unnamed (+205558), unnamed (+237058)
ACAD10	unnamed (+41899), unnamed (+44374), unnamed (+47624), unnamed (+61674)
ACAP2	unnamed (+102378), unnamed (+159578)
ACAP3	unnamed (+1893), unnamed (+3043)
ACAT1	unnamed (-96316), unnamed (+35934), unnamed (+45634), unnamed (+46259), unnamed (+47809), unnamed (+51434), unnamed (+52084), unnamed (+52734), unnamed (+54209), unnamed (+55759), unnamed (+70659), unnamed (+74984), unnamed (+76434)
ACBD3	unnamed (+38330)
ACKR4	unnamed (-61837)
ACMSD	unnamed (-101222)
ACO2	unnamed (+2200), unnamed (+10875), unnamed (+18275), unnamed (+30850), unnamed (+31675), unnamed (+32475), unnamed (+35075)
ACOT12	unnamed (-125157), unnamed (-114007), unnamed (-112557)
ACOT8	unnamed (+16381)
ACP6	unnamed (-92254)
ACRV1	unnamed (+52273)
ACSL5	unnamed (+43527)
ACSM4	unnamed (-94309)
ACSS1	unnamed (+7307), unnamed (+9082)
ACTA1	unnamed (-44506)
ACTC1	unnamed (-106011)
ACTG1	unnamed (+58231)
ACTG2	unnamed (-36608)
ACTL6A	unnamed (-89155)
