A.H3K27me3.intersect.value	CLL.A34022.CEMT_4.H3K27me3.hg38.bwa-sb.IX2655.C3YJAACXX_4_AAGCGA.FindER2.bed.remDups.bed.intersect.value	CLL.A34038.CEMT_5.H3K27me3.hg38.bwa-sb.IX2843.C3RULACXX_1_ACCCAG.FindER2.bed.remDups.bed.intersect.value	CLL.A34077.CEMT_6.H3K27me3.hg38.bwa-sb.IX2843.C3RULACXX_1_TGAATG.FindER2.bed.remDups.bed.intersect.value	CLL.A34941.CEMT_26.H3K27me3.hg38.bwa-sb.IX2650.C3THCACXX_4_AAGCGA.FindER2.bed.remDups.bed.intersect.value	CLL.A34948.CEMT_27.H3K27me3.hg38.bwa-sb.IX2655.C3YJAACXX_4_ACCCAG.FindER2.bed.remDups.bed.intersect.value	CLL.A34955.CEMT_28.H3K27me3.hg38.bwa-sb.IX2655.C3YJAACXX_4_TGAATG.FindER2.bed.remDups.bed.intersect.value	CLL.A34962.CEMT_29.H3K27me3.hg38.bwa-sb.IX2655.C3YJAACXX_4_CAACTA.FindER2.bed.remDups.bed.intersect.value	CLL.A35239.CEMT_25.H3K27me3.hg38.bwa-sb.IX2650.C3THCACXX_4_CTCAGA.FindER2.bed.remDups.bed.intersect.value	CLL.A35246.CEMT_30.H3K27me3.hg38.bwa-sb.IX2655.C3YJAACXX_4_TTAGGC.FindER2.bed.remDups.bed.intersect.value	CLL.A60646.CEMT_94.H3K27me3.hg38.bwa-sb.IX4416.C9587ANXX_1_ACCCAG.FindER2.bed.remDups.bed.intersect.value	CLL.A60653.CEMT_95.H3K27me3.hg38.bwa-sb.IX4416.C9587ANXX_1_TGAATG.FindER2.bed.remDups.bed.intersect.value	CLL.A60660.CEMT_96.H3K27me3.hg38.bwa-sb.IX4416.C9587ANXX_1_CAACTA.FindER2.bed.remDups.bed.intersect.value	CLL.A60667.CEMT_97.H3K27me3.hg38.bwa-sb.IX4419.C9587ANXX_4_TTAGGC.FindER2.bed.remDups.bed.intersect.value	EGAN00001091882_EGAX00001135679_EGAR00001139765_NBC_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001091897_EGAX00001135684_EGAR00001139766_NBC_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001107579_EGAX00001215956_EGAR00001228607_NBC_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001107643_EGAX00001215954_EGAR00001228605_NBC_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001107668_EGAX00001171948_EGAR00001185104_NBC_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001202786_EGAX00001231898_EGAR00001245924_CLL_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001202787_EGAX00001272597_EGAR00001300138_CLL_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001202788_EGAX00001272594_EGAR00001300135_CLL_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001202789_EGAX00001231899_EGAR00001245925_CLL_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001235813_EGAX00001234408_EGAR00001248463_CLL_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001258588_EGAX00001326545_EGAR00001355700_csMBC_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265738_EGAX00001272701_EGAR00001300104_PBC_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265739_EGAX00001272601_EGAR00001300132_NBC_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265740_EGAX00001272617_EGAR00001300044_GCBC_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265741_EGAX00001272702_EGAR00001300105_NBC_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265743_EGAX00001272666_merged3runs_NBC_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265744_EGAX00001272690_EGAR00001300083_NBC_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265747_EGAX00001272658_EGAR00001300005_NBC_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265748_EGAX00001272665_EGAR00001300012_PBC_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265749_EGAX00001272654_EGAR00001300001_GCBC_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265750_EGAX00001272586_EGAR00001300133_CLL_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001276797_EGAX00001304999_EGAR00001334472_GCBC_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001276798_EGAX00001304996_EGAR00001334421_NBC_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001277490_EGAX00001305064_EGAR00001334391_csMBC_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001277491_EGAX00001305086_EGAR00001334365_csMBC_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001277492_EGAX00001305083_EGAR00001334362_NBC_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001295796_EGAX00001364335_EGAR00001401453_CLL_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001295801_EGAX00001326521_EGAR00001355883_NBC_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001295802_EGAX00001326518_EGAR00001355880_PBC_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001295815_EGAX00001326493_EGAR00001355780_usMBC_H3K27me3_SINGLE.FindER2.bed.intersect.value	GCBC.A68889.CEMT_129.H3K27me3.hg38.bwa-sb.IX5126.CAVYBANXX_4_ATACGG.FindER2.bed.remDups.bed.intersect.value	GCBC.A70851.CEMT_134.H3K27me3.hg38.IX5208.CAVPBANXX_1_TGACCA.FindER2.bed.remDups.bed.intersect.value	GCBC.A70858.CEMT_135.H3K27me3.hg38.A70858_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	GCBC.A70865.CEMT_136.H3K27me3.hg38.IX5211.CAVPBANXX_4_ACTCTC.FindER2.bed.remDups.bed.intersect.value	GCBC.A70872.CEMT_137.H3K27me3.hg38.IX5212.CAVPBANXX_5_ATACGG.FindER2.bed.remDups.bed.intersect.value	GCBC.A70879.CEMT_138.H3K27me3.hg38.IX5214.CAVPBANXX_7_CACGAT.FindER2.bed.remDups.bed.intersect.value
chr1_1501050_1501850	0	800	50	200	800	0	800	450	0	0	0	0	0	225	0	0	0	525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_2418000_2418600	0	0	0	0	600	0	600	0	0	0	0	0	75	0	600	600	600	0	0	600	450	600	525	0	0	0	300	375	600	600	600	600	600	0	0	225	300	450	600	0	600	600	75	0	0	225	0	0	0
chr1_3527900_3528550	0	0	0	0	0	0	625	0	0	0	0	0	0	100	250	0	0	0	0	0	625	0	0	0	375	0	0	0	0	0	175	175	175	0	400	0	650	650	475	0	0	650	25	0	0	0	0	0	0
chr1_6517650_6518200	0	75	0	375	550	0	550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225	0	0	0	0	0	0	0	0	0	0	0
chr1_8853350_8853650	0	200	0	0	300	300	300	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	300	0	0	0	0	0	0	0	0	0	0	0	0
chr1_8855400_8855700	0	0	0	0	300	0	300	225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_15674650_15675200	50	50	425	50	550	0	550	50	0	0	0	0	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	550	0	0	0	125	0	0	0	0	125	0	550	500	550	500	500	550
chr1_16361100_16361450	0	0	0	0	350	150	350	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_16694450_16695000	0	0	0	0	0	0	550	0	0	0	0	0	0	0	0	300	0	0	0	0	525	0	0	0	0	0	375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	300	525
chr1_21351600_21351900	300	75	0	0	300	300	300	225	300	0	0	0	0	300	0	75	0	75	0	0	300	0	0	0	0	0	75	75	75	0	0	75	0	0	0	0	0	0	0	0	225	75	0	75	300	0	0	225	150
chr1_21399650_21399950	275	0	0	50	300	0	300	200	50	0	0	0	50	300	300	125	300	300	0	0	300	0	25	300	0	300	0	300	300	0	0	0	300	0	0	300	200	300	300	0	300	300	0	300	300	300	300	300	300
chr1_23639250_23639550	0	0	0	0	300	0	0	0	0	0	75	0	0	0	300	0	0	75	0	0	300	0	0	0	0	0	0	0	0	0	300	300	0	0	0	0	0	0	0	0	0	300	300	0	0	0	0	0	0
chr1_23663700_23664000	0	75	225	75	300	0	300	300	0	0	0	0	0	0	0	0	0	0	75	0	300	0	0	75	0	75	0	0	0	0	0	0	0	0	0	0	0	0	150	0	0	0	0	0	0	0	0	0	0
chr1_24487700_24488200	500	0	0	0	500	500	500	500	250	0	250	0	0	0	0	0	0	0	0	0	475	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	100	0	0	0	0	0	250	0
chr1_24702450_24702750	0	0	300	0	300	300	300	0	0	75	0	0	0	300	0	75	0	0	0	0	300	0	0	0	0	0	0	0	0	0	300	0	0	225	0	0	300	300	0	0	0	0	0	0	0	0	0	0	0
chr1_24710000_24710600	200	50	0	0	600	50	275	200	200	0	0	0	0	0	0	0	0	0	0	0	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_25581900_25582350	450	0	0	0	450	0	450	0	0	0	0	0	0	300	0	0	0	300	300	450	450	0	0	0	150	0	0	75	0	0	0	450	150	0	450	0	450	450	0	0	0	450	150	0	375	450	0	0	225
chr1_25583000_25583550	475	550	0	375	550	0	550	400	0	0	0	0	150	225	0	0	0	0	0	0	525	0	0	0	0	0	325	0	0	0	0	550	0	0	375	0	525	75	0	0	0	550	0	550	550	550	550	550	550
chr1_25719000_25719350	0	0	0	0	350	0	350	50	0	225	0	0	75	350	200	0	0	75	350	125	350	0	350	350	275	0	150	0	350	350	0	350	0	0	350	0	350	350	0	0	75	0	275	75	350	350	225	150	75
chr1_25785750_25786050	150	0	0	0	300	0	300	75	225	300	0	0	0	0	0	150	0	0	0	0	300	0	0	300	300	0	300	300	0	0	300	300	300	300	300	225	75	300	225	0	0	300	75	300	300	300	150	300	300
chr1_25794600_25794950	350	350	0	0	350	150	350	0	0	0	0	0	0	0	350	0	0	350	0	0	350	0	0	200	0	0	200	0	125	0	0	350	75	0	50	0	350	350	0	0	0	350	350	50	50	350	0	350	350
chr1_26676500_26676850	25	250	0	0	350	0	325	0	250	0	0	0	0	350	0	0	175	0	0	0	325	0	0	100	0	0	0	350	0	0	0	0	0	0	0	0	0	0	0	0	0	350	0	0	0	350	0	0	350
chr1_26806200_26806750	0	0	0	0	550	0	550	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	0	0	0	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_27579800_27580950	300	0	100	0	1150	0	450	375	0	0	0	0	0	0	0	0	925	0	0	0	1150	0	0	525	0	0	0	0	525	475	0	0	0	0	0	0	0	0	0	0	0	0	600	0	0	0	0	0	0
chr1_28130200_28130550	125	0	0	75	0	0	350	0	0	0	0	0	0	0	0	125	0	0	0	0	350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_28180050_28180500	450	150	0	0	450	0	450	0	0	0	0	0	0	0	0	0	0	225	300	75	450	0	450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_28181250_28182350	1100	675	0	950	1100	50	1100	675	600	0	0	0	0	125	50	0	0	275	0	0	125	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	300	0	0	0
chr1_28182600_28183000	375	300	0	225	400	400	400	0	75	0	0	0	100	75	75	0	0	150	0	0	375	325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
