A.ID	CLL_25.bed.combine.5mC.CpG.NA_id.methValue	CLL_26.bed.combine.5mC.CpG.NA_id.methValue	CLL_27.bed.combine.5mC.CpG.NA_id.methValue	CLL_28.bed.combine.5mC.CpG.NA_id.methValue	CLL_28.large.bed.combine.5mC.CpG.NA_id.methValue	CLL_28.small.bed.combine.5mC.CpG.NA_id.methValue	CLL_30.bed.combine.5mC.CpG.NA_id.methValue	CLL_30.large.bed.combine.5mC.CpG.NA_id.methValue	CLL_30.small.bed.combine.5mC.CpG.NA_id.methValue	CLL_4.bed.combine.5mC.CpG.NA_id.methValue	CLL_5.bed.combine.5mC.CpG.NA_id.methValue	CLL_6.bed.combine.5mC.CpG.NA_id.methValue	CLL_94.bed.combine.5mC.CpG.NA_id.methValue	CLL_95.bed.combine.5mC.CpG.NA_id.methValue	CLL_96.bed.combine.5mC.CpG.NA_id.methValue	CLL_97.bed.combine.5mC.CpG.NA_id.methValue	EGAN00001095766:NBC.1:C003K9.bed.combine.5mC.CpG.NA_id.methValue	EGAN00001095769:NBC.2:C0068L.bed.combine.5mC.CpG.NA_id.methValue	EGAN00001096889:csMBC.2:C003JB.bed.combine.5mC.CpG.NA_id.methValue	EGAN00001096891:MBC.3:C003N3.bed.combine.5mC.CpG.NA_id.methValue	EGAN00001096949:NBC.3:S001JP.bed.combine.5mC.CpG.NA_id.methValue	EGAN00001170519:HMPC.1:F2012-2912.bed.combine.5mC.CpG.NA_id.methValue	EGAN00001170520:PreBC.1:F2012-2912.bed.combine.5mC.CpG.NA_id.methValue	EGAN00001170521:GCBC.1:T11_8.bed.combine.5mC.CpG.NA_id.methValue	EGAN00001170522:PBC.1:MO7071.bed.combine.5mC.CpG.NA_id.methValue	EGAN00001220205:csMBC.1:S004P1.bed.combine.5mC.CpG.NA_id.methValue	EGAN00001220214:NBC.4:S00DM8.bed.combine.5mC.CpG.NA_id.methValue	EGAN00001266052:HMPC.2:F2012-2912.bed.combine.5mC.CpG.NA_id.methValue	EGAN00001266053:PreBC.2:F2012-2912.bed.combine.5mC.CpG.NA_id.methValue	EGAN00001266054:GCBC.2:T14_10.bed.combine.5mC.CpG.NA_id.methValue	EGAN00001266055:NBC.5:NC11_41.bed.combine.5mC.CpG.NA_id.methValue	EGAN00001266056:csMBC.3:NC11_41.bed.combine.5mC.CpG.NA_id.methValue	EGAN00001266057:PBC.2:V156.bed.combine.5mC.CpG.NA_id.methValue	EGAN00001280907:MBC.1:S017RE.bed.combine.5mC.CpG.NA_id.methValue	EGAN00001282097:GCBC.3:T14_11.bed.combine.5mC.CpG.NA_id.methValue	EGAN00001282098:PBC.3:T14_10.bed.combine.5mC.CpG.NA_id.methValue	EGAN00001282099:PBC.4:T12_20.bed.combine.5mC.CpG.NA_id.methValue	EGAN00001282100:PBC.5:T13_1.bed.combine.5mC.CpG.NA_id.methValue	EGAN00001343490:CLL.182:182CLL.bed.combine.5mC.CpG.NA_id.methValue	EGAN00001343492:CLL.12:12CLL.bed.combine.5mC.CpG.NA_id.methValue	EGAN00001343494:CLL.110:110CLL.bed.combine.5mC.CpG.NA_id.methValue	EGAN00001356805:NBC.7:NC15_72.bed.combine.5mC.CpG.NA_id.methValue	EGAN00001358479:CLL.1525:1525CLL.bed.combine.5mC.CpG.NA_id.methValue	EGAN00001358480:CLL.1532:1532CLL.bed.combine.5mC.CpG.NA_id.methValue	EGAN00001401801:CLL.1228:1228CLL.bed.combine.5mC.CpG.NA_id.methValue	GCBC_129.bed.combine.5mC.CpG.NA_id.methValue	GCBC_134.bed.combine.5mC.CpG.NA_id.methValue	GCBC_135.bed.combine.5mC.CpG.NA_id.methValue	GCBC_136.bed.combine.5mC.CpG.NA_id.methValue	GCBC_137.bed.combine.5mC.CpG.NA_id.methValue	GCBC_138.bed.combine.5mC.CpG.NA_id.methValue
10:100000287:100000289	0.111111	0.0625	0.027027	0	0.0322581	0	0	0	0	0	0.0217391	0	0	0	0	0	0.96	0.939394	0.887324	0.920635	0.974359	0.927711	0.967391	0.932203	0.942857	0.785714	0.945946	0.925	0.963415	0.821918	0.958904	0.925373	0.768116	0.896104	0.846154	0.938776	0.891304	0.877551	0.0238095	0.0697674	0.25	0.953488	0.0851064	0	0.0263158	0.95	0.931034	0.928571	0.952381	0.969697	0.963636
10:100000467:100000469	0.157895	0.294118	0.217391	0.5	0	0.257143	0	0	0	0	0.111111	0.236842	0.285714	0	0.0526316	0	0.975	0.9375	1	1	0.97561	0.95122	0.984615	0.976744	0.616667	0.84	1	1	0.964286	0.884058	0.960784	1	0.45098	0.96	0.921053	0.84375	0.9375	1	0.0208333	0.0181818	0.292683	0.977273	0.446429	0.0243902	0.152174	1	0.892857	0.931818	0.972973	0.72973	0.972222
10:100000484:100000486	0.222222	0.3125	0.130435	0.6875	0.25	0.235294	0.0588235	0	0	0	0.15625	0.390244	0.222222	0	0	0.0434783	0.972222	0.964286	0.926829	1	1	0.972973	0.944444	1	0.55102	0.913043	1	1	0.980769	0.970149	0.95	0.97619	0.404255	0.941176	0.964286	0.866667	0.777778	0.952381	0.0196078	0.037037	0.394737	0.953488	0.592593	0	0.229167	1	1	1	0.897436	0.970588	0.953488
10:100000739:100000741	1	0.615385	0.0689655	0.72	0.526316	0.6875	0.384615	0.190476	0.214286	0	0.38	0.5	0.714286	0.0740741	0.454545	0.133333	0.967213	0.976744	0.936508	1	0.971429	1	0.970588	0.952381	0.939394	0.846154	1	0.9375	0.988095	0.884615	1	0.897727	0.84507	0.90411	0.978723	0.860465	0.9375	0.885246	0.2	0.122449	0.590909	0.928571	0.914894	0.169492	0.878788	0.939394	0.878788	0.941176	0.888889	0.941176	0.847826
10:100002974:100002976	0.347826	0.444444	0.105263	0.414286	0.536082	0.464286	0.0625	0.20339	0.05	0.214286	0.39726	0.477612	0.306452	0.117647	0.152174	0.0222222	0.833333	1	0.892857	0.847458	1	1	0.942308	0.813333	0.829787	0.758621	0.925926	0.973684	0.952381	0.910714	1	0.909091	0.924528	0.901639	0.871795	0.871795	0.90625	0.923077	0.12766	0.428571	0.4	0.913043	0.784314	0.0444444	0.0238095	0.815385	0.972973	0.804348	0.791667	0.733333	0.737705
10:100003221:100003223	0.2	0.37037	0.105263	0.09375	0.0869565	0.075	0.1	0.0333333	0.0625	0.108108	0.230769	0.361111	0.272727	0	0.157895	0.04	0.975	0.956522	0.540984	0.612245	0.869565	1	0.984615	0.7	0.638298	0.534884	0.604651	0.975904	0.987179	0.56962	0.88	0.6	0.694444	0.426471	0.568966	0.55814	0.428571	0.475	0.266667	0	0.266667	0.794872	0.117647	0.310345	0.219512	0.75	0.576923	0.742857	0.571429	0.675	0.542857
10:100005614:100005616	0.666667	0.35	0	0.333333	0	0.137931	0.25	0.259259	0.52381	0	0.105263	0.615385	0	0	0.692308	0.529412	0.942308	0.913793	0.893617	0.915789	1	0.95122	0.961538	0.91954	0.931507	0.912281	0.928571	0.942529	1	0.935185	0.987805	0.905882	0.923077	0.933333	0.876289	0.921569	0.953125	0.981132	0.315789	0.153846	0.527778	0.96875	0.613636	0.3125	0.658537	0.875	0.966667	0.969697	0.964286	1	0.967742
10:100005709:100005711	1	0.272727	0	1	0.777778	0.85	0.153846	0.111111	0.222222	0.5	0	0.380952	0.230769	0	0.75	0.588235	0.306122	0.942857	0.578313	0.939024	0.931818	0.358491	0.52	0.964286	0.532258	0.510638	0.519231	0.957746	0.984127	0.488889	0.985915	0.960526	0.938776	0.959184	0.984375	0.53125	0.93617	0.890909	0	0.555556	0.464286	1	0.53125	0.307692	0.928571	0.357143	0.904762	0.40625	1	0.958333	0.913043
10:100006424:100006426	0	0	0	0	0.105263	0	0	0	0	0	0	0	0	0	0	0	0.714286	0.666667	0.25	0.2	0.769231	0.846154	0.969697	0.366667	0.268657	0.416667	0.8	0.75	0.942857	0.513514	0.901961	0.276596	0.185185	0.404762	0.266667	0.5	0.464286	0.1	0	0	0.0444444	0.714286	0	0.025641	0.0454545	0.285714	0.114286	0.290323	0.175	0.323529	0.175439
10:100006925:100006927	0.714286	0.5	0.238095	0.923077	0.764706	0.764706	0.2	0.208333	0.375	0	0.741935	0.555556	0.5	0.428571	0.5	0.5	0.979592	1	0.990566	0.987654	0.984848	0.960396	0.978947	0.927928	0.901408	0.956522	0.888889	0.930435	0.97619	0.95122	0.978022	0.965217	0.961905	1	1	0.870968	0.915493	0.898734	0.210526	0.333333	0.853659	0.941176	0.75	0.526316	0.894737	0.866667	0.882353	1	0.764706	1	0.86
