# GREAT version 4.0.4	Species assembly: hg38	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
AAED1	unnamed (+8306)
ABCA6	unnamed (+12999), unnamed (+15099), unnamed (+42549), unnamed (+46924), unnamed (+70449), unnamed (+71174)
ABCA8	unnamed (+180466)
ABCA9	unnamed (-67811), unnamed (-65711), unnamed (-38261), unnamed (-33886), unnamed (-10361), unnamed (-9636)
ABCB10	unnamed (+5845), unnamed (+14695), unnamed (+15870), unnamed (+16895)
ABCB9	unnamed (-104251), unnamed (-101451), unnamed (-99851), unnamed (-97601), unnamed (-95476), unnamed (-93426), unnamed (-80251), unnamed (-76776)
ABCC1	unnamed (+2473), unnamed (+9673), unnamed (+76373)
ABCC2	unnamed (+154943), unnamed (+197393), unnamed (+198543), unnamed (+199243), unnamed (+203068), unnamed (+207018), unnamed (+209068), unnamed (+213293), unnamed (+216493), unnamed (+217668), unnamed (+219093), unnamed (+220768), unnamed (+222968), unnamed (+224693)
ABCC6	unnamed (+197514), unnamed (+264214), unnamed (+271414)
ABCC8	unnamed (+77070)
ABHD15	unnamed (+7387)
ABHD17A	unnamed (+1358)
ABHD17B	unnamed (+116606), unnamed (+117081)
ABI1	unnamed (-8640), unnamed (+129160)
ABI3BP	unnamed (-223485)
ABL2	unnamed (+100551)
ABR	unnamed (-40776), unnamed (-36776), unnamed (-33826), unnamed (-22101), unnamed (-20676), unnamed (-9176)
ACAP1	unnamed (-4604), unnamed (-2854)
ACBD3	unnamed (+101655)
ACOX3	unnamed (+47586)
ACOXL	unnamed (+114452), unnamed (+316627)
ACP5	unnamed (+4179)
ACSF2	unnamed (-1594), unnamed (+40631)
ACSF3	unnamed (-34059), unnamed (-31059), unnamed (-27134), unnamed (+24491), unnamed (+38216)
ACSM5	unnamed (-34), unnamed (+816)
ACSS2	unnamed (-439)
ACTA2	unnamed (+53148), unnamed (+56298)
ACTL7B	unnamed (+840067)
ACVR2B	unnamed (+33524)
ADAMTS14	unnamed (+10822)
ADAMTS4	unnamed (+14456), unnamed (+15356)
ADAMTS6	unnamed (+3920), unnamed (+379445), unnamed (+410245), unnamed (+414945), unnamed (+416270), unnamed (+418020), unnamed (+421045), unnamed (+422220), unnamed (+433795), unnamed (+436545), unnamed (+438745), unnamed (+439870), unnamed (+444370)
ADAMTSL3	unnamed (+301139)
ADARB2	unnamed (+621751)
ADAT3	unnamed (+3047), unnamed (+3772)
ADGRB1	unnamed (+23570)
ADGRG6	unnamed (+510221), unnamed (+562271), unnamed (+578296), unnamed (+606046)
ADHFE1	unnamed (+71564), unnamed (+75914)
ADIRF	unnamed (-1842)
ADK	unnamed (+435621)
ADM	unnamed (+11941), unnamed (+14016)
ADRB2	unnamed (+2580), unnamed (+11155), unnamed (+13305)
ADRM1	unnamed (-9893)
